,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Marcos Acuña,ar  ARG,DF,Sevilla,31-063,1991,6.1,19,10,10,8,1,9,14,64.3,5,7,2,5,11,30,7,0
1,Álvaro Aguado,es  ESP,MF,Valladolid,26-243,1996,8.3,3,1,2,1,0,3,7,42.9,4,9,3,6,5,8,5,0
2,Joseph Aidoo,gh  GHA,DF,Celta Vigo,27-092,1995,14.0,26,17,17,8,1,8,12,66.7,4,14,7,7,11,37,48,0
3,Sergio Akieme,es  ESP,DF,Almería,25-014,1997,14.0,24,13,16,6,2,11,14,78.6,3,14,3,11,9,33,24,0
4,Paul Akouokou,ci  CIV,MF,Betis,25-010,1997,2.6,9,5,7,2,0,7,9,77.8,2,0,0,0,5,14,2,1
5,David Alaba,at  AUT,DF,Real Madrid,30-189,1992,12.9,7,5,3,2,2,5,8,62.5,3,8,5,3,11,18,21,1
6,Tomás Alarcón,cl  CHI,MF,Cádiz,23-345,1999,2.5,3,2,0,2,1,1,2,50.0,1,1,0,1,2,5,2,0
7,Jordi Alba,es  ESP,DF,Barcelona,33-284,1989,7.6,12,9,8,4,0,8,13,61.5,5,5,2,3,4,16,10,0
8,Raúl Albiol,es  ESP,DF,Villarreal,37-117,1985,12.9,13,9,7,5,1,7,8,87.5,1,9,9,0,9,22,60,0
9,Rubén Alcaraz,es  ESP,MF,Cádiz,31-243,1991,5.7,14,9,8,6,0,5,13,38.5,8,6,0,6,4,18,6,0
10,Omar Alderete,py  PAR,DF,Getafe,26-004,1996,1.5,0,0,0,0,0,0,3,0.0,3,1,1,0,2,2,9,0
11,Iván Alejo,es  ESP,"MF,FW",Cádiz,27-323,1995,7.3,22,15,11,7,4,13,26,50.0,13,12,1,11,2,24,5,1
12,Carles Aleñá,es  ESP,MF,Getafe,24-359,1998,11.4,11,8,4,2,5,3,21,14.3,18,9,0,9,2,13,11,0
13,Alejandro Alfaro,es  ESP,MF,Elche,20-198,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,Ángel Algobia,es  ESP,MF,Getafe,23-190,1999,4.0,15,6,10,5,0,11,14,78.6,3,7,3,4,1,16,2,0
15,Mohamed Ali Cho,fr  FRA,FW,Real Sociedad,18-345,2004,2.7,4,2,4,0,0,0,1,0.0,1,5,0,5,2,6,2,0
16,Domingos André Ribeiro Almeida,pt  POR,"MF,FW",Valencia,22-214,2000,7.8,14,7,4,7,3,4,7,57.1,3,5,0,5,5,19,4,0
17,Marcos Alonso,es  ESP,DF,Barcelona,32-002,1990,5.0,6,4,3,3,0,4,5,80.0,1,5,5,0,6,12,10,0
18,Gastón Álvarez,uy  URU,DF,Getafe,22-281,2000,4.8,11,8,8,3,0,6,12,50.0,6,5,3,2,9,20,15,0
19,Yeray Álvarez,es  ESP,DF,Athletic Club,27-340,1995,12.7,17,12,14,2,1,13,15,86.7,2,13,10,3,28,45,47,0
20,Amath,sn  SEN,"MF,FW",Mallorca,26-167,1996,2.7,7,4,4,0,3,2,2,100.0,0,1,0,1,0,7,1,0
21,Jordan Amavi,fr  FRA,DF,Getafe,28-296,1994,2.1,3,2,3,0,0,1,3,33.3,2,3,0,3,4,7,7,0
22,Fabrizio Angileri,ar  ARG,DF,Getafe,28-290,1994,5.7,7,5,4,2,1,5,11,45.5,6,7,3,4,6,13,8,0
23,Anuar,ma  MAR,"MF,FW",Valladolid,27-349,1995,2.3,4,4,0,1,3,0,0,,0,5,2,3,3,7,3,0
24,Mauro Arambarri,uy  URU,MF,Getafe,27-091,1995,5.7,7,4,3,3,1,1,11,9.1,10,10,3,7,5,12,7,0
25,Ronald Araújo,uy  URU,DF,Barcelona,23-298,1999,5.7,8,7,4,4,0,2,3,66.7,1,1,0,1,7,15,11,0
26,Roberto Arroyo,es  ESP,MF,Valladolid,19-127,2003,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
27,Santiago Arzamendia,py  PAR,"MF,DF",Cádiz,24-239,1998,2.8,3,2,2,1,0,3,8,37.5,5,7,0,7,0,3,6,1
28,Sergio Asenjo,es  ESP,GK,Valladolid,33-185,1989,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,2
29,Marco Asensio,es  ESP,"MF,FW",Real Madrid,26-343,1996,2.1,5,3,3,2,0,2,4,50.0,2,1,0,1,0,5,1,0
30,Iago Aspas,es  ESP,FW,Celta Vigo,35-151,1987,12.5,0,0,0,0,0,0,5,0.0,5,5,0,5,4,4,9,0
31,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,33-195,1989,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,28-327,1994,9.3,4,3,2,2,0,3,10,30.0,7,4,0,4,4,8,6,0
33,Iddrisu Baba,gh  GHA,MF,Mallorca,26-342,1996,6.1,15,6,6,9,0,6,11,54.5,5,4,0,4,4,19,10,0
34,Srđan Babić,rs  SRB,DF,Almería,26-252,1996,12.5,11,6,8,3,0,5,10,50.0,5,7,6,1,7,18,31,0
35,Édgar Badía,es  ESP,GK,Elche,30-321,1992,15.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,8,2
36,Alex Baena,es  ESP,"MF,FW",Villarreal,21-163,2001,7.0,11,4,5,2,4,6,10,60.0,4,5,2,3,2,13,10,0
37,Alejandro Balde,es  ESP,DF,Barcelona,19-073,2003,10.8,17,13,10,5,2,8,12,66.7,4,12,1,11,6,23,7,0
38,Mikel Balenziaga,es  ESP,DF,Athletic Club,34-304,1988,0.5,2,2,0,1,1,2,2,100.0,0,0,0,0,1,3,1,0
39,Iván Balliu,al  ALB,DF,Rayo Vallecano,30-363,1992,15.0,18,12,9,9,0,4,8,50.0,4,7,1,6,13,31,37,1
40,Léo Baptistão,br  BRA,"FW,MF",Almería,30-126,1992,6.3,14,9,7,5,2,8,13,61.5,5,3,0,3,8,22,4,0
41,Keidi Bare,al  ALB,MF,Espanyol,25-124,1997,3.7,7,3,4,1,2,3,7,42.9,4,5,2,3,11,18,5,0
42,Kike Barja,es  ESP,"MF,FW",Osasuna,25-273,1997,3.2,3,1,1,1,1,0,2,0.0,2,1,0,1,2,5,1,0
43,Ander Barrenetxea,es  ESP,FW,Real Sociedad,21-003,2001,0.7,4,3,4,0,0,2,5,40.0,3,2,0,2,1,5,1,0
44,Pablo Barrios,es  ESP,MF,Atlético Madrid,19-198,2003,1.1,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0
45,Rodrigo Battaglia,ar  ARG,MF,Mallorca,31-171,1991,6.6,11,4,6,5,0,6,11,54.5,5,12,7,5,5,16,16,0
46,Bebé,cv  CPV,FW,Rayo Vallecano,32-171,1990,0.7,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
47,Héctor Bellerín,es  ESP,DF,Barcelona,27-286,1995,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0
48,Fran Beltrán,es  ESP,MF,Celta Vigo,23-330,1999,12.5,10,6,4,4,2,3,16,18.8,13,11,2,9,14,24,7,1
49,Karim Benzema,fr  FRA,FW,Real Madrid,35-011,1987,7.0,3,2,1,0,2,0,1,0.0,1,4,0,4,1,4,0,0
50,Yuri Berchiche,es  ESP,DF,Athletic Club,32-323,1990,5.9,14,9,8,4,2,9,15,60.0,6,9,2,7,12,26,18,1
51,Álex Berenguer,es  ESP,FW,Athletic Club,27-179,1995,11.6,27,16,8,10,9,12,23,52.2,11,14,1,13,2,29,5,0
52,Pedro Bigas,es  ESP,DF,Elche,32-106,1990,11.8,19,10,16,3,0,7,13,53.8,6,14,6,8,19,38,49,0
53,El Bilal Touré,ml  MLI,FW,Almería,21-088,2001,6.3,1,1,1,0,0,0,2,0.0,2,2,1,1,0,1,13,0
54,Blanco,es  ESP,MF,Cádiz,22-160,2000,1.8,6,4,5,1,0,4,6,66.7,2,5,0,5,1,7,3,0
55,Theo Bongonda,cd  COD,MF,Cádiz,27-040,1995,5.0,5,4,1,3,1,1,5,20.0,4,3,0,3,1,6,2,0
56,Wassim Boullif,es  ESP,"DF,MF",Espanyol,17-330,2005,0.8,2,1,2,0,0,2,2,100.0,0,3,2,1,0,2,1,0
57,Yassine Bounou,ma  MAR,GK,Sevilla,31-269,1991,11.5,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,7,0
58,Lucas Boyé,ar  ARG,FW,Elche,26-305,1996,8.9,10,5,2,6,2,7,11,63.6,4,12,2,10,8,18,13,0
59,Martin Braithwaite,dk  DEN,"FW,MF",Espanyol,31-208,1991,7.8,5,0,1,2,2,2,4,50.0,2,4,0,4,1,6,5,0
60,Juan Brandáriz,es  ESP,DF,Almería,23-303,1999,4.3,7,3,4,2,1,1,3,33.3,2,4,1,3,6,13,17,0
61,Darko Brašanac,rs  SRB,MF,Osasuna,30-321,1992,5.4,11,7,4,5,2,1,3,33.3,2,7,1,6,7,18,3,0
62,Claudio Bravo,cl  CHI,GK,Betis,39-261,1983,2.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
63,Ante Budimir,hr  CRO,FW,Osasuna,31-161,1991,6.2,2,1,0,2,0,0,3,0.0,3,3,0,3,2,4,5,0
64,Santiago Bueno,uy  URU,DF,Girona,24-051,1998,15.0,26,14,14,12,0,12,14,85.7,2,17,13,4,20,46,33,0
65,Sergio Busquets,es  ESP,MF,Barcelona,34-167,1988,10.1,20,11,5,11,4,8,12,66.7,4,15,4,11,12,32,12,2
66,Leandro Cabrera,uy  URU,DF,Espanyol,31-196,1991,12.3,11,5,9,2,0,7,11,63.6,4,15,11,4,20,31,59,2
67,Cala,es  ESP,DF,Cádiz,33-034,1989,1.5,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,12,0
