,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,0.2,18,0,5,6,8,1,15,1,2,50.0,2,0,11,47,40,2,1,0,0,1,12,11,91.7,2
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,13.6,793,55,322,422,100,8,738,3,6,50.0,4,0,435,2311,1261,44,9,0,3,0,473,454,96.0,8
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,0.7,31,3,11,14,7,0,31,0,0,,0,0,14,56,29,0,0,0,0,2,21,17,81.0,0
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,0.9,35,1,2,20,15,8,35,0,0,,0,0,13,24,16,1,1,0,4,2,48,24,50.0,8
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,16.7,1265,42,316,778,261,12,1189,17,18,94.4,17,0,818,3850,1978,83,30,3,15,26,923,839,90.9,28
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,1.9,95,0,8,30,63,24,94,2,6,33.3,3,1,64,310,149,5,4,1,13,4,106,74,69.8,30
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,6.9,386,20,153,162,84,8,327,3,9,33.3,3,0,192,777,439,14,5,0,10,10,221,175,79.2,22
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,1.5,46,3,16,27,9,2,46,4,4,100.0,4,0,35,251,110,5,0,1,1,2,30,28,93.3,2
8,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,18.4,1786,165,801,1053,79,19,1745,11,12,91.7,11,0,1297,7745,4241,115,12,2,1,4,1401,1375,98.1,4
9,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,10.5,626,68,293,336,39,7,582,5,9,55.6,6,1,399,2008,1139,28,6,2,5,1,410,396,96.6,6
10,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,23.1,1960,126,738,1163,217,15,1883,10,10,100.0,10,2,1434,9711,4966,163,24,4,14,7,1515,1473,97.2,24
11,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,11.7,375,9,32,165,198,66,361,15,19,78.9,16,0,253,845,193,10,3,4,34,14,534,297,55.6,120
12,Omar Alderete,py  PAR,DF,Hertha BSC,24-085,1996,11.4,839,105,545,339,20,9,821,13,17,76.5,13,1,564,3193,1848,26,5,0,4,1,593,577,97.3,2
13,Nadiem Amiri,de  GER,MF,Leverkusen,24-145,1996,17.1,1121,18,145,650,401,29,1046,17,32,53.1,18,1,801,4202,2108,107,35,7,39,22,982,825,84.0,83
14,Sebastian Andersson,se  SWE,FW,Köln,29-249,1991,8.2,273,10,21,144,116,35,258,2,4,50.0,2,0,122,346,105,8,3,2,40,10,377,204,54.1,54
15,Robert Andrich,de  GER,MF,Union Berlin,26-180,1994,22.1,1279,47,378,743,236,13,1259,16,22,72.7,17,2,777,3679,1524,53,17,3,21,9,866,796,91.9,29
16,Angeliño,es  ESP,"DF,FW",RB Leipzig,24-076,1997,20.9,1495,33,311,687,578,82,1259,17,33,51.5,21,1,866,3799,2075,98,27,14,19,19,1139,950,83.4,123
17,Waldemar Anton,de  GER,DF,Stuttgart,24-244,1996,22.1,1594,296,933,688,78,19,1526,7,11,63.6,9,0,1026,6475,3283,67,7,2,9,21,1101,1074,97.5,13
18,Charles Aránguiz,cl  CHI,MF,Leverkusen,31-338,1989,12.3,861,34,214,568,118,10,832,5,7,71.4,5,0,555,2038,877,23,5,2,11,12,600,575,95.8,21
19,Santiago Arias,co  COL,DF,Leverkusen,29-067,1992,1.0,64,3,21,29,16,2,58,0,0,,0,0,37,157,74,4,1,0,0,0,35,35,100.0,2
20,Maximilian Arnold,de  GER,MF,Wolfsburg,26-298,1994,21.7,1409,52,290,869,341,10,1236,11,13,84.6,11,0,784,4260,2171,89,31,0,11,24,857,798,93.1,36
21,Toluwalas Arokodare,ng  NGA,FW,Köln,20-118,2000,1.1,49,0,1,22,28,11,47,1,1,100.0,1,0,24,95,26,1,1,0,7,2,70,37,52.9,12
22,Santiago Ascacíbar,ar  ARG,MF,Hertha BSC,24-024,1997,3.0,164,8,49,100,23,3,153,1,1,100.0,1,0,92,349,157,4,1,0,5,6,95,84,88.4,2
23,Ludwig Augustinsson,se  SWE,DF,Werder Bremen,26-334,1994,16.7,979,56,310,391,336,26,757,6,10,60.0,7,0,471,2488,1514,53,14,4,7,6,583,500,85.8,34
24,Taiwo Awoniyi,ng  NGA,FW,Union Berlin,23-221,1997,14.3,486,3,28,275,214,71,482,18,34,52.9,22,1,330,1226,671,33,20,9,70,35,852,374,43.9,117
25,Leon Bailey,jm  JAM,FW,Leverkusen,23-224,1997,19.1,1089,8,87,469,635,89,1011,71,130,54.6,74,1,846,4836,2875,138,48,24,46,37,1058,786,74.3,178
