,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,14,14,1222,13.6,1,0,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.5,1.1,0.05,0.03,0.08,0.05,0.08
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,5,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,5,0,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,22,16,1502,16.7,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0.6,1.2,0.04,0.04,0.07,0.04,0.07
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,12,0,173,1.9,1,2,1,0,0,0,0,0.52,1.04,1.56,0.52,1.56,1.2,1.2,0.4,1.5,0.61,0.18,0.79,0.61,0.79
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,13,7,622,6.9,1,0,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,0.6,0.6,0.4,1.0,0.08,0.06,0.14,0.08,0.14
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,3,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04
8,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,20,18,1658,18.4,2,0,2,0,0,4,0,0.11,0.00,0.11,0.11,0.11,1.5,1.5,0.1,1.6,0.08,0.00,0.09,0.08,0.09
9,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,13,11,942,10.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.04,0.04,0.00,0.04
10,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,24,23,2082,23.1,2,1,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,0.4,0.4,1.0,1.4,0.02,0.05,0.06,0.02,0.06
11,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,20,10,1055,11.7,9,2,7,2,2,2,0,0.77,0.17,0.94,0.60,0.77,5.9,4.4,0.7,5.1,0.50,0.06,0.56,0.38,0.43
12,Omar Alderete,py  PAR,DF,Hertha BSC,24-085,1996,14,11,1029,11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05
13,Nadiem Amiri,de  GER,MF,Leverkusen,24-145,1996,21,17,1537,17.1,2,6,2,0,0,3,0,0.12,0.35,0.47,0.12,0.47,1.6,1.6,2.8,4.4,0.09,0.16,0.26,0.09,0.26
14,Sebastian Andersson,se  SWE,FW,Köln,29-249,1991,10,9,737,8.2,2,0,1,1,1,0,0,0.24,0.00,0.24,0.12,0.12,3.3,2.6,0.3,2.9,0.41,0.04,0.45,0.32,0.36
15,Robert Andrich,de  GER,MF,Union Berlin,26-180,1994,23,23,1986,22.1,4,1,4,0,0,4,1,0.18,0.05,0.23,0.18,0.23,1.8,1.8,1.6,3.4,0.08,0.07,0.16,0.08,0.16
16,Angeliño,es  ESP,"DF,FW",RB Leipzig,24-076,1997,21,21,1877,20.9,4,4,4,0,0,2,0,0.19,0.19,0.38,0.19,0.38,3.5,3.5,4.6,8.1,0.17,0.22,0.39,0.17,0.39
17,Waldemar Anton,de  GER,DF,Stuttgart,24-244,1996,23,22,1991,22.1,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,0.4,1.4,0.04,0.02,0.06,0.04,0.06
18,Charles Aránguiz,cl  CHI,MF,Leverkusen,31-338,1989,14,13,1103,12.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.04,0.06,0.10,0.04,0.10
19,Santiago Arias,co  COL,DF,Leverkusen,29-067,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
20,Maximilian Arnold,de  GER,MF,Wolfsburg,26-298,1994,23,23,1955,21.7,3,5,3,0,0,4,1,0.14,0.23,0.37,0.14,0.37,1.4,1.4,3.2,4.6,0.07,0.15,0.22,0.07,0.22
21,Toluwalas Arokodare,ng  NGA,FW,Köln,20-118,2000,9,0,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.23,0.01,0.24,0.23,0.24
