,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,0.2,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,13.6,17,13,10,5,2,8,20,40.0,12,144,64,44.4,81,47,16,26,5,1,21,15,32,33,0
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,0.7,2,1,1,0,1,1,1,100.0,0,13,1,7.7,6,6,1,3,1,0,2,2,4,0,0
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,0.9,1,0,0,0,1,0,3,0.0,3,21,2,9.5,0,13,8,2,0,0,2,0,1,1,0
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,16.7,42,27,14,23,5,11,28,39.3,17,294,93,31.6,77,170,47,31,4,0,27,23,65,33,0
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,1.9,1,1,0,1,0,0,3,0.0,3,25,5,20.0,4,10,11,3,0,0,3,3,4,0,0
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,6.9,25,15,10,11,4,11,21,52.4,10,149,38,25.5,76,50,23,15,3,0,12,20,45,24,0
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,1.5,2,1,1,1,0,2,2,100.0,0,15,4,26.7,4,10,1,1,0,0,1,3,5,1,0
8,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,18.4,35,23,19,12,4,9,20,45.0,11,188,76,40.4,88,84,16,28,6,0,22,27,62,71,1
9,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,10.5,20,9,12,7,1,8,10,80.0,2,147,50,34.0,67,70,10,30,13,2,17,8,28,34,0
10,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,23.1,21,19,9,10,2,3,23,13.0,20,207,83,40.1,85,95,27,31,14,0,17,26,47,69,1
11,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,11.7,6,4,3,1,2,1,3,33.3,2,102,36,35.3,3,32,67,4,1,0,3,3,9,8,0
