,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,2,18,9,0.8,0.2,0,,0,2,9,5,0.00,0,0,0,0.00,+0.81,1.0,0.0,+1.0,+4.88,+5.18
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,14,1222,87,52.2,13.6,14,87,12,0,,0,1.64,25,17,+8,+0.59,-0.14,24.0,18.0,+6.0,+0.44,+0.20
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,5,60,12,2.7,0.7,0,,0,5,12,7,2.40,1,1,0,0.00,+0.08,1.1,1.5,-0.4,-0.56,-0.34
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,5,83,17,3.5,0.9,0,,0,5,17,2,2.60,2,1,+1,+1.08,+0.45,0.9,0.8,+0.2,+0.23,-0.12
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,22,1502,68,64.2,16.7,16,87,12,6,20,1,2.27,29,16,+13,+0.78,-0.72,30.5,15.5,+15.0,+0.90,-0.36
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,12,173,14,7.7,1.9,0,,0,12,14,5,1.25,4,4,0,0.00,+0.17,4.4,6.6,-2.2,-1.15,-1.24
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,13,622,48,26.6,6.9,7,77,5,6,14,10,1.15,9,11,-2,-0.29,-0.03,6.5,10.5,-4.0,-0.58,-0.17
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,3,137,46,5.9,1.5,1,45,0,2,46,3,1.00,3,7,-4,-2.63,-3.04,1.8,3.0,-1.2,-1.16,-1.48
8,Sören Ahlers,de  GER,GK,Schalke 04,23-193,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
9,Antonis Aidonis,de  GER,DF,Stuttgart,19-303,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
10,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,20,1658,83,70.9,18.4,18,89,16,2,25,0,1.50,40,29,+11,+0.60,-0.19,37.6,21.6,+16.0,+0.87,+0.05
11,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,13,942,72,41.9,10.5,11,83,9,2,14,1,0.92,15,19,-4,-0.38,-0.38,17.4,20.1,-2.7,-0.26,-0.43
12,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,24,2082,87,89.0,23.1,23,90,23,1,12,0,2.29,65,34,+31,+1.34,-2.85,46.7,30.6,+16.1,+0.73,-1.85
13,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,20,1055,53,46.9,11.7,10,78,3,10,28,3,1.45,18,14,+4,+0.34,-0.49,15.8,13.7,+2.0,+0.17,-0.16
14,Julian Albrecht,de  GER,MF,Hertha BSC,19-202,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
15,Omar Alderete,py  PAR,DF,Hertha BSC,24-085,1996,14,1029,74,45.7,11.4,11,89,10,3,18,7,0.93,12,18,-6,-0.52,+0.29,15.7,15.3,+0.4,+0.03,+0.36
16,Alfons Amade,de  GER,DF,Hoffenheim,21-129,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
