,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,0.2,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100.0,0,0.0,0.0,0,1,0,0,1
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,13.6,564,689,81.9,12077,4254,177,204,86.8,277,310,89.4,106,161,65.8,0,0.5,-0.5,2,50,3,2,43
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,0.7,18,22,81.8,295,27,7,9,77.8,9,10,90.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,0.9,12,22,54.5,140,1,7,13,53.8,4,7,57.1,0,0,,0,0.0,0.0,0,0,0,0,0
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,16.7,907,1068,84.9,14735,4220,464,512,90.6,356,402,88.6,70,118,59.3,1,0.6,+0.4,9,65,9,1,71
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,1.9,35,54,64.8,537,133,22,31,71.0,8,10,80.0,4,6,66.7,2,0.4,+1.6,4,2,3,1,5
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,6.9,194,265,73.2,3071,1013,109,125,87.2,69,92,75.0,11,31,35.5,0,0.4,-0.4,3,7,4,3,9
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,1.5,29,33,87.9,477,111,12,14,85.7,15,15,100.0,1,2,50.0,0,0.0,0.0,1,3,0,0,2
8,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,18.4,1498,1611,93.0,30920,9864,480,505,95.0,794,823,96.5,215,261,82.4,0,0.1,-0.1,2,118,3,0,114
9,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,10.5,424,525,80.8,8693,2996,124,144,86.1,235,258,91.1,60,109,55.0,0,0.4,-0.4,2,20,1,0,32
10,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,23.1,1531,1786,85.7,32238,10634,471,517,91.1,815,887,91.9,236,345,68.4,1,1.0,0.0,15,193,23,2,152
11,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,11.7,189,251,75.3,2747,270,110,139,79.1,54,71,76.1,15,20,75.0,2,0.7,+1.3,12,12,3,0,7
12,Omar Alderete,py  PAR,DF,Hertha BSC,24-085,1996,11.4,571,700,81.6,14236,5670,87,108,80.6,316,346,91.3,164,237,69.2,0,0.1,-0.1,2,36,2,0,48
13,Nadiem Amiri,de  GER,MF,Leverkusen,24-145,1996,17.1,785,937,83.8,14547,3334,347,379,91.6,314,349,90.0,109,173,63.0,6,2.8,+3.2,32,82,22,4,85
14,Sebastian Andersson,se  SWE,FW,Köln,29-249,1991,8.2,128,177,72.3,1794,262,81,103,78.6,37,53,69.8,6,9,66.7,0,0.3,-0.3,5,6,2,1,6
15,Robert Andrich,de  GER,MF,Union Berlin,26-180,1994,22.1,840,1076,78.1,15948,4550,344,414,83.1,366,447,81.9,113,174,64.9,1,1.6,-0.6,19,79,13,1,94
16,Angeliño,es  ESP,"DF,FW",RB Leipzig,24-076,1997,20.9,915,1276,71.7,16733,6270,422,493,85.6,373,482,77.4,106,249,42.6,4,4.6,-0.6,49,58,48,23,91
17,Waldemar Anton,de  GER,DF,Stuttgart,24-244,1996,22.1,1196,1382,86.5,25299,8496,331,368,89.9,669,718,93.2,184,268,68.7,1,0.4,+0.6,7,42,7,2,61
18,Charles Aránguiz,cl  CHI,MF,Leverkusen,31-338,1989,12.3,636,742,85.7,12001,3517,253,276,91.7,289,316,91.5,83,123,67.5,0,0.7,-0.7,13,58,7,0,64
19,Santiago Arias,co  COL,DF,Leverkusen,29-067,1992,1.0,47,55,85.5,915,324,17,21,81.0,25,28,89.3,5,6,83.3,0,0.0,0.0,0,3,0,0,4
20,Maximilian Arnold,de  GER,MF,Wolfsburg,26-298,1994,21.7,956,1190,80.3,22624,6182,277,316,87.7,413,472,87.5,254,366,69.4,5,3.2,+1.8,34,99,21,3,109
21,Toluwalas Arokodare,ng  NGA,FW,Köln,20-118,2000,1.1,23,32,71.9,429,31,11,16,68.8,9,11,81.8,3,4,75.0,0,0.0,0.0,1,1,0,0,0
22,Santiago Ascacíbar,ar  ARG,MF,Hertha BSC,24-024,1997,3.0,96,120,80.0,1606,338,53,59,89.8,29,39,74.4,11,17,64.7,0,0.0,0.0,0,5,0,0,6
23,Ludwig Augustinsson,se  SWE,DF,Werder Bremen,26-334,1994,16.7,550,822,66.9,10130,4878,243,282,86.2,234,314,74.5,68,202,33.7,4,2.3,+1.7,30,30,20,15,54
24,Taiwo Awoniyi,ng  NGA,FW,Union Berlin,23-221,1997,14.3,193,281,68.7,2800,504,119,157,75.8,51,75,68.0,15,25,60.0,2,1.5,+0.5,20,12,1,0,11
25,Leon Bailey,jm  JAM,FW,Leverkusen,23-224,1997,19.1,561,804,69.8,10050,2221,303,354,85.6,161,233,69.1,83,166,50.0,6,4.0,+2.0,40,20,32,12,45
26,Aymen Barkok,ma  MAR,"FW,MF",Eint Frankfurt,22-304,1998,9.3,282,387,72.9,4770,1612,130,168,77.4,115,146,78.8,28,51,54.9,3,2.5,+0.5,23,17,16,3,34
27,Leandro Barreiro Martins,lu  LUX,MF,Mainz 05,21-077,2000,17.3,337,502,67.1,5451,1834,167,227,73.6,129,178,72.5,32,66,48.5,1,1.3,-0.3,13,29,6,1,42
28,Jacob Barrett Laursen,dk  DEN,DF,Arminia,26-124,1994,11.7,425,543,78.3,8185,2920,157,185,84.9,207,247,83.8,57,88,64.8,1,1.2,-0.2,4,26,5,2,27
29,Oliver Baumann,de  GER,GK,Hoffenheim,30-292,1990,24.0,761,993,76.6,20651,12317,191,191,100.0,295,300,98.3,250,476,52.5,0,0.0,0.0,0,12,0,0,2
30,Julian Baumgartlinger,at  AUT,MF,Leverkusen,33-078,1988,11.9,579,668,86.7,11047,2389,242,267,90.6,230,254,90.6,96,124,77.4,0,0.3,-0.3,8,54,6,1,56
31,Christoph Baumgartner,at  AUT,"MF,FW",Hoffenheim,21-232,1999,20.3,580,768,75.5,9550,2519,305,375,81.3,195,246,79.3,59,98,60.2,3,2.4,+0.6,23,41,25,4,73
32,Noah Joel Sarenren Bazee,ng  NGA,"FW,MF",Augsburg,24-212,1996,0.4,6,13,46.2,78,23,3,5,60.0,2,4,50.0,0,2,0.0,1,0.7,+0.3,1,0,0,0,0
33,Ihlas Bebou,tg  TOG,FW,Hoffenheim,26-332,1994,16.0,331,428,77.3,4727,1236,199,235,84.7,99,127,78.0,17,31,54.8,5,3.3,+1.7,24,23,23,9,42
34,Sheraldo Becker,nl  NED,"FW,MF",Union Berlin,26-040,1995,11.9,197,315,62.5,3403,1029,99,135,73.3,78,117,66.7,16,44,36.4,2,2.8,-0.8,16,10,14,11,22
35,Timo Becker,de  GER,DF,Schalke 04,23-361,1997,11.5,367,486,75.5,6921,2437,145,173,83.8,179,222,80.6,40,68,58.8,0,0.3,-0.3,3,16,9,3,27
36,Brian Behrendt,de  GER,DF,Arminia,29-148,1991,0.9,41,56,73.2,941,310,14,17,82.4,18,25,72.0,9,13,69.2,0,0.0,0.0,0,4,0,0,5
37,Maximilian Beier,de  GER,"FW,DF",Hoffenheim,18-155,2002,0.0,4,4,100.0,63,4,3,3,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
38,Ishak Belfodil,dz  ALG,FW,Hoffenheim,29-068,1992,6.4,104,146,71.2,1441,250,60,80,75.0,34,47,72.3,5,7,71.4,1,1.0,0.0,6,2,3,0,8
