,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,13.6,5,1,1,11,8,1,8,15,13,0,0,0,176,39,26,60.0
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,0.9,0,0,0,4,1,1,0,0,0,0,0,0,5,9,2,81.8
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,16.7,3,0,0,25,23,1,10,23,27,0,0,0,180,22,15,59.5
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,1.9,0,0,0,3,4,1,2,3,1,0,0,0,12,4,4,50.0
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,6.9,0,0,0,4,23,1,10,20,15,0,0,0,56,11,12,47.8
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,1.5,0,0,0,0,5,0,1,3,1,0,0,0,10,0,2,0.0
8,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,18.4,4,0,0,19,12,0,0,27,23,1,1,0,191,35,28,55.6
9,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,10.5,1,0,0,12,11,0,6,8,9,0,0,0,87,17,17,50.0
10,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,23.1,2,0,0,14,10,0,19,26,19,0,0,0,247,20,18,52.6
11,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,11.7,2,0,0,15,15,12,0,3,4,0,0,0,37,27,62,30.3
12,Omar Alderete,py  PAR,DF,Hertha BSC,24-085,1996,11.4,1,0,0,18,4,0,1,12,10,0,0,0,113,27,26,50.9
13,Nadiem Amiri,de  GER,MF,Leverkusen,24-145,1996,17.1,3,0,0,16,19,4,19,18,9,0,0,0,144,5,24,17.2
14,Sebastian Andersson,se  SWE,FW,Köln,29-249,1991,8.2,0,0,0,10,5,6,2,1,0,1,0,0,32,55,46,54.5
15,Robert Andrich,de  GER,MF,Union Berlin,26-180,1994,22.1,4,1,0,39,27,1,7,42,33,0,0,0,289,45,22,67.2
16,Angeliño,es  ESP,"DF,FW",RB Leipzig,24-076,1997,20.9,2,0,0,18,23,6,89,28,15,0,0,0,162,11,27,28.9
