,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Oliver Baumann,de  GER,GK,Hoffenheim,30-292,1990,24,24,2160,24.0,42,1.75,101,64,63.4,8,5,11,4,16.7,8,5,2,1,28.6
1,Roman Bürki,ch  SUI,GK,Dortmund,30-127,1990,16,16,1440,16.0,26,1.62,72,48,66.7,7,2,7,4,25.0,2,2,0,0,0.0
2,Koen Casteels,be  BEL,GK,Wolfsburg,28-269,1992,25,25,2250,25.0,21,0.84,78,60,75.6,14,8,3,12,48.0,3,2,1,0,33.3
3,Finn Dahmen,de  GER,GK,Mainz 05,22-359,1998,1,1,90,1.0,5,5.00,11,7,63.6,0,0,1,0,0.0,1,1,0,0,0.0
4,Ralf Fährmann,de  GER,GK,Schalke 04,32-175,1988,15,15,1246,13.8,35,2.53,87,56,62.1,1,3,11,2,13.3,2,2,0,0,0.0
5,Rafał Gikiewicz,pl  POL,GK,Augsburg,33-146,1987,25,25,2250,25.0,39,1.56,126,93,73.8,8,5,12,5,20.0,10,6,2,2,25.0
6,Lennart Grill,de  GER,GK,Leverkusen,22-055,1999,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,
7,Péter Gulácsi,hu  HUN,GK,RB Leipzig,30-319,1990,26,26,2340,26.0,21,0.81,60,39,68.3,17,6,3,13,50.0,2,2,0,0,0.0
8,Marwin Hitz,ch  SUI,GK,Dortmund,33-184,1987,10,10,900,10.0,11,1.10,28,18,67.9,6,2,2,5,50.0,2,2,0,0,0.0
9,Timo Horn,de  GER,GK,Köln,27-313,1993,26,26,2289,25.4,45,1.77,117,79,67.5,5,8,13,3,11.5,8,7,1,0,12.5
10,Lukáš Hrádecký,fi  FIN,GK,Leverkusen,31-117,1989,21,21,1845,20.5,21,1.02,55,37,63.6,10,6,5,5,23.8,2,1,1,0,50.0
11,Rune Jarstein,no  NOR,GK,Hertha BSC,36-173,1984,7,7,630,7.0,13,1.86,30,19,60.0,1,1,5,0,0.0,2,1,1,0,50.0
12,Loris Karius,de  GER,GK,Union Berlin,27-272,1993,4,3,292,3.2,1,0.31,5,5,80.0,1,2,0,2,66.7,0,0,0,0,
13,Gregor Kobel,ch  SUI,GK,Stuttgart,23-105,1997,26,26,2340,26.0,41,1.58,122,83,68.9,9,9,8,4,15.4,5,3,2,0,40.0
14,Michael Langer,at  AUT,GK,Schalke 04,36-074,1985,3,2,239,2.7,12,4.52,24,13,50.0,0,0,2,0,0.0,0,0,0,0,
15,Niklas Lomb,de  GER,GK,Leverkusen,27-236,1993,2,1,135,1.5,3,2.00,8,5,62.5,0,1,0,0,0.0,0,0,0,0,
16,Andreas Luthe,de  GER,GK,Union Berlin,34-011,1987,23,23,2048,22.8,31,1.36,86,57,67.4,8,9,6,5,21.7,3,3,0,0,0.0
17,Florian Müller,de  GER,GK,Freiburg,23-128,1997,25,25,2250,25.0,39,1.56,124,88,70.2,9,7,9,4,16.0,3,2,1,0,33.3
18,Manuel Neuer,de  GER,GK,Bayern Munich,34-359,1986,26,26,2340,26.0,35,1.35,104,69,67.3,19,4,3,6,23.1,2,1,0,1,0.0
19,Stefan Ortega,de  GER,GK,Arminia,28-135,1992,26,26,2340,26.0,45,1.73,142,100,70.4,6,4,16,6,23.1,4,3,1,0,25.0
20,Jiří Pavlenka,cz  CZE,GK,Werder Bremen,28-341,1992,26,26,2340,26.0,38,1.46,109,74,67.0,7,9,10,5,19.2,4,2,2,0,50.0
21,Philipp Pentke,de  GER,GK,Hoffenheim,35-324,1985,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
22,Pavao Pervan,at  AUT,GK,Wolfsburg,33-128,1987,1,1,90,1.0,1,1.00,7,5,85.7,0,1,0,0,0.0,0,0,0,0,
23,Frederik Rønnow,dk  DEN,GK,Schalke 04,28-229,1992,10,9,855,9.5,22,2.32,62,45,71.0,0,4,5,1,11.1,4,4,0,0,0.0
24,Alexander Schwolow,de  GER,GK,Hertha BSC,28-292,1992,18,18,1620,18.0,32,1.78,69,42,60.9,4,5,9,5,27.8,5,5,0,0,0.0
25,Tobias Sippel,de  GER,GK,M'Gladbach,32-364,1988,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
26,Yann Sommer,ch  SUI,GK,M'Gladbach,32-094,1988,25,25,2250,25.0,39,1.56,95,60,64.2,9,8,8,5,20.0,5,5,0,0,0.0
27,Kevin Trapp,de  GER,GK,Eint Frankfurt,30-256,1990,26,26,2340,26.0,36,1.38,106,75,69.8,12,11,3,3,11.5,4,4,0,0,0.0
28,Robin Zentner,de  GER,GK,Mainz 05,26-144,1994,24,24,2160,24.0,39,1.62,113,78,69.0,5,6,13,4,16.7,5,4,0,1,0.0
29,Ron-Robert Zieler,de  GER,GK,Köln,32-037,1989,1,0,51,0.6,1,1.76,2,2,100.0,0,0,0,0,,1,1,0,0,0.0
