,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types,OG_GCA Types
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,13.6,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,16.7,19,1.14,15,0,0,0,3,1,1,0.06,0,0,0,0,0,1,0
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,1.9,9,4.68,5,0,1,2,1,0,3,1.56,1,0,0,2,0,0,0
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,6.9,6,0.87,4,0,1,0,1,0,1,0.15,1,0,0,0,0,0,0
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,1.5,1,0.98,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
8,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,18.4,12,0.65,8,1,0,1,1,1,0,0.00,0,0,0,0,0,0,0
9,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,10.5,5,0.48,4,1,0,0,0,0,1,0.10,1,0,0,0,0,0,0
10,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,23.1,34,1.54,30,1,0,2,0,1,3,0.14,2,1,0,0,0,0,0
11,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,11.7,24,2.05,19,0,2,1,2,0,2,0.17,1,0,0,1,0,0,0
12,Omar Alderete,py  PAR,DF,Hertha BSC,24-085,1996,11.4,5,0.44,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0
13,Nadiem Amiri,de  GER,MF,Leverkusen,24-145,1996,17.1,62,3.63,42,11,4,5,0,0,12,0.70,8,1,2,1,0,0,0
14,Sebastian Andersson,se  SWE,FW,Köln,29-249,1991,8.2,9,1.10,5,0,0,3,1,0,2,0.24,0,0,0,1,1,0,0
15,Robert Andrich,de  GER,MF,Union Berlin,26-180,1994,22.1,44,2.09,33,3,4,1,2,1,6,0.28,5,0,0,0,1,0,0
16,Angeliño,es  ESP,"DF,FW",RB Leipzig,24-076,1997,20.9,78,3.74,54,13,6,3,2,0,6,0.29,4,1,1,0,0,0,0
17,Waldemar Anton,de  GER,DF,Stuttgart,24-244,1996,22.1,22,1.04,17,1,0,1,1,2,4,0.19,3,0,0,0,1,0,0
18,Charles Aránguiz,cl  CHI,MF,Leverkusen,31-338,1989,12.3,23,1.88,21,0,0,0,0,2,1,0.08,1,0,0,0,0,0,0
19,Santiago Arias,co  COL,DF,Leverkusen,29-067,1992,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0
