,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,0.2,15,12,3,0,0,0,0,0,0,0,0,0,10,4,1,0,12,0,3,0,13,0,0,0,0
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,13.6,689,632,57,17,1,75,23,8,0,0,0,0,433,93,163,68,500,54,40,1,564,3,7,5,10
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,0.7,22,22,0,0,0,9,0,0,0,0,0,0,19,2,1,1,20,0,0,0,18,0,0,1,0
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,0.9,22,22,0,0,0,10,0,0,0,0,0,0,9,8,5,3,7,4,0,0,12,0,0,0,1
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,16.7,1068,987,81,19,0,148,6,10,0,0,0,0,773,149,146,113,818,47,62,7,907,1,7,23,22
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,1.9,54,53,1,0,0,11,1,2,0,0,0,0,29,15,10,6,39,7,0,0,35,0,1,3,6
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,6.9,265,204,61,1,0,36,3,10,0,0,0,0,155,54,56,41,149,12,60,0,194,0,5,14,10
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,1.5,33,33,0,0,0,11,0,1,0,0,0,0,28,3,2,3,29,1,0,0,29,0,0,0,1
8,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,18.4,1611,1569,42,29,1,112,46,0,0,0,0,0,1386,106,119,361,1163,53,13,3,1498,4,13,16,10
9,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,10.5,525,475,50,27,0,50,9,6,0,0,0,0,390,41,94,72,400,20,23,0,424,1,19,6,6
10,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,23.1,1786,1708,78,42,4,114,36,19,1,0,1,0,1371,133,282,1483,201,56,35,2,1531,10,17,24,30
11,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,11.7,251,238,13,1,0,67,1,0,0,0,0,0,152,63,36,31,176,16,0,12,189,0,1,7,9
12,Omar Alderete,py  PAR,DF,Hertha BSC,24-085,1996,11.4,700,681,19,19,0,50,17,1,0,0,0,0,499,37,164,618,40,29,0,2,571,4,7,13,8
13,Nadiem Amiri,de  GER,MF,Leverkusen,24-145,1996,17.1,937,863,74,29,2,153,19,19,36,12,15,0,682,116,139,124,788,10,6,5,785,3,3,24,18
14,Sebastian Andersson,se  SWE,FW,Köln,29-249,1991,8.2,177,163,14,0,0,65,1,2,0,0,0,0,86,45,46,14,95,17,0,15,128,1,3,3,7
15,Robert Andrich,de  GER,MF,Union Berlin,26-180,1994,22.1,1076,1053,23,19,2,177,22,7,0,0,0,0,695,165,216,239,697,87,3,9,840,6,20,29,31
16,Angeliño,es  ESP,"DF,FW",RB Leipzig,24-076,1997,20.9,1276,1033,243,40,4,134,46,89,36,13,15,1,674,239,363,938,108,55,167,3,915,9,20,26,56
17,Waldemar Anton,de  GER,DF,Stuttgart,24-244,1996,22.1,1382,1309,73,39,1,133,19,8,0,0,0,0,1070,112,200,209,1053,48,33,8,1196,3,18,17,21
18,Charles Aránguiz,cl  CHI,MF,Leverkusen,31-338,1989,12.3,742,706,36,30,3,118,21,1,0,0,0,0,545,87,110,106,588,31,6,4,636,0,8,12,19
19,Santiago Arias,co  COL,DF,Leverkusen,29-067,1992,1.0,55,47,8,1,0,12,0,0,0,0,0,0,39,9,7,3,42,3,7,0,47,0,0,1,1
20,Maximilian Arnold,de  GER,MF,Wolfsburg,26-298,1994,21.7,1190,1006,184,99,5,168,93,31,75,35,27,0,718,168,304,873,226,56,9,4,956,4,14,16,21
21,Toluwalas Arokodare,ng  NGA,FW,Köln,20-118,2000,1.1,32,30,2,0,0,12,1,0,0,0,0,0,13,12,7,4,15,5,0,2,23,0,0,1,1
22,Santiago Ascacíbar,ar  ARG,MF,Hertha BSC,24-024,1997,3.0,120,109,11,11,0,27,4,0,0,0,0,0,91,8,21,30,83,5,0,1,96,0,5,4,1
23,Ludwig Augustinsson,se  SWE,DF,Werder Bremen,26-334,1994,16.7,822,598,224,37,0,91,38,68,52,18,25,7,354,175,293,585,51,32,135,1,550,4,16,21,24
24,Taiwo Awoniyi,ng  NGA,FW,Union Berlin,23-221,1997,14.3,281,277,4,0,0,92,4,3,0,0,0,0,163,76,42,48,176,20,0,19,193,1,11,10,14
25,Leon Bailey,jm  JAM,FW,Leverkusen,23-224,1997,19.1,804,726,78,9,2,143,54,73,51,12,22,2,499,129,176,594,156,24,16,3,561,5,18,25,46
26,Aymen Barkok,ma  MAR,"FW,MF",Eint Frankfurt,22-304,1998,9.3,387,335,52,9,4,70,12,15,22,3,11,1,265,47,75,64,279,12,18,0,282,0,6,13,12
27,Leandro Barreiro Martins,lu  LUX,MF,Mainz 05,21-077,2000,17.3,502,492,10,9,1,105,2,5,0,0,0,0,293,70,139,81,324,57,1,5,337,1,8,8,26
28,Jacob Barrett Laursen,dk  DEN,DF,Arminia,26-124,1994,11.7,543,432,111,11,1,67,5,15,0,0,0,0,320,97,126,302,107,25,100,4,425,0,7,12,24
29,Oliver Baumann,de  GER,GK,Hoffenheim,30-292,1990,24.0,993,742,251,86,0,50,29,0,0,0,0,0,600,25,368,121,710,1,0,134,761,2,27,1,2
30,Julian Baumgartlinger,at  AUT,MF,Leverkusen,33-078,1988,11.9,668,647,21,19,0,134,22,2,0,0,0,0,474,79,115,96,522,28,1,3,579,1,8,7,13
31,Christoph Baumgartner,at  AUT,"MF,FW",Hoffenheim,21-232,1999,20.3,768,719,49,15,0,157,20,14,1,1,0,0,538,103,127,67,617,32,10,10,580,4,11,21,31
32,Noah Joel Sarenren Bazee,ng  NGA,"FW,MF",Augsburg,24-212,1996,0.4,13,12,1,0,0,3,0,0,0,0,0,0,5,4,4,1,6,2,0,1,6,0,2,1,1
33,Ihlas Bebou,tg  TOG,FW,Hoffenheim,26-332,1994,16.0,428,412,16,0,1,111,9,27,0,0,0,0,294,81,53,37,331,21,8,2,331,1,2,11,15
34,Sheraldo Becker,nl  NED,"FW,MF",Union Berlin,26-040,1995,11.9,315,311,4,0,1,56,12,47,0,0,0,0,175,68,72,45,236,21,2,4,197,2,10,11,17
35,Timo Becker,de  GER,DF,Schalke 04,23-361,1997,11.5,486,390,96,6,0,60,7,16,0,0,0,0,288,117,81,31,347,12,90,0,367,2,10,21,23
36,Brian Behrendt,de  GER,DF,Arminia,29-148,1991,0.9,56,39,17,3,0,9,5,1,0,0,0,0,17,25,14,0,37,3,14,0,41,0,1,1,2
37,Maximilian Beier,de  GER,"FW,DF",Hoffenheim,18-155,2002,0.0,4,4,0,0,0,1,0,0,0,0,0,0,3,1,0,1,2,1,0,0,4,0,0,0,0
38,Ishak Belfodil,dz  ALG,FW,Hoffenheim,29-068,1992,6.4,146,130,16,0,1,28,0,4,0,0,0,0,99,33,14,10,119,7,3,2,104,1,3,9,5
39,Stefan Bell,de  GER,DF,Mainz 05,29-209,1991,8.8,343,319,24,14,0,49,8,2,0,0,0,0,208,42,93,50,233,29,10,0,264,5,7,2,7
40,Karim Bellarabi,de  GER,"MF,FW",Leverkusen,30-347,1990,4.9,191,180,11,0,0,38,6,28,0,0,0,0,110,43,38,12,161,5,10,2,127,2,4,2,13
41,Jude Bellingham,eng  ENG,MF,Dortmund,17-265,2003,13.3,727,716,11,10,1,100,22,18,0,0,0,0,587,81,59,82,603,20,1,4,606,2,12,18,20
42,Lars Bender,de  GER,DF,Leverkusen,31-328,1989,10.4,707,608,99,9,1,101,14,9,0,0,0,0,448,115,144,72,502,32,90,3,588,3,4,14,22
43,Sven Bender,de  GER,DF,Leverkusen,31-328,1989,8.1,717,706,11,11,0,58,14,3,0,0,0,0,578,53,86,128,536,33,0,6,651,0,6,3,1
44,Ramy Bensebaini,dz  ALG,DF,M'Gladbach,25-339,1995,13.9,717,601,116,25,0,78,11,13,0,0,0,0,455,156,106,446,143,27,91,2,585,2,13,15,20
45,Nabil Bentaleb,dz  ALG,MF,Schalke 04,26-117,1994,6.1,281,272,9,8,0,48,9,1,0,0,0,0,212,40,29,223,38,9,1,4,231,1,4,9,4
46,Louis Beyer,de  GER,DF,M'Gladbach,20-306,2000,1.0,26,23,3,1,0,7,0,0,0,0,0,0,14,4,8,3,19,0,2,0,18,0,2,1,0
47,Bartosz Bialek,pl  POL,"FW,MF",Wolfsburg,19-130,2001,2.3,67,65,2,1,0,16,3,0,0,0,0,0,32,12,23,7,43,11,0,2,47,0,1,1,5
48,Ermin Bičakčić,ba  BIH,DF,Hoffenheim,31-056,1990,1.4,62,61,1,1,0,6,0,0,0,0,0,0,50,6,6,21,39,1,0,0,54,0,0,1,2
49,Leonardo Bittencourt,de  GER,"MF,FW",Werder Bremen,27-092,1993,14.1,498,461,37,15,1,81,17,35,12,1,8,1,318,68,112,108,359,18,5,2,358,3,8,8,27
50,Jérôme Boateng,de  GER,DF,Bayern Munich,32-199,1988,20.5,1457,1416,41,36,0,98,51,9,0,0,0,0,1139,93,225,397,989,41,5,2,1292,4,21,9,4
51,Jean-Paul Boëtius,nl  NED,"MF,FW",Mainz 05,26-364,1994,16.2,591,575,16,6,4,108,18,19,0,0,0,0,400,98,93,133,399,32,5,10,413,4,9,21,36
52,Melayro Bogarde,nl  NED,"DF,MF",Hoffenheim,18-297,2002,3.1,168,151,17,4,0,18,9,0,0,0,0,0,113,30,25,12,133,7,13,1,145,0,4,7,1
53,Dennis Borkowski,de  GER,MF,RB Leipzig,19-054,2002,0.1,7,7,0,0,0,1,0,0,0,0,0,0,6,1,0,1,5,0,0,0,5,0,0,1,0
54,Sebastiaan Bornauw,be  BEL,DF,Köln,21-364,1999,17.0,605,576,29,14,0,62,32,0,0,0,0,0,406,63,136,74,466,53,1,1,495,2,15,3,9
55,Nassim Boujellab,ma  MAR,"MF,FW",Schalke 04,21-274,1999,6.7,184,179,5,0,0,42,0,1,0,0,0,0,132,27,25,22,138,13,0,1,133,1,0,6,11
56,Dedryck Boyata,be  BEL,DF,Hertha BSC,30-113,1990,12.8,796,779,17,16,0,59,31,1,0,0,0,0,666,45,85,131,614,31,1,6,705,1,11,8,7
57,Can Bozdogan,de  GER,MF,Schalke 04,19-350,2001,5.0,141,137,4,1,1,18,2,6,1,0,1,0,104,21,16,114,15,8,2,2,103,0,6,3,5
58,Julian Brandt,de  GER,"FW,MF",Dortmund,24-323,1996,14.1,748,723,25,6,6,98,29,25,11,1,6,0,589,94,65,136,580,14,7,7,633,1,8,23,16
59,Josip Brekalo,hr  CRO,FW,Wolfsburg,22-271,1998,15.3,584,532,52,11,1,103,28,21,28,14,8,1,420,73,91,72,480,17,12,2,448,1,9,19,26
60,Joshua Brenet,nl  NED,DF,Hoffenheim,27-001,1994,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
61,John Brooks,us  USA,DF,Wolfsburg,28-052,1993,23.2,1403,1331,72,68,0,105,52,1,0,0,0,0,1030,110,263,1048,233,76,4,7,1187,4,26,18,9
62,Daniel Brosinski,de  GER,DF,Mainz 05,32-247,1988,11.4,584,399,185,31,0,60,24,40,26,15,8,2,238,123,223,34,395,21,128,0,378,3,10,18,20
63,Cédric Brunner,ch  SUI,DF,Arminia,27-032,1994,22.9,1171,937,234,15,0,167,23,36,1,0,1,0,618,170,383,128,742,57,218,1,845,5,23,14,30
64,Jacob Bruun Larsen,dk  DEN,FW,Hoffenheim,22-183,1998,1.0,19,19,0,0,0,4,0,1,0,0,0,0,15,3,1,5,12,1,0,0,15,0,2,0,1
65,Marius Bülter,de  GER,"FW,MF",Union Berlin,27-357,1993,9.1,267,253,14,0,0,52,6,22,0,0,0,0,161,63,43,77,155,12,11,2,163,3,9,6,30
