,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
0,Issah Abbas,gh  GHA,"DF,FW",Mainz 05,22-176,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
1,David Abraham,ar  ARG,DF,Eint Frankfurt,34-249,1986,13.6,1,9,2,22.2,0.66,0.15,0.11,0.50,16.0,0,0,0,0.7,0.7,0.07,+0.3,+0.3
2,Amir Abrashi,al  ALB,MF,Freiburg,30-359,1990,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
3,Ragnar Ache,de  GER,"FW,MF",Eint Frankfurt,22-236,1998,0.9,0,1,0,0.0,1.08,0.00,0.00,,18.4,0,0,0,0.0,0.0,0.05,0.0,0.0
4,Tyler Adams,us  USA,"DF,MF",RB Leipzig,22-035,1999,16.7,1,6,4,66.7,0.36,0.24,0.17,0.25,17.1,0,0,0,0.6,0.6,0.10,+0.4,+0.4
5,Sargis Adamyan,am  ARM,"FW,MF",Hoffenheim,27-302,1993,1.9,1,12,4,33.3,6.24,2.08,0.08,0.25,12.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2
6,Felix Agu,de  GER,DF,Werder Bremen,21-175,1999,6.9,1,4,1,25.0,0.58,0.14,0.25,1.00,19.7,0,0,0,0.6,0.6,0.14,+0.4,+0.4
7,Naouirou Ahamada,fr  FRA,MF,Stuttgart,18-357,2002,1.5,0,3,1,33.3,1.97,0.66,0.00,0.00,,0,0,0,0.0,0.0,0.00,0.0,0.0
8,Manuel Akanji,ch  SUI,DF,Dortmund,25-245,1995,18.4,2,12,4,33.3,0.65,0.22,0.17,0.50,12.6,0,0,0,1.5,1.5,0.13,+0.5,+0.5
9,Kevin Akpoguma,ng  NGA,DF,Hoffenheim,25-336,1995,10.5,0,1,1,100.0,0.10,0.10,0.00,0.00,31.1,0,0,0,0.0,0.0,0.01,0.0,0.0
10,David Alaba,at  AUT,DF,Bayern Munich,28-270,1992,23.1,2,11,2,18.2,0.48,0.09,0.18,1.00,26.0,2,0,0,0.4,0.4,0.04,+1.6,+1.6
11,Lucas Alario,ar  ARG,FW,Leverkusen,28-164,1992,11.7,9,34,16,47.1,2.90,1.36,0.21,0.44,13.0,0,2,2,5.9,4.4,0.13,+3.1,+2.6
12,Omar Alderete,py  PAR,DF,Hertha BSC,24-085,1996,11.4,0,7,2,28.6,0.61,0.17,0.00,0.00,13.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
13,Nadiem Amiri,de  GER,MF,Leverkusen,24-145,1996,17.1,2,38,10,26.3,2.23,0.59,0.05,0.20,23.8,3,0,0,1.6,1.6,0.04,+0.4,+0.4
14,Sebastian Andersson,se  SWE,FW,Köln,29-249,1991,8.2,2,21,7,33.3,2.56,0.85,0.05,0.14,11.9,0,1,1,3.3,2.6,0.12,-1.3,-1.6
15,Robert Andrich,de  GER,MF,Union Berlin,26-180,1994,22.1,4,32,8,25.0,1.45,0.36,0.13,0.50,22.3,2,0,0,1.8,1.8,0.06,+2.2,+2.2
16,Angeliño,es  ESP,"DF,FW",RB Leipzig,24-076,1997,20.9,4,30,10,33.3,1.44,0.48,0.13,0.40,15.2,3,0,0,3.5,3.5,0.12,+0.5,+0.5
17,Waldemar Anton,de  GER,DF,Stuttgart,24-244,1996,22.1,0,9,3,33.3,0.41,0.14,0.00,0.00,15.9,0,0,0,0.9,0.9,0.10,-0.9,-0.9
18,Charles Aránguiz,cl  CHI,MF,Leverkusen,31-338,1989,12.3,0,2,1,50.0,0.16,0.08,0.00,0.00,8.0,0,0,0,0.5,0.5,0.25,-0.5,-0.5
19,Santiago Arias,co  COL,DF,Leverkusen,29-067,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
20,Maximilian Arnold,de  GER,MF,Wolfsburg,26-298,1994,21.7,3,38,13,34.2,1.75,0.60,0.08,0.23,29.0,7,0,0,1.4,1.4,0.04,+1.6,+1.6
21,Toluwalas Arokodare,ng  NGA,FW,Köln,20-118,2000,1.1,0,2,1,50.0,1.86,0.93,0.00,0.00,8.5,0,0,0,0.2,0.2,0.12,-0.2,-0.2
22,Santiago Ascacíbar,ar  ARG,MF,Hertha BSC,24-024,1997,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,18.5,0,0,0,0.4,0.4,0.18,-0.4,-0.4
23,Ludwig Augustinsson,se  SWE,DF,Werder Bremen,26-334,1994,16.7,0,13,6,46.2,0.78,0.36,0.00,0.00,17.0,2,0,0,0.7,0.7,0.06,-0.7,-0.7
24,Taiwo Awoniyi,ng  NGA,FW,Union Berlin,23-221,1997,14.3,5,26,13,50.0,1.81,0.91,0.19,0.38,11.4,0,0,0,6.5,6.5,0.25,-1.5,-1.5
25,Leon Bailey,jm  JAM,FW,Leverkusen,23-224,1997,19.1,6,49,17,34.7,2.56,0.89,0.12,0.35,21.6,3,0,0,5.3,5.3,0.11,+0.7,+0.7
26,Aymen Barkok,ma  MAR,"FW,MF",Eint Frankfurt,22-304,1998,9.3,2,14,4,28.6,1.51,0.43,0.14,0.50,19.3,1,0,0,1.4,1.4,0.10,+0.6,+0.6
27,Leandro Barreiro Martins,lu  LUX,MF,Mainz 05,21-077,2000,17.3,1,21,5,23.8,1.21,0.29,0.05,0.20,16.5,0,0,0,1.8,1.8,0.08,-0.8,-0.8
28,Jacob Barrett Laursen,dk  DEN,DF,Arminia,26-124,1994,11.7,0,2,0,0.0,0.17,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.02,0.0,0.0
29,Oliver Baumann,de  GER,GK,Hoffenheim,30-292,1990,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
30,Julian Baumgartlinger,at  AUT,MF,Leverkusen,33-078,1988,11.9,2,7,4,57.1,0.59,0.34,0.29,0.50,14.6,0,0,0,1.4,1.4,0.19,+0.6,+0.6
31,Christoph Baumgartner,at  AUT,"MF,FW",Hoffenheim,21-232,1999,20.3,5,47,16,34.0,2.31,0.79,0.11,0.31,14.4,1,0,0,4.7,4.7,0.10,+0.3,+0.3
32,Noah Joel Sarenren Bazee,ng  NGA,"FW,MF",Augsburg,24-212,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
33,Ihlas Bebou,tg  TOG,FW,Hoffenheim,26-332,1994,16.0,6,28,13,46.4,1.75,0.81,0.21,0.46,14.1,0,0,0,5.8,5.8,0.21,+0.2,+0.2
34,Sheraldo Becker,nl  NED,"FW,MF",Union Berlin,26-040,1995,11.9,3,31,10,32.3,2.60,0.84,0.10,0.30,22.0,0,0,0,2.0,2.0,0.07,+1.0,+1.0
35,Timo Becker,de  GER,DF,Schalke 04,23-361,1997,11.5,0,5,1,20.0,0.43,0.09,0.00,0.00,20.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2
36,Brian Behrendt,de  GER,DF,Arminia,29-148,1991,0.9,0,2,0,0.0,2.28,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0
37,Maximilian Beier,de  GER,"FW,DF",Hoffenheim,18-155,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
38,Ishak Belfodil,dz  ALG,FW,Hoffenheim,29-068,1992,6.4,0,12,4,33.3,1.87,0.62,0.00,0.00,11.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6
39,Stefan Bell,de  GER,DF,Mainz 05,29-209,1991,8.8,0,3,1,33.3,0.34,0.11,0.00,0.00,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
40,Karim Bellarabi,de  GER,"MF,FW",Leverkusen,30-347,1990,4.9,0,15,4,26.7,3.08,0.82,0.00,0.00,16.8,0,0,0,1.1,1.1,0.08,-1.1,-1.1
41,Jude Bellingham,eng  ENG,MF,Dortmund,17-265,2003,13.3,0,21,7,33.3,1.58,0.53,0.00,0.00,18.6,0,0,0,1.9,1.9,0.09,-1.9,-1.9
42,Lars Bender,de  GER,DF,Leverkusen,31-328,1989,10.4,0,9,0,0.0,0.87,0.00,0.00,,15.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
43,Sven Bender,de  GER,DF,Leverkusen,31-328,1989,8.1,0,2,0,0.0,0.25,0.00,0.00,,12.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
44,Ramy Bensebaini,dz  ALG,DF,M'Gladbach,25-339,1995,13.9,1,15,4,26.7,1.08,0.29,0.07,0.25,12.5,0,0,0,1.0,1.0,0.07,0.0,0.0
45,Nabil Bentaleb,dz  ALG,MF,Schalke 04,26-117,1994,6.1,0,0,0,,0.00,0.00,,,,0,0,1,0.8,0.0,,-0.8,0.0
46,Louis Beyer,de  GER,DF,M'Gladbach,20-306,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
47,Bartosz Bialek,pl  POL,"FW,MF",Wolfsburg,19-130,2001,2.3,2,8,5,62.5,3.55,2.22,0.25,0.40,10.5,0,0,0,2.0,2.0,0.25,0.0,0.0
48,Ermin Bičakčić,ba  BIH,DF,Hoffenheim,31-056,1990,1.4,1,2,1,50.0,1.41,0.70,0.50,1.00,4.7,0,0,0,0.4,0.4,0.18,+0.6,+0.6
49,Leonardo Bittencourt,de  GER,"MF,FW",Werder Bremen,27-092,1993,14.1,4,35,9,25.7,2.48,0.64,0.09,0.33,20.5,7,1,1,4.2,3.4,0.10,-0.2,-0.4
50,Jérôme Boateng,de  GER,DF,Bayern Munich,32-199,1988,20.5,1,6,1,16.7,0.29,0.05,0.17,1.00,16.5,0,0,0,0.3,0.3,0.04,+0.7,+0.7
51,Jean-Paul Boëtius,nl  NED,"MF,FW",Mainz 05,26-364,1994,16.2,0,21,5,23.8,1.30,0.31,0.00,0.00,20.5,0,0,0,1.1,1.1,0.05,-1.1,-1.1
52,Melayro Bogarde,nl  NED,"DF,MF",Hoffenheim,18-297,2002,3.1,0,4,2,50.0,1.30,0.65,0.00,0.00,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
53,Dennis Borkowski,de  GER,MF,RB Leipzig,19-054,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
54,Sebastiaan Bornauw,be  BEL,DF,Köln,21-364,1999,17.0,0,11,2,18.2,0.65,0.12,0.00,0.00,8.8,0,0,0,1.0,1.0,0.09,-1.0,-1.0
55,Nassim Boujellab,ma  MAR,"MF,FW",Schalke 04,21-274,1999,6.7,1,14,6,42.9,2.08,0.89,0.07,0.17,17.2,0,0,0,1.4,1.4,0.10,-0.4,-0.4
56,Dedryck Boyata,be  BEL,DF,Hertha BSC,30-113,1990,12.8,0,8,0,0.0,0.62,0.00,0.00,,11.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
57,Can Bozdogan,de  GER,MF,Schalke 04,19-350,2001,5.0,0,7,1,14.3,1.40,0.20,0.00,0.00,21.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
58,Julian Brandt,de  GER,"FW,MF",Dortmund,24-323,1996,14.1,2,20,7,35.0,1.42,0.50,0.10,0.29,18.8,1,0,0,2.1,2.1,0.11,-0.1,-0.1
59,Josip Brekalo,hr  CRO,FW,Wolfsburg,22-271,1998,15.3,3,39,15,38.5,2.55,0.98,0.08,0.20,20.4,2,0,0,2.4,2.4,0.06,+0.6,+0.6
60,Joshua Brenet,nl  NED,DF,Hoffenheim,27-001,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
61,John Brooks,us  USA,DF,Wolfsburg,28-052,1993,23.2,2,13,2,15.4,0.56,0.09,0.15,1.00,10.0,0,0,0,0.9,0.9,0.07,+1.1,+1.1
62,Daniel Brosinski,de  GER,DF,Mainz 05,32-247,1988,11.4,1,5,1,20.0,0.44,0.09,0.00,0.00,25.8,2,1,1,1.0,0.3,0.05,0.0,-0.3
63,Cédric Brunner,ch  SUI,DF,Arminia,27-032,1994,22.9,0,4,1,25.0,0.17,0.04,0.00,0.00,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
64,Jacob Bruun Larsen,dk  DEN,FW,Hoffenheim,22-183,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
65,Marius Bülter,de  GER,"FW,MF",Union Berlin,27-357,1993,9.1,1,16,6,37.5,1.75,0.66,0.06,0.17,17.0,0,0,0,1.6,1.6,0.10,-0.6,-0.6
66,Jonathan Burkardt,de  GER,"FW,DF",Mainz 05,20-253,2000,11.7,1,27,8,29.6,2.30,0.68,0.04,0.13,13.9,0,0,0,3.9,3.9,0.15,-2.9,-2.9
67,Roman Bürki,ch  SUI,GK,Dortmund,30-127,1990,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
68,Kerim Calhanoglu,de  GER,DF,Schalke 04,18-207,2002,2.8,0,1,1,100.0,0.36,0.36,0.00,0.00,,0,0,0,0.0,0.0,0.00,0.0,0.0
69,Daniel Caligiuri,it  ITA,"MF,DF",Augsburg,33-065,1988,23.9,5,29,11,37.9,1.21,0.46,0.14,0.36,21.1,7,1,1,2.7,2.0,0.07,+2.3,+2.0
70,Emre Can,de  GER,"DF,MF",Dortmund,27-068,1994,18.2,1,15,4,26.7,0.82,0.22,0.07,0.25,16.4,0,0,0,0.8,0.8,0.05,+0.2,+0.2
71,Koen Casteels,be  BEL,GK,Wolfsburg,28-269,1992,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
72,Gonzalo Castro,de  GER,"MF,FW",Stuttgart,33-283,1987,16.0,3,29,10,34.5,1.81,0.62,0.10,0.30,17.3,1,0,0,3.1,3.1,0.11,-0.1,-0.1
73,Sava Cestic,de  GER,DF,Köln,20-030,2001,10.0,0,1,0,0.0,0.10,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1
74,Timothy Chandler,us  USA,DF,Eint Frankfurt,30-357,1990,1.0,1,2,1,50.0,2.02,1.01,0.50,1.00,14.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2
75,Kwon Chang-hoon,kr  KOR,"MF,FW",Freiburg,26-264,1994,2.1,0,3,0,0.0,1.41,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
76,Tahith Chong,nl  NED,"FW,MF",Werder Bremen,21-107,1999,4.3,0,9,1,11.1,2.10,0.23,0.00,0.00,20.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3
77,Darko Churlinov,mk  MKD,"DF,FW",Stuttgart,20-253,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
78,Tim Civeja,de  GER,"MF,DF",Augsburg,19-076,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
79,Kingsley Coman,fr  FRA,"FW,MF",Bayern Munich,24-281,1996,15.3,3,41,16,39.0,2.69,1.05,0.07,0.19,17.0,0,0,0,2.9,2.9,0.07,+0.1,+0.1
80,Jhon Córdoba,co  COL,FW,Hertha BSC,27-314,1993,12.2,5,39,15,38.5,3.20,1.23,0.13,0.33,12.7,0,0,0,5.4,5.4,0.14,-0.4,-0.4
81,Sergio Córdova,ve  VEN,"FW,MF",Arminia,23-224,1997,11.8,2,20,4,20.0,1.70,0.34,0.10,0.50,15.4,0,0,0,3.1,3.1,0.16,-1.1,-1.1
82,Douglas Costa,br  BRA,"FW,MF",Bayern Munich,30-188,1990,3.6,1,4,2,50.0,1.13,0.56,0.25,0.50,20.2,0,0,0,0.1,0.1,0.04,+0.9,+0.9
83,Tanguy Coulibaly,fr  FRA,"DF,FW",Stuttgart,20-031,2001,11.9,2,19,8,42.1,1.60,0.67,0.11,0.25,17.5,0,0,0,1.9,1.9,0.10,+0.1,+0.1
84,Mickaël Cuisance,fr  FRA,FW,Bayern Munich,21-217,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
85,Matheus Cunha,br  BRA,"FW,MF",Hertha BSC,21-298,1999,19.2,6,49,21,42.9,2.55,1.09,0.08,0.19,22.4,5,2,3,6.5,4.3,0.09,-0.5,-0.3
86,Rafael Czichos,de  GER,DF,Köln,30-311,1990,17.1,1,6,2,33.3,0.35,0.12,0.17,0.50,7.4,0,0,0,1.3,1.3,0.21,-0.3,-0.3
87,Moanes Dabour,il  ISR,FW,Hoffenheim,28-311,1992,10.8,4,26,12,46.2,2.41,1.11,0.15,0.33,14.7,1,0,1,5.1,4.3,0.17,-1.1,-0.3
88,Finn Dahmen,de  GER,GK,Mainz 05,22-359,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
89,Mahmoud Dahoud,de  GER,MF,Dortmund,25-079,1996,8.4,1,10,3,30.0,1.19,0.36,0.10,0.33,24.8,0,0,0,0.3,0.3,0.03,+0.7,+0.7
90,Leon Dajaku,de  GER,FW,Union Berlin,19-343,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
91,Tiago Dantas,pt  POR,MF,Bayern Munich,20-087,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
92,Márton Dárdai,de  GER,DF,Hertha BSC,19-037,2002,4.2,0,1,0,0.0,0.24,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.04,0.0,0.0
93,Vladimír Darida,cz  CZE,MF,Hertha BSC,30-225,1990,18.2,0,22,5,22.7,1.21,0.28,0.00,0.00,22.9,1,0,0,0.8,0.8,0.03,-0.8,-0.8
94,Alphonso Davies,ca  CAN,DF,Bayern Munich,20-139,2000,13.6,1,3,2,66.7,0.22,0.15,0.33,0.50,22.8,0,0,0,0.1,0.1,0.04,+0.9,+0.9
95,Thomas Delaney,dk  DEN,MF,Dortmund,29-199,1991,10.6,1,6,3,50.0,0.57,0.28,0.17,0.33,13.2,0,0,0,0.3,0.3,0.05,+0.7,+0.7
96,Kerem Demirbay,de  GER,MF,Leverkusen,27-261,1993,13.0,3,31,8,25.8,2.38,0.61,0.10,0.38,23.3,4,0,0,1.9,1.9,0.06,+1.1,+1.1
97,Ermedin Demirović,ba  BIH,FW,Freiburg,22-361,1998,11.0,4,23,12,52.2,2.09,1.09,0.17,0.33,13.4,0,0,0,2.4,2.4,0.11,+1.6,+1.6
98,Emmanuel Dennis,ng  NGA,FW,Köln,23-126,1997,4.2,0,4,0,0.0,0.96,0.00,0.00,,13.8,0,0,0,0.5,0.5,0.12,-0.5,-0.5
99,Mike van der Hoorn,nl  NED,DF,Arminia,28-157,1992,14.0,0,4,2,50.0,0.29,0.14,0.00,0.00,10.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3
100,Moussa Diaby,fr  FRA,"FW,MF",Leverkusen,21-257,1999,22.3,3,47,22,46.8,2.10,0.99,0.06,0.14,18.7,0,0,0,4.6,4.6,0.10,-1.6,-1.6
101,Daniel Didavi,de  GER,"FW,MF",Stuttgart,31-028,1990,8.4,3,16,5,31.3,1.90,0.59,0.19,0.60,19.8,5,0,0,2.5,2.5,0.16,+0.5,+0.5
