,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Martin Braithwaite,9.0,dk  DEN,FW,29-183,90,0,0,0,0,0,0,0,,0,2,0,0.0,0,0,2,0,0,0,0,0,0,0,0
1,Philippe Coutinho,14.0,br  BRA,LW,28-176,45,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-204,45,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0
3,Lionel Messi,10.0,ar  ARG,RW,33-164,90,0,0,0,0,0,0,0,,0,4,1,25.0,0,1,3,0,0,0,0,2,2,0,0
4,Antoine Griezmann,7.0,fr  FRA,AM,29-259,90,1,1,0,1,0,0,1,0.0,1,8,4,50.0,2,4,2,1,1,0,0,0,1,0,0
5,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-207,90,3,3,2,1,0,1,5,20.0,4,9,3,33.3,4,3,2,2,1,0,1,1,4,2,0
6,Sergio Busquets,5.0,es  ESP,DM,32-142,77,3,2,0,2,1,3,4,75.0,1,18,6,33.3,3,10,5,4,0,0,4,2,5,0,0
7,Miralem Pjanić,8.0,ba  BIH,DM,30-247,13,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
8,Jordi Alba,18.0,es  ESP,LB,31-259,90,1,0,1,0,0,0,1,0.0,1,5,1,20.0,2,0,3,1,0,0,1,1,2,0,0
9,Clément Lenglet,15.0,fr  FRA,CB,25-171,90,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,0,0,0,0,1,1,4,0
10,Óscar Mingueza,28.0,es  ESP,CB,21-206,45,0,0,0,0,0,0,0,,0,5,2,40.0,1,4,0,0,0,0,0,1,1,1,1
11,Pedri,16.0,es  ESP,"DM,CB",18-010,45,1,1,0,1,0,1,1,100.0,0,14,5,35.7,8,2,4,2,0,0,2,1,2,0,0
12,Sergiño Dest,2.0,us  USA,RB,20-032,76,2,2,2,0,0,2,2,100.0,0,11,2,18.2,5,3,3,3,0,0,3,0,2,4,0
13,Francisco Trincão,17.0,pt  POR,RB,20-342,14,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-219,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
15,15 Players,,,,,990,11,9,5,5,1,7,14,50.0,7,80,26,32.5,28,28,24,13,2,0,11,9,20,12,1
