,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Álvaro Giménez,21.0,es  ESP,FW,29-200,61,22,0,3,11,11,1,22,0,0,,0,0,10,35,1,0,0,0,6,1,39,18,46.2,2
1,Álvaro Negredo,18.0,es  ESP,FW,35-107,29,7,0,0,4,4,1,7,0,0,,0,0,5,39,34,2,1,0,1,0,11,4,36.4,0
2,Alberto Perea,10.0,es  ESP,LM,29-352,79,33,2,11,13,15,1,32,6,8,75.0,6,1,29,150,82,6,4,0,1,0,28,20,71.4,3
3,Bobby Adekanye,32.0,nl  NED,LM,21-295,11,3,1,1,1,2,1,3,0,0,,0,0,2,22,22,1,0,1,1,0,2,2,100.0,2
4,Álex Fernández,8.0,es  ESP,CM,28-051,90,50,7,18,22,16,1,41,0,1,0.0,1,0,30,253,159,5,2,1,2,0,22,20,90.9,1
5,Yann Bodiger,12.0,fr  FRA,CM,25-300,90,24,2,12,13,4,0,24,0,1,0.0,0,0,11,70,43,0,0,0,1,1,13,8,61.5,1
6,Jairo Izquierdo,25.0,es  ESP,RM,27-044,80,26,1,10,10,10,4,26,0,1,0.0,0,0,13,125,94,3,1,1,2,1,18,11,61.1,3
7,Iván Alejo,14.0,es  ESP,RM,25-299,10,12,3,5,7,2,1,12,0,0,,0,0,5,92,65,1,1,0,2,1,4,4,100.0,1
8,Jens Jønsson,2.0,dk  DEN,DM,27-330,79,21,4,19,1,1,0,21,0,0,,0,0,3,28,14,0,0,0,0,0,3,3,100.0,1
9,Augusto Fernández,17.0,ar  ARG,DM,34-239,11,1,0,1,0,0,0,1,0,0,,0,0,1,2,1,0,0,0,0,0,2,1,50.0,0
10,Alfonso Espino,22.0,uy  URU,LB,28-335,90,46,4,22,20,7,0,36,0,3,0.0,0,0,17,79,33,0,0,0,0,0,18,14,77.8,2
11,Marcos Mauro López Gutiérrez,4.0,ar  ARG,CB,29-331,30,6,2,3,3,0,0,5,0,0,,0,0,1,4,1,0,0,0,0,0,1,1,100.0,0
12,Pedro Alcalá,19.0,es  ESP,CB,31-261,60,14,8,13,1,0,0,13,0,0,,0,0,1,8,3,0,0,0,0,0,6,3,50.0,0
13,Fali,3.0,es  ESP,CB,27-115,90,18,12,14,2,2,1,18,0,0,,0,0,2,6,0,0,0,0,0,0,4,3,75.0,0
14,Isaac Carcelen,20.0,es  ESP,RB,27-226,90,32,15,24,4,4,0,31,0,0,,0,0,7,26,6,0,0,0,0,0,8,7,87.5,1
15,Jeremías Ledesma,1.0,ar  ARG,GK,27-296,90,33,32,33,0,0,0,20,0,0,,0,0,9,102,75,0,0,0,0,0,1,1,100.0,0
16,16 Players,,,,,990,348,93,189,112,78,11,312,6,14,42.9,7,1,146,1041,633,18,9,3,16,4,180,120,66.7,17
