,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Martin Braithwaite,9.0,dk  DEN,FW,29-183,90,0,0,0,0,1,1,0,0,13,2,0,0,0,0.1,0.1,0.0,3,0,9,11,81.8,0,11,1,1,1
1,Philippe Coutinho,14.0,br  BRA,LW,28-176,45,0,0,0,0,1,0,0,0,56,0,0,0,0,0.1,0.1,0.0,2,0,45,54,83.3,3,45,8,0,0
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-204,45,0,0,0,0,0,0,0,0,40,1,0,0,0,0.0,0.0,0.3,2,0,31,38,81.6,3,36,10,2,2
3,Lionel Messi,10.0,ar  ARG,RW,33-164,90,0,0,0,0,10,5,0,0,108,4,0,2,0,0.6,0.6,0.1,13,2,67,87,77.0,7,96,26,7,10
4,Antoine Griezmann,7.0,fr  FRA,AM,29-259,90,0,0,0,0,2,1,0,0,57,8,1,0,1,0.4,0.4,0.1,4,0,42,50,84.0,5,44,4,0,0
5,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-207,90,0,0,0,0,1,0,0,0,123,9,3,1,2,0.0,0.0,0.0,1,0,99,111,89.2,5,88,21,0,1
6,Sergio Busquets,5.0,es  ESP,DM,32-142,77,0,0,0,0,0,0,0,0,133,18,3,2,4,0.0,0.0,0.3,3,0,110,124,88.7,15,104,19,0,0
7,Miralem Pjanić,8.0,ba  BIH,DM,30-247,13,0,0,0,0,2,1,0,0,36,0,0,0,0,0.5,0.5,0.0,4,0,32,33,97.0,9,30,8,0,0
8,Jordi Alba,18.0,es  ESP,LB,31-259,90,0,0,0,0,1,0,1,0,134,5,1,1,1,0.0,0.0,0.1,3,0,108,128,84.4,15,107,13,1,1
9,Clément Lenglet,15.0,fr  FRA,CB,25-171,90,0,0,0,0,0,0,1,0,105,2,0,1,0,0.0,0.0,0.0,0,0,92,98,93.9,5,77,12,0,0
10,Óscar Mingueza,28.0,es  ESP,CB,21-206,45,0,0,0,0,0,0,0,0,45,5,0,1,0,0.0,0.0,0.0,1,0,42,44,95.5,2,38,6,0,0
11,Pedri,16.0,es  ESP,"DM,CB",18-010,45,0,0,0,0,2,0,0,0,65,14,1,1,2,0.1,0.1,0.0,3,0,55,59,93.2,2,52,6,2,2
12,Sergiño Dest,2.0,us  USA,RB,20-032,76,0,0,0,0,1,0,0,0,60,11,2,0,3,0.3,0.3,0.1,2,0,40,45,88.9,3,43,4,3,6
13,Francisco Trincão,17.0,pt  POR,RB,20-342,14,0,0,0,0,0,0,0,0,16,1,0,0,0,0.0,0.0,0.1,1,0,9,15,60.0,1,13,3,1,1
14,Marc-André ter Stegen,1.0,de  GER,GK,28-219,90,0,0,0,0,0,0,0,0,25,0,0,0,0,0.0,0.0,0.0,0,0,20,21,95.2,0,12,0,0,0
15,15 Players,,,,,990,0,0,0,0,21,8,2,0,1016,80,11,9,13,2.0,2.0,1.3,42,2,801,918,87.3,75,796,141,17,24
