,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Martin Braithwaite,9.0,dk  DEN,FW,29-183,90,11,9,2,0,0,0,0,0,0,0,0,0,8,3,0,1,10,0,0,0,9,0,0,1,1
1,Philippe Coutinho,14.0,br  BRA,LW,28-176,45,54,48,6,0,0,5,1,1,4,2,0,0,44,6,4,2,50,0,2,0,45,0,1,2,0
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-204,45,38,36,2,0,2,4,0,1,0,0,0,0,29,7,2,31,4,1,2,0,31,0,0,0,4
3,Lionel Messi,10.0,ar  ARG,RW,33-164,90,87,81,6,2,0,11,2,1,4,3,0,0,66,10,11,83,3,0,0,1,67,0,2,2,5
4,Antoine Griezmann,7.0,fr  FRA,AM,29-259,90,50,48,2,0,0,10,0,2,0,0,0,0,40,6,4,39,9,0,1,0,42,1,0,2,3
5,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-207,90,111,106,5,0,0,8,0,1,0,0,0,0,92,10,9,4,95,3,5,1,99,0,0,6,2
6,Sergio Busquets,5.0,es  ESP,DM,32-142,77,124,123,1,0,0,13,1,1,0,0,0,0,98,10,16,20,95,2,1,0,110,0,1,3,0
7,Miralem Pjanić,8.0,ba  BIH,DM,30-247,13,33,33,0,0,0,2,0,0,0,0,0,0,29,3,1,2,30,1,0,0,32,0,0,0,0
8,Jordi Alba,18.0,es  ESP,LB,31-259,90,128,122,6,0,0,4,0,3,1,0,0,0,108,11,9,107,13,2,5,1,108,0,1,2,9
9,Clément Lenglet,15.0,fr  FRA,CB,25-171,90,98,93,5,4,0,7,1,0,0,0,0,0,88,6,4,79,12,2,1,0,92,0,2,1,1
10,Óscar Mingueza,28.0,es  ESP,CB,21-206,45,44,44,0,0,0,1,0,0,0,0,0,0,40,0,4,4,38,2,0,0,42,0,1,0,0
11,Pedri,16.0,es  ESP,"DM,CB",18-010,45,59,52,7,1,0,1,0,0,4,1,0,0,50,8,1,5,52,0,2,0,55,0,0,1,2
12,Sergiño Dest,2.0,us  USA,RB,20-032,76,45,40,5,0,0,2,0,3,0,0,0,0,37,7,1,11,26,3,5,0,40,0,0,0,2
13,Francisco Trincão,17.0,pt  POR,RB,20-342,14,15,14,1,0,0,3,0,3,0,0,0,0,8,4,3,9,3,2,1,0,9,0,0,0,2
14,Marc-André ter Stegen,1.0,de  GER,GK,28-219,90,21,17,4,0,0,0,0,0,0,0,0,0,18,1,2,4,9,0,0,8,20,0,0,0,0
15,15 Players,,,,,990,918,866,52,7,2,71,5,16,13,6,0,0,755,92,71,401,449,18,25,11,801,1,8,20,31
