,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Álvaro Giménez,21.0,es  ESP,FW,29-200,61,6,13,46.2,64,25,5,9,55.6,1,3,33.3,0,1,0.0,0,0.0,0,1,1,0,2
1,Álvaro Negredo,18.0,es  ESP,FW,35-107,29,2,3,66.7,23,13,2,2,100.0,0,1,0.0,0,0,,0,0.3,1,0,1,0,1
2,Alberto Perea,10.0,es  ESP,LM,29-352,79,13,18,72.2,204,90,8,10,80.0,3,4,75.0,2,3,66.7,0,0.0,0,1,0,0,4
3,Bobby Adekanye,32.0,nl  NED,LM,21-295,11,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0
4,Álex Fernández,8.0,es  ESP,CM,28-051,90,27,40,67.5,507,209,11,13,84.6,12,14,85.7,3,10,30.0,0,0.0,1,5,1,0,4
5,Yann Bodiger,12.0,fr  FRA,CM,25-300,90,9,11,81.8,119,19,5,5,100.0,4,4,100.0,0,2,0.0,0,0.0,0,1,0,0,1
6,Jairo Izquierdo,25.0,es  ESP,RM,27-044,80,9,16,56.3,128,46,4,6,66.7,4,5,80.0,0,3,0.0,0,0.0,0,0,0,0,2
7,Iván Alejo,14.0,es  ESP,RM,25-299,10,2,5,40.0,41,13,1,3,33.3,1,1,100.0,0,1,0.0,0,0.2,1,1,0,0,1
8,Jens Jønsson,2.0,dk  DEN,DM,27-330,79,7,9,77.8,111,43,5,5,100.0,2,2,100.0,0,2,0.0,0,0.0,0,0,0,0,0
9,Augusto Fernández,17.0,ar  ARG,DM,34-239,11,1,1,100.0,16,12,0,0,,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
10,Alfonso Espino,22.0,uy  URU,LB,28-335,90,18,30,60.0,426,256,8,9,88.9,7,13,53.8,3,7,42.9,0,0.0,0,0,0,0,1
11,Marcos Mauro López Gutiérrez,4.0,ar  ARG,CB,29-331,30,2,3,66.7,65,33,1,1,100.0,0,0,,1,1,100.0,0,0.0,0,1,0,0,0
12,Pedro Alcalá,19.0,es  ESP,CB,31-261,60,2,4,50.0,120,82,0,0,,0,1,0.0,2,3,66.7,0,0.0,0,1,0,0,0
13,Fali,3.0,es  ESP,CB,27-115,90,3,6,50.0,35,7,1,2,50.0,1,2,50.0,0,1,0.0,0,0.0,0,0,0,0,0
14,Isaac Carcelen,20.0,es  ESP,RB,27-226,90,8,13,61.5,86,58,7,8,87.5,1,2,50.0,0,3,0.0,0,0.0,0,1,0,0,1
15,Jeremías Ledesma,1.0,ar  ARG,GK,27-296,90,11,26,42.3,688,598,0,0,,1,1,100.0,10,25,40.0,0,0.0,0,1,0,0,0
16,16 Players,,,,,990,120,198,60.6,2633,1504,58,73,79.5,38,54,70.4,21,62,33.9,0,0.5,3,13,3,0,17
