,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Martin Braithwaite,9.0,dk  DEN,FW,29-183,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0
1,Philippe Coutinho,14.0,br  BRA,LW,28-176,45,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-204,45,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
3,Lionel Messi,10.0,ar  ARG,RW,33-164,90,0,0,0,0,3,0,1,2,0,0,0,0,3,0,1,0.0
4,Antoine Griezmann,7.0,fr  FRA,AM,29-259,90,0,0,0,0,1,0,2,0,1,0,0,0,7,1,1,50.0
5,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-207,90,0,0,0,1,0,0,1,1,3,0,0,0,14,5,1,83.3
6,Sergio Busquets,5.0,es  ESP,DM,32-142,77,0,0,0,0,1,0,1,2,2,0,0,0,15,6,3,66.7
7,Miralem Pjanić,8.0,ba  BIH,DM,30-247,13,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,
8,Jordi Alba,18.0,es  ESP,LB,31-259,90,1,0,0,1,0,0,3,1,0,0,0,0,15,0,1,0.0
9,Clément Lenglet,15.0,fr  FRA,CB,25-171,90,1,0,0,3,2,0,0,1,0,0,0,0,16,6,3,66.7
10,Óscar Mingueza,28.0,es  ESP,CB,21-206,45,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0.0
11,Pedri,16.0,es  ESP,"DM,CB",18-010,45,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0.0
12,Sergiño Dest,2.0,us  USA,RB,20-032,76,0,0,0,1,0,0,3,0,2,0,0,0,7,0,0,
13,Francisco Trincão,17.0,pt  POR,RB,20-342,14,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,
14,Marc-André ter Stegen,1.0,de  GER,GK,28-219,90,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
15,15 Players,,,,,990,2,0,0,8,9,1,16,9,9,0,0,0,108,18,14,56.3
