,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Álvaro Giménez,21.0,es  ESP,FW,29-200,61,0,0,0,0,0,0,0,,0,5,0,0.0,1,3,1,2,0,0,2,1,1,0,0
1,Álvaro Negredo,18.0,es  ESP,FW,35-107,29,0,0,0,0,0,0,0,,0,3,1,33.3,1,1,1,0,0,0,0,1,1,0,0
2,Alberto Perea,10.0,es  ESP,LM,29-352,79,1,1,1,0,0,0,5,0.0,5,14,4,28.6,9,3,2,4,1,0,3,1,2,2,0
3,Bobby Adekanye,32.0,nl  NED,LM,21-295,11,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,0,1,1,0,0,1,0,0,0,0
4,Álex Fernández,8.0,es  ESP,CM,28-051,90,1,0,1,0,0,1,4,25.0,3,18,2,11.1,15,3,0,1,0,0,1,1,2,5,0
5,Yann Bodiger,12.0,fr  FRA,CM,25-300,90,1,1,1,0,0,0,1,0.0,1,13,1,7.7,9,4,0,3,1,0,2,4,5,2,0
6,Jairo Izquierdo,25.0,es  ESP,RM,27-044,80,0,0,0,0,0,0,1,0.0,1,10,3,30.0,5,5,0,2,0,0,2,2,2,2,0
7,Iván Alejo,14.0,es  ESP,RM,25-299,10,1,1,0,1,0,0,1,0.0,1,5,2,40.0,2,3,0,1,0,0,1,0,1,1,0
8,Jens Jønsson,2.0,dk  DEN,DM,27-330,79,2,1,2,0,0,1,2,50.0,1,11,4,36.4,8,3,0,5,1,0,4,4,6,0,0
9,Augusto Fernández,17.0,ar  ARG,DM,34-239,11,0,0,0,0,0,0,1,0.0,1,5,0,0.0,4,1,0,0,0,0,0,0,0,0,0
10,Alfonso Espino,22.0,uy  URU,LB,28-335,90,5,3,2,3,0,3,5,60.0,2,16,3,18.8,13,3,0,3,0,0,3,5,10,3,0
11,Marcos Mauro López Gutiérrez,4.0,ar  ARG,CB,29-331,30,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,1,1,1,0
12,Pedro Alcalá,19.0,es  ESP,CB,31-261,60,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,4,0,0,4,0,0,6,0
13,Fali,3.0,es  ESP,CB,27-115,90,1,0,1,0,0,0,1,0.0,1,8,0,0.0,6,0,2,4,2,0,2,0,1,8,0
14,Isaac Carcelen,20.0,es  ESP,RB,27-226,90,1,1,0,0,1,0,2,0.0,2,7,4,57.1,4,2,1,9,4,0,5,0,1,8,0
15,Jeremías Ledesma,1.0,ar  ARG,GK,27-296,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,990,13,8,8,4,1,5,24,20.8,19,119,24,20.2,80,31,8,40,9,0,31,20,33,38,0
