,Cádiz (4-1-4-1),Cádiz (4-1-4-1).1
0,1,Jeremías Ledesma
1,2,Jens Jønsson
2,3,Fali
3,4,Marcos Mauro López Gutiérrez
4,8,Álex Fernández
5,10,Alberto Perea
6,12,Yann Bodiger
7,20,Isaac Carcelen
8,21,Álvaro Giménez
9,22,Alfonso Espino
10,25,Jairo Izquierdo
11,Bench,Bench
12,13,David Gil
13,5,Jon Ander Garrido
14,9,Anthony Lozano
15,11,Jorge Pombo
16,14,Iván Alejo
17,15,Carlos Akapo
18,17,Augusto Fernández
19,18,Álvaro Negredo
20,19,Pedro Alcalá
21,23,Nano
22,24,Filip Malbašić
23,32,Bobby Adekanye
