,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Álvaro Giménez,21.0,es  ESP,FW,29-200,61,13,13,0,0,0,7,0,1,0,0,0,0,6,3,4,6,1,2,0,0,6,0,1,0,1
1,Álvaro Negredo,18.0,es  ESP,FW,35-107,29,3,3,0,0,0,2,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2,0,0,0,0
2,Alberto Perea,10.0,es  ESP,LM,29-352,79,18,18,0,0,0,9,0,1,0,0,0,0,17,0,1,4,14,0,0,0,13,0,0,0,2
3,Bobby Adekanye,32.0,nl  NED,LM,21-295,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Álex Fernández,8.0,es  ESP,CM,28-051,90,40,31,9,2,0,11,3,1,5,2,2,0,25,3,12,10,29,1,0,0,27,0,1,4,2
5,Yann Bodiger,12.0,fr  FRA,CM,25-300,90,11,11,0,0,0,3,1,0,0,0,0,0,6,2,3,4,5,1,0,0,9,0,1,0,0
6,Jairo Izquierdo,25.0,es  ESP,RM,27-044,80,16,16,0,0,0,5,1,2,0,0,0,0,11,0,5,12,2,1,0,0,9,0,0,1,1
7,Iván Alejo,14.0,es  ESP,RM,25-299,10,5,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,1,0,0,2,0,0,0,1
8,Jens Jønsson,2.0,dk  DEN,DM,27-330,79,9,9,0,0,0,1,0,0,0,0,0,0,4,3,2,1,8,0,0,0,7,0,1,0,0
9,Augusto Fernández,17.0,ar  ARG,DM,34-239,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
10,Alfonso Espino,22.0,uy  URU,LB,28-335,90,30,20,10,2,0,3,2,0,0,0,0,0,10,8,12,20,1,1,8,0,18,0,0,2,3
11,Marcos Mauro López Gutiérrez,4.0,ar  ARG,CB,29-331,30,3,2,1,1,0,1,1,0,0,0,0,0,2,0,1,0,3,0,0,0,2,0,0,0,1
12,Pedro Alcalá,19.0,es  ESP,CB,31-261,60,4,3,1,1,0,0,1,0,0,0,0,0,0,0,4,0,3,1,0,0,2,0,1,0,0
13,Fali,3.0,es  ESP,CB,27-115,90,6,6,0,0,0,1,0,0,0,0,0,0,2,1,3,0,3,2,0,0,3,0,0,0,0
14,Isaac Carcelen,20.0,es  ESP,RB,27-226,90,13,12,1,0,0,3,1,1,0,0,0,0,5,2,6,1,8,1,1,1,8,1,0,0,0
15,Jeremías Ledesma,1.0,ar  ARG,GK,27-296,90,26,13,13,0,0,0,1,0,0,0,0,0,1,0,25,0,14,0,0,1,11,0,2,0,0
16,16 Players,,,,,990,198,163,35,6,0,47,11,6,5,2,2,0,95,23,80,60,96,11,9,2,120,1,7,7,11
