,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Martin Braithwaite,9.0,dk  DEN,FW,29-183,90,9,11,81.8,90,19,8,9,88.9,1,1,100.0,0,0,,0,0.0,1,0,0,0,0
1,Philippe Coutinho,14.0,br  BRA,LW,28-176,45,45,54,83.3,630,112,31,35,88.6,12,13,92.3,1,4,25.0,0,0.0,1,4,0,0,3
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-204,45,31,38,81.6,393,90,22,24,91.7,9,12,75.0,0,0,,0,0.3,2,0,2,0,3
3,Lionel Messi,10.0,ar  ARG,RW,33-164,90,67,87,77.0,1052,305,42,51,82.4,20,25,80.0,5,11,45.5,0,0.1,2,8,5,0,7
4,Antoine Griezmann,7.0,fr  FRA,AM,29-259,90,42,50,84.0,672,103,23,26,88.5,16,20,80.0,2,2,100.0,0,0.1,2,2,2,0,5
5,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-207,90,99,111,89.2,1653,334,42,47,89.4,56,61,91.8,1,1,100.0,0,0.0,0,6,2,0,5
6,Sergio Busquets,5.0,es  ESP,DM,32-142,77,110,124,88.7,1906,511,54,60,90.0,47,50,94.0,8,13,61.5,0,0.3,2,15,2,0,15
7,Miralem Pjanić,8.0,ba  BIH,DM,30-247,13,32,33,97.0,565,222,13,14,92.9,17,17,100.0,2,2,100.0,0,0.0,1,4,4,0,9
8,Jordi Alba,18.0,es  ESP,LB,31-259,90,108,128,84.4,1699,522,63,69,91.3,38,46,82.6,7,10,70.0,0,0.1,2,8,4,0,15
9,Clément Lenglet,15.0,fr  FRA,CB,25-171,90,92,98,93.9,1662,625,40,41,97.6,47,49,95.9,5,7,71.4,0,0.0,0,10,1,0,5
10,Óscar Mingueza,28.0,es  ESP,CB,21-206,45,42,44,95.5,788,188,15,15,100.0,23,24,95.8,4,5,80.0,0,0.0,0,5,1,0,2
11,Pedri,16.0,es  ESP,"DM,CB",18-010,45,55,59,93.2,923,148,20,21,95.2,32,32,100.0,2,3,66.7,0,0.0,1,5,1,0,2
12,Sergiño Dest,2.0,us  USA,RB,20-032,76,40,45,88.9,569,123,24,25,96.0,14,16,87.5,1,1,100.0,0,0.1,1,1,1,0,3
13,Francisco Trincão,17.0,pt  POR,RB,20-342,14,9,15,60.0,179,12,2,5,40.0,7,8,87.5,0,1,0.0,0,0.1,1,0,0,0,1
14,Marc-André ter Stegen,1.0,de  GER,GK,28-219,90,20,21,95.2,476,351,6,6,100.0,8,8,100.0,6,7,85.7,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,801,918,87.3,13257,3665,405,448,90.4,347,382,90.8,44,67,65.7,0,1.3,16,68,25,0,75
