,Possession_Cádiz,Possession_Barcelona
0,18%,82%
1,Passing Accuracy,Passing Accuracy
2,120 of 198 —  61%,87%  — 801 of 918
3,Shots on Target,Shots on Target
4,3 of 8 —  38%,38%  — 8 of 21
5,Saves,Saves
6,8 of 8 —  100%,33%  — 1 of 3
7,Cards,Cards
8,,
