blocks,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors
16,0,13,9,,9,0
19,0,13,4,,27,0
19,0,14,9,,12,0
14,0,13,5,,18,1
12,0,12,5,,22,0
27,0,23,5,,20,0
13,0,11,16,,12,0
17,0,13,10,,25,1
14,1,11,9,,21,2
15,0,11,3,,22,0
8,0,8,3,,5,0
19,0,15,2,,32,1
24,0,19,11,,15,0
20,0,19,4,,14,0
14,0,12,2,,8,0
23,0,14,8,,28,0
10,0,8,4,,11,0
25,0,21,2,,20,0
22,0,19,9,,9,1
19,0,16,3,,11,1
10,0,10,5,,3,0
17,0,16,6,,38,1
22,1,16,14,,8,1
22,0,17,13,,9,0
18,0,17,7,,13,0
17,0,15,16,,9,0
15,0,11,9,,8,1
21,0,19,12,,33,0
11,0,9,7,,0,1
17,0,13,8,,31,2
14,0,10,10,,15,0
18,1,17,3,,7,0
2,0,2,6,,10,0
30,0,23,11,,20,0
15,0,14,20,,12,0
16,0,12,9,,9,0
13,0,8,4,,15,0
20,0,16,4,,15,0
7,0,6,15,,21,1
16,1,12,9,,18,0
20,0,18,6,,16,2
27,0,17,12,,24,0
10,0,8,11,,7,0
20,0,18,12,,28,1
18,2,14,23,,21,1
6,0,5,9,,3,0
