,minute,team,player,x,y,xG,result,shotType,assist
0,9,Valencia,Daniel Wass,0.7319999694824219,0.40799999237060547,0.01968482695519924,BlockedShot,RightFoot,Hugo Guillamón
1,37,Valencia,Yunus Musah,0.9369999694824219,0.305,0.06597957015037537,MissedShots,RightFoot,Gonçalo Guedes
2,42,Valencia,Gabriel,0.9259999847412109,0.5129999923706055,0.07159356027841568,SavedShot,Head,Daniel Wass
3,45,Valencia,Maxi Gómez,0.75,0.5179999923706055,0.018902689218521118,MissedShots,RightFoot,None
4,45,Valencia,Hugo Duro,0.9480000305175781,0.6819999694824219,0.046638123691082,SavedShot,LeftFoot,Gabriel
5,47,Valencia,Daniel Wass,0.749000015258789,0.4759999847412109,0.02387249283492565,MissedShots,RightFoot,Hugo Guillamón
6,49,Valencia,Gonçalo Guedes,0.8540000152587891,0.46599998474121096,0.09051113575696945,MissedShots,RightFoot,Yunus Musah
7,50,Valencia,Maxi Gómez,0.715999984741211,0.5029999923706054,0.05093786492943764,MissedShots,RightFoot,None
8,53,Valencia,Hugo Duro,0.9159999847412109,0.4540000152587891,0.13728080689907074,SavedShot,LeftFoot,Gonçalo Guedes
9,58,Valencia,Daniel Wass,0.835999984741211,0.24200000762939453,0.015076691284775734,MissedShots,RightFoot,Maxi Gómez
10,65,Valencia,Hugo Duro,0.904000015258789,0.645,0.06644657254219055,Goal,LeftFoot,None
11,77,Valencia,Gabriel,0.9,0.515,0.04050814360380173,MissedShots,Head,Daniel Wass
12,6,Real Madrid,Federico Valverde,0.85,0.31,0.04620668664574623,BlockedShot,LeftFoot,None
13,6,Real Madrid,Casemiro,0.7759999847412109,0.3770000076293945,0.027616135776042938,MissedShots,RightFoot,Eden Hazard
14,10,Real Madrid,Federico Valverde,0.92,0.24299999237060546,0.029784364625811577,SavedShot,RightFoot,Eden Hazard
15,10,Real Madrid,Eder Militão,0.8769999694824219,0.5309999847412109,0.06952925026416779,MissedShots,RightFoot,Luka Modric
16,12,Real Madrid,Eden Hazard,0.935,0.6509999847412109,0.1110965684056282,BlockedShot,RightFoot,Vinícius Júnior
17,31,Real Madrid,Casemiro,0.7769999694824219,0.40200000762939453,0.027451466768980026,SavedShot,RightFoot,Eden Hazard
18,36,Real Madrid,Karim Benzema,0.9059999847412109,0.3770000076293945,0.09763135761022568,BlockedShot,LeftFoot,Eden Hazard
19,45,Real Madrid,Vinícius Júnior,0.9169999694824219,0.6769999694824219,0.05985888093709946,MissedShots,RightFoot,Casemiro
20,58,Real Madrid,Lucas Vázquez,0.725,0.3840000152587891,0.014076909981667995,SavedShot,RightFoot,None
21,60,Real Madrid,Casemiro,0.7080000305175781,0.6569999694824219,0.013988376595079899,SavedShot,RightFoot,Vinícius Júnior
22,61,Real Madrid,Lucas Vázquez,0.774000015258789,0.46099998474121096,0.030724918469786644,SavedShot,LeftFoot,Eden Hazard
23,64,Real Madrid,Vinícius Júnior,0.830999984741211,0.705,0.03025682084262371,SavedShot,RightFoot,Nacho
24,67,Real Madrid,Karim Benzema,0.8569999694824219,0.590999984741211,0.06763429939746857,SavedShot,LeftFoot,Eden Hazard
25,72,Real Madrid,Rodrygo,0.9209999847412109,0.34,0.05973130092024803,MissedShots,RightFoot,Lucas Vázquez
26,74,Real Madrid,Karim Benzema,0.750999984741211,0.67,0.013596764765679836,SavedShot,RightFoot,None
27,84,Real Madrid,Karim Benzema,0.9069999694824219,0.6359999847412109,0.06149165704846382,BlockedShot,RightFoot,David Alaba
28,85,Real Madrid,Vinícius Júnior,0.87,0.695,0.04453103989362717,Goal,RightFoot,Karim Benzema
29,87,Real Madrid,Karim Benzema,0.9259999847412109,0.52,0.558220386505127,Goal,OtherBodyPart,Vinícius Júnior
