,minute,team,player,x,y,xG,result,shotType,assist
0,0,Alaves,Edgar Méndez,0.9069999694824219,0.5,0.11987870186567307,MissedShots,Head,Manu García
1,5,Alaves,Luis Rioja,0.7759999847412109,0.23100000381469726,0.014379680156707764,SavedShot,LeftFoot,Florian Lejeune
2,21,Alaves,Joselu,0.9169999694824219,0.36900001525878906,0.053210947662591934,BlockedShot,RightFoot,Martín Aguirregabiria
3,37,Alaves,Luis Rioja,0.9009999847412109,0.534000015258789,0.09961751848459244,BlockedShot,Head,Edgar Méndez
4,37,Alaves,Pere Pons,0.9159999847412109,0.5790000152587891,0.0865996852517128,MissedShots,RightFoot,None
5,41,Alaves,Luis Rioja,0.8669999694824219,0.6229999923706054,0.13865630328655243,MissedShots,LeftFoot,Pere Pons
6,52,Alaves,Manu García,0.7959999847412109,0.39099998474121095,0.03257543966174126,BlockedShot,RightFoot,None
7,61,Alaves,John Guidetti,0.85,0.44799999237060545,0.0459756962954998,SavedShot,RightFoot,Edgar Méndez
8,64,Alaves,Joselu,0.885,0.5,0.7432776093482971,Goal,RightFoot,None
9,69,Alaves,John Guidetti,0.7630000305175781,0.6959999847412109,0.05626046657562256,BlockedShot,RightFoot,None
10,78,Alaves,Mamadou Loum,0.7569999694824219,0.5270000076293946,0.020540287718176842,SavedShot,LeftFoot,Facundo Pellistri
11,16,Real Madrid,Eden Hazard,0.789000015258789,0.580999984741211,0.032534562051296234,MissedShots,RightFoot,Luka Modric
12,19,Real Madrid,Gareth Bale,0.715999984741211,0.35700000762939454,0.015005036257207394,MissedShots,LeftFoot,Lucas Vázquez
13,20,Real Madrid,Gareth Bale,0.775,0.6430000305175781,0.02009705640375614,MissedShots,LeftFoot,None
14,31,Real Madrid,Karim Benzema,0.8090000152587891,0.6780000305175782,0.031717654317617416,MissedShots,RightFoot,Eder Militão
15,32,Real Madrid,Eden Hazard,0.915,0.669000015258789,0.05949541926383972,BlockedShot,LeftFoot,David Alaba
16,32,Real Madrid,Federico Valverde,0.725999984741211,0.4640000152587891,0.015152541920542717,MissedShots,RightFoot,None
17,36,Real Madrid,Gareth Bale,0.72,0.5420000076293945,0.052266016602516174,SavedShot,LeftFoot,None
18,45,Real Madrid,David Alaba,0.695,0.49400001525878906,0.04127122089266777,MissedShots,LeftFoot,None
19,47,Real Madrid,Karim Benzema,0.91,0.4570000076293945,0.13009800016880035,Goal,RightFoot,Eden Hazard
20,50,Real Madrid,Gareth Bale,0.8480000305175781,0.34900001525878904,0.06267625838518143,BlockedShot,LeftFoot,Eden Hazard
21,55,Real Madrid,Nacho,0.960999984741211,0.45799999237060546,0.47119975090026855,Goal,RightFoot,Luka Modric
22,57,Real Madrid,Karim Benzema,0.925,0.555,0.05356837809085846,MissedShots,Head,Lucas Vázquez
23,60,Real Madrid,Karim Benzema,0.8580000305175781,0.605,0.10055214166641235,SavedShot,RightFoot,Eden Hazard
24,61,Real Madrid,Karim Benzema,0.875,0.49900001525878906,0.13705064356327057,BlockedShot,LeftFoot,Federico Valverde
25,61,Real Madrid,Karim Benzema,0.970999984741211,0.4129999923706055,0.12231598049402237,Goal,RightFoot,None
26,83,Real Madrid,Federico Valverde,0.745999984741211,0.40900001525878904,0.02510581724345684,MissedShots,RightFoot,Vinícius Júnior
27,85,Real Madrid,Luka Modric,0.825,0.5570000076293945,0.06265629827976227,BlockedShot,LeftFoot,None
28,90,Real Madrid,Vinícius Júnior,0.9630000305175781,0.6840000152587891,0.1948663592338562,SavedShot,LeftFoot,Casemiro
29,91,Real Madrid,Vinícius Júnior,0.9590000152587891,0.504000015258789,0.5278842449188232,Goal,Head,David Alaba
