,minute,team,player,x,y,xG,result,shotType,assist
0,5,Real Madrid,Vinícius Júnior,0.9309999847412109,0.5659999847412109,0.1204543188214302,SavedShot,Head,Luka Modric
1,9,Real Madrid,Vinícius Júnior,0.8390000152587891,0.6140000152587891,0.06512679904699326,BlockedShot,RightFoot,Luka Modric
2,13,Real Madrid,Casemiro,0.9159999847412109,0.5690000152587891,0.11785142123699188,MissedShots,LeftFoot,Karim Benzema
3,14,Real Madrid,Eden Hazard,0.9159999847412109,0.715,0.06336549669504166,SavedShot,RightFoot,None
4,22,Real Madrid,Eden Hazard,0.9080000305175782,0.32799999237060545,0.054847270250320435,SavedShot,RightFoot,Karim Benzema
5,23,Real Madrid,Karim Benzema,0.8830000305175781,0.46,0.42407307028770447,Goal,RightFoot,Federico Valverde
6,36,Real Madrid,Karim Benzema,0.88,0.3559999847412109,0.08756017684936523,BlockedShot,LeftFoot,Vinícius Júnior
7,45,Real Madrid,Karim Benzema,0.9169999694824219,0.42900001525878906,0.07731546461582184,Goal,Head,Miguel Gutiérrez
8,54,Real Madrid,Vinícius Júnior,0.9119999694824219,0.6179999923706054,0.32186925411224365,Goal,RightFoot,Karim Benzema
9,65,Real Madrid,Vinícius Júnior,0.8340000152587891,0.4909999847412109,0.0782885029911995,SavedShot,RightFoot,None
10,71,Real Madrid,Luka Modric,0.8809999847412109,0.4370000076293945,0.09234338253736496,SavedShot,RightFoot,Daniel Carvajal
11,71,Real Madrid,Eduardo Camavinga,0.955999984741211,0.4520000076293945,0.6242334246635437,Goal,LeftFoot,None
12,79,Real Madrid,Karim Benzema,0.8680000305175781,0.6730000305175782,0.08263514935970306,BlockedShot,RightFoot,Vinícius Júnior
13,86,Real Madrid,Karim Benzema,0.885,0.5,0.7431496977806091,Goal,RightFoot,None
14,92,Real Madrid,Eder Militão,0.955999984741211,0.5420000076293945,0.1418714076280594,SavedShot,RightFoot,Karim Benzema
15,3,Celta Vigo,Santi Mina,0.8780000305175781,0.36900001525878906,0.3256232440471649,Goal,RightFoot,Iago Aspas
16,30,Celta Vigo,Franco Cervi,0.935,0.47200000762939454,0.5906451344490051,ShotOnPost,RightFoot,Hugo Mallo
17,30,Celta Vigo,Franco Cervi,0.97,0.4520000076293945,0.6491378545761108,Goal,LeftFoot,None
18,36,Celta Vigo,Iago Aspas,0.8009999847412109,0.515,0.06301527470350266,BlockedShot,LeftFoot,Brais Méndez
19,41,Celta Vigo,Brais Méndez,0.8069999694824219,0.4929999923706055,0.06486228853464127,BlockedShot,LeftFoot,Iago Aspas
20,45,Celta Vigo,Santi Mina,0.8680000305175781,0.6719999694824219,0.06363636255264282,BlockedShot,RightFoot,Iago Aspas
21,52,Celta Vigo,Santi Mina,0.8719999694824219,0.3529999923706055,0.07414305955171585,SavedShot,RightFoot,Hugo Mallo
22,56,Celta Vigo,Augusto Solari,0.8830000305175781,0.3340000152587891,0.051686108112335205,SavedShot,RightFoot,None
23,73,Celta Vigo,Nolito,0.9130000305175782,0.5359999847412109,0.4190862774848938,MissedShots,RightFoot,Thiago Galhardo
24,77,Celta Vigo,Augusto Solari,0.8919999694824219,0.3240000152587891,0.059941500425338745,BlockedShot,RightFoot,Iago Aspas
25,77,Celta Vigo,Fran Beltrán,0.7419999694824219,0.3120000076293945,0.012256068177521229,MissedShots,RightFoot,None
