,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Santi Mina,22.0,es  ESP,FW,25-160,90,2,0,0,0,2,2,0,0,40,37,3,0,1,0.3,0.3,0.0,2,0,22,28,78.6,1,20,2,0,0
1,Iago Aspas,10.0,es  ESP,FW,33-288,77,0,1,0,0,0,0,0,0,33,17,1,0,0,0.0,0.0,0.0,1,1,26,28,92.9,6,20,1,0,0
2,Miguel Baeza,27.0,es  ESP,FW,21-050,13,0,0,0,0,0,0,0,0,2,6,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
3,Nolito,9.0,es  ESP,LM,34-213,68,0,0,0,0,0,0,0,0,37,23,4,1,3,0.0,0.0,0.0,0,0,19,25,76.0,0,23,1,0,2
4,Augusto Solari,21.0,ar  ARG,LM,29-133,22,0,0,0,0,1,1,0,0,18,10,3,0,0,0.4,0.4,0.0,0,0,7,13,53.8,2,8,2,0,0
5,Denis Suárez,6.0,es  ESP,CM,27-130,90,0,0,0,0,1,1,0,0,56,32,5,1,3,0.1,0.1,0.4,1,0,33,44,75.0,1,28,3,1,1
6,Fran Beltrán,8.0,es  ESP,CM,22-102,89,0,0,0,0,0,0,0,0,64,35,3,2,1,0.0,0.0,0.0,0,0,48,53,90.6,0,37,3,0,0
7,Hugo Sotelo,44.0,es  ESP,CM,17-148,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
8,Brais Méndez,23.0,es  ESP,RM,24-129,90,0,0,0,0,0,0,1,0,62,39,4,4,1,0.0,0.0,0.1,3,2,39,45,86.7,4,40,3,0,2
9,Aarón Martín,19.0,es  ESP,LB,24-024,90,0,0,0,0,0,0,0,0,33,19,3,0,0,0.0,0.0,0.0,0,0,24,28,85.7,1,11,2,0,1
10,Carlos Dominguez,40.0,es  ESP,CB,20-135,90,0,0,0,0,0,0,1,0,48,11,1,4,3,0.0,0.0,0.0,0,0,26,35,74.3,0,23,0,0,0
11,Néstor Araujo,4.0,mx  MEX,CB,29-260,90,0,0,0,0,0,0,0,0,60,5,2,1,2,0.0,0.0,0.0,0,0,43,46,93.5,2,25,2,0,0
12,Kevin Vázquez,20.0,es  ESP,RB,28-054,90,0,0,0,0,0,0,0,0,66,17,2,2,4,0.0,0.0,0.0,1,1,41,55,74.5,1,33,2,0,0
13,Iván Villar,1.0,es  ESP,GK,23-311,90,0,0,0,0,0,0,0,0,42,0,0,0,1,0.0,0.0,0.0,0,0,27,38,71.1,0,8,0,0,0
14,14 Players,,,,,990,2,1,0,0,4,4,2,0,561,252,31,15,19,0.8,0.8,0.5,8,4,356,440,80.9,18,277,21,1,6
