,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,FW,33-326,90,0,0,0,0,3,0,3,1,1,0,0,0,3,0,1,0.0
1,Antoine Griezmann,7.0,fr  FRA,FW,30-056,69,0,0,0,0,0,0,0,0,1,0,0,0,7,1,1,50.0
2,Martin Braithwaite,9.0,dk  DEN,FW,29-345,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Pedri,16.0,es  ESP,CM,18-172,45,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,
4,Riqui Puig,12.0,es  ESP,CM,21-276,45,1,0,0,1,4,0,0,0,3,0,0,0,4,0,0,
5,Ilaix,27.0,es  ESP,CM,18-117,85,0,0,0,1,6,0,0,3,2,0,0,0,12,1,0,100.0
6,Miralem Pjanić,8.0,ba  BIH,CM,31-044,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
7,Sergio Busquets,5.0,es  ESP,DM,32-304,90,0,0,0,3,3,0,0,1,2,0,0,0,5,0,0,
8,Jordi Alba,18.0,es  ESP,WB,32-056,90,0,0,0,1,0,0,4,1,0,0,0,0,7,1,0,100.0
9,Ousmane Dembélé,11.0,fr  FRA,WB,24-001,69,0,0,0,0,3,0,8,1,0,0,0,0,1,1,0,100.0
10,Francisco Trincão,17.0,pt  POR,WB,21-138,21,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
11,Clément Lenglet,15.0,fr  FRA,CB,25-333,82,2,1,1,2,0,0,0,1,0,0,0,0,9,1,3,25.0
12,Gerard Piqué,3.0,es  ESP,CB,34-103,63,0,0,0,0,0,0,1,3,0,0,0,0,3,3,1,75.0
13,Sergiño Dest,2.0,us  USA,CB,20-194,27,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0
14,Ronald Araújo,4.0,uy  URU,CB,22-070,90,0,0,0,0,3,0,0,2,1,0,0,0,13,2,1,66.7
15,Marc-André ter Stegen,1.0,de  GER,GK,29-016,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
16,16 Players,,,,,982,3,1,1,8,25,0,17,14,11,0,0,0,72,10,8,55.6
