,Celta Vigo (4-4-2),Celta Vigo (4-4-2).1
0,1,Iván Villar
1,4,Néstor Araujo
2,6,Denis Suárez
3,8,Fran Beltrán
4,9,Nolito
5,10,Iago Aspas
6,19,Aarón Martín
7,20,Kevin Vázquez
8,22,Santi Mina
9,23,Brais Méndez
10,40,Carlos Dominguez
11,Bench,Bench
12,41,Patrick Sequeira
13,17,David Juncà
14,21,Augusto Solari
15,27,Miguel Baeza
16,44,Hugo Sotelo
