,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Lionel Messi,10.0,ar  ARG,FW,33-326,90,1,1,1,0,0,1,1,100.0,0,11,6,54.5,1,0,10,1,0,0,1,1,2,0,0
1,Antoine Griezmann,7.0,fr  FRA,FW,30-056,69,3,1,1,0,2,1,1,100.0,0,14,4,28.6,1,3,10,3,0,0,3,0,3,0,0
2,Martin Braithwaite,9.0,dk  DEN,FW,29-345,21,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
3,Pedri,16.0,es  ESP,CM,18-172,45,1,1,0,1,0,0,0,,0,16,3,18.8,0,5,11,0,0,0,0,0,1,0,0
4,Riqui Puig,12.0,es  ESP,CM,21-276,45,3,3,1,2,0,1,1,100.0,0,19,4,21.1,1,12,6,0,0,0,0,0,3,0,0
5,Ilaix,27.0,es  ESP,CM,18-117,85,3,2,0,3,0,1,1,100.0,0,22,6,27.3,4,12,6,2,0,0,2,3,6,2,0
6,Miralem Pjanić,8.0,ba  BIH,CM,31-044,5,0,0,0,0,0,0,0,,0,2,1,50.0,1,1,0,0,0,0,0,1,1,1,0
7,Sergio Busquets,5.0,es  ESP,DM,32-304,90,4,2,3,1,0,0,1,0.0,1,13,5,38.5,4,8,1,2,0,0,2,1,5,0,0
8,Jordi Alba,18.0,es  ESP,WB,32-056,90,0,0,0,0,0,0,0,,0,10,1,10.0,0,8,2,4,0,0,4,1,1,1,0
9,Ousmane Dembélé,11.0,fr  FRA,WB,24-001,69,0,0,0,0,0,0,0,,0,8,2,25.0,0,3,5,1,0,0,1,1,1,0,0
10,Francisco Trincão,17.0,pt  POR,WB,21-138,21,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
11,Clément Lenglet,15.0,fr  FRA,CB,25-333,82,0,0,0,0,0,0,0,,0,23,8,34.8,5,15,3,2,0,0,2,1,1,1,0
12,Gerard Piqué,3.0,es  ESP,CB,34-103,63,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,3,3,3,0
13,Sergiño Dest,2.0,us  USA,CB,20-194,27,1,0,0,1,0,0,0,,0,6,1,16.7,0,5,1,0,0,0,0,0,1,0,0
14,Ronald Araújo,4.0,uy  URU,CB,22-070,90,2,1,0,2,0,1,1,100.0,0,9,3,33.3,1,6,2,0,0,0,0,2,4,0,0
15,Marc-André ter Stegen,1.0,de  GER,GK,29-016,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
16,16 Players,,,,,982,18,11,6,10,2,5,6,83.3,1,159,45,28.3,18,82,59,15,0,0,15,14,32,8,0
