,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Lionel Messi,10.0,ar  ARG,FW,33-326,90,1,0,0,0,8,2,0,0,91,11,1,1,1,0.8,0.8,0.3,10,0,59,71,83.1,9,78,19,10,11
1,Antoine Griezmann,7.0,fr  FRA,FW,30-056,69,0,0,0,0,2,1,0,0,50,14,3,0,3,0.2,0.2,0.2,3,0,33,36,91.7,1,30,2,0,1
2,Martin Braithwaite,9.0,dk  DEN,FW,29-345,21,0,0,0,0,1,0,0,0,6,3,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,2,1,0,0
3,Pedri,16.0,es  ESP,CM,18-172,45,0,0,0,0,1,0,0,0,26,16,1,0,0,0.0,0.0,0.0,2,0,19,23,82.6,1,21,3,2,2
4,Riqui Puig,12.0,es  ESP,CM,21-276,45,0,0,0,0,0,0,1,0,34,19,3,0,0,0.0,0.0,0.0,2,0,26,27,96.3,1,28,2,3,4
5,Ilaix,27.0,es  ESP,CM,18-117,85,0,0,0,0,2,0,0,0,73,22,3,3,2,0.1,0.1,0.1,4,0,54,60,90.0,3,59,7,3,4
6,Miralem Pjanić,8.0,ba  BIH,CM,31-044,5,0,0,0,0,0,0,0,0,14,2,0,1,0,0.0,0.0,0.1,2,0,12,12,100.0,3,10,1,0,0
7,Sergio Busquets,5.0,es  ESP,DM,32-304,90,0,1,0,0,0,0,0,0,103,13,4,1,2,0.0,0.0,0.3,4,1,86,93,92.5,13,62,4,1,1
8,Jordi Alba,18.0,es  ESP,WB,32-056,90,0,0,0,0,1,0,0,0,101,10,0,1,4,0.1,0.1,0.3,3,0,79,91,86.8,9,59,3,1,2
9,Ousmane Dembélé,11.0,fr  FRA,WB,24-001,69,0,0,0,0,2,1,0,0,64,8,0,1,1,0.1,0.1,0.2,4,0,42,52,80.8,1,46,10,5,6
10,Francisco Trincão,17.0,pt  POR,WB,21-138,21,0,0,0,0,0,0,0,0,17,0,0,0,0,0.0,0.0,0.0,1,0,14,15,93.3,0,15,1,2,2
11,Clément Lenglet,15.0,fr  FRA,CB,25-333,82,0,0,0,0,0,0,2,1,82,23,0,1,2,0.0,0.0,0.0,1,1,77,79,97.5,2,69,7,0,0
12,Gerard Piqué,3.0,es  ESP,CB,34-103,63,0,0,0,0,0,0,0,0,67,3,0,3,0,0.0,0.0,0.4,2,0,60,61,98.4,0,48,1,0,0
13,Sergiño Dest,2.0,us  USA,CB,20-194,27,0,0,0,0,1,0,0,0,28,6,1,0,0,0.0,0.0,0.0,2,0,20,22,90.9,0,20,5,1,3
14,Ronald Araújo,4.0,uy  URU,CB,22-070,90,0,0,0,0,3,0,0,0,88,9,2,2,0,0.4,0.4,0.0,0,0,73,80,91.3,3,67,6,1,1
15,Marc-André ter Stegen,1.0,de  GER,GK,29-016,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0.0,0.0,0.0,0,0,31,35,88.6,0,25,0,0,0
16,16 Players,,,,,982,1,1,0,0,21,4,3,1,880,159,18,14,15,1.9,1.9,1.8,40,2,688,761,90.4,46,639,72,29,37
