,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Lionel Messi,10.0,ar  ARG,FW,33-326,90,91,0,1,33,66,13,81,10,11,90.9,10,1,78,476,280,19,7,2,5,6,87,76,87.4,12
1,Antoine Griezmann,7.0,fr  FRA,FW,30-056,69,50,0,2,18,34,6,48,0,1,0.0,0,0,30,147,43,2,1,0,1,3,45,34,75.6,12
2,Martin Braithwaite,9.0,dk  DEN,FW,29-345,21,6,0,0,1,5,2,6,0,0,,0,0,2,44,11,1,0,0,0,1,6,6,100.0,2
3,Pedri,16.0,es  ESP,CM,18-172,45,26,0,2,9,17,1,26,2,2,100.0,2,0,21,119,43,3,1,1,0,2,25,22,88.0,1
4,Riqui Puig,12.0,es  ESP,CM,21-276,45,34,0,3,26,11,1,34,3,4,75.0,3,0,28,125,47,2,3,0,1,1,29,27,93.1,2
5,Ilaix,27.0,es  ESP,CM,18-117,85,73,2,7,44,29,2,73,3,4,75.0,3,0,59,268,124,7,2,1,0,1,56,50,89.3,2
6,Miralem Pjanić,8.0,ba  BIH,CM,31-044,5,14,0,5,9,1,0,14,0,0,,0,0,10,44,26,1,0,0,0,0,11,11,100.0,0
7,Sergio Busquets,5.0,es  ESP,DM,32-304,90,103,1,17,66,24,0,101,1,1,100.0,1,0,62,239,122,4,0,0,0,2,88,85,96.6,1
8,Jordi Alba,18.0,es  ESP,WB,32-056,90,101,2,14,36,56,4,92,1,2,50.0,2,1,59,179,99,3,0,0,1,1,86,78,90.7,6
9,Ousmane Dembélé,11.0,fr  FRA,WB,24-001,69,64,1,3,23,41,6,56,5,6,83.3,5,0,46,281,213,10,2,3,3,4,55,50,90.9,6
10,Francisco Trincão,17.0,pt  POR,WB,21-138,21,17,0,5,10,6,0,17,2,2,100.0,2,0,15,74,20,1,0,0,0,0,15,15,100.0,1
11,Clément Lenglet,15.0,fr  FRA,CB,25-333,82,82,1,19,54,14,0,82,0,0,,0,0,69,266,158,7,2,0,0,0,71,70,98.6,0
12,Gerard Piqué,3.0,es  ESP,CB,34-103,63,67,2,26,42,1,1,64,0,0,,0,0,48,248,143,1,0,0,0,1,55,54,98.2,0
13,Sergiño Dest,2.0,us  USA,CB,20-194,27,28,0,7,13,10,2,23,1,3,33.3,1,0,20,121,87,5,1,1,0,2,19,19,100.0,1
14,Ronald Araújo,4.0,uy  URU,CB,22-070,90,88,2,37,51,7,2,80,1,1,100.0,1,0,67,348,197,6,2,0,0,0,63,62,98.4,0
15,Marc-André ter Stegen,1.0,de  GER,GK,29-016,90,36,30,36,0,0,0,36,0,0,,0,0,25,83,35,0,0,0,0,0,29,29,100.0,0
16,16 Players,,,,,982,880,41,184,435,322,40,833,29,37,78.4,30,2,639,3062,1648,72,21,8,11,24,740,688,93.0,46
