,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Santi Mina,22.0,es  ESP,FW,25-160,90,40,2,10,22,10,1,39,0,0,,0,0,20,110,29,2,0,0,1,1,42,30,71.4,6
1,Iago Aspas,10.0,es  ESP,FW,33-288,77,33,0,6,21,6,1,33,0,0,,0,0,20,92,34,1,0,0,1,2,40,28,70.0,4
2,Miguel Baeza,27.0,es  ESP,FW,21-050,13,2,0,2,0,0,0,2,0,0,,0,0,1,1,0,0,0,0,0,0,2,1,50.0,0
3,Nolito,9.0,es  ESP,LM,34-213,68,37,0,7,27,4,0,37,0,2,0.0,0,0,23,85,19,1,1,0,2,1,33,27,81.8,2
4,Augusto Solari,21.0,ar  ARG,LM,29-133,22,18,0,8,7,4,1,18,0,0,,0,0,8,66,51,2,0,0,1,1,13,11,84.6,0
5,Denis Suárez,6.0,es  ESP,CM,27-130,90,56,0,17,30,11,2,53,1,1,100.0,1,0,28,142,80,3,2,0,1,1,41,35,85.4,0
6,Fran Beltrán,8.0,es  ESP,CM,22-102,89,64,4,31,33,1,0,62,0,0,,0,0,37,172,55,3,0,0,2,1,46,44,95.7,0
7,Hugo Sotelo,44.0,es  ESP,CM,17-148,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
8,Brais Méndez,23.0,es  ESP,RM,24-129,90,62,3,28,28,12,1,61,0,2,0.0,0,0,40,134,80,3,3,0,0,6,49,42,85.7,5
9,Aarón Martín,19.0,es  ESP,LB,24-024,90,33,2,12,17,4,0,25,0,1,0.0,0,0,11,43,12,2,0,0,0,0,27,20,74.1,0
10,Carlos Dominguez,40.0,es  ESP,CB,20-135,90,48,17,40,10,0,0,48,0,0,,0,0,23,143,54,0,0,0,0,0,27,27,100.0,0
11,Néstor Araujo,4.0,mx  MEX,CB,29-260,90,60,18,51,11,0,0,58,0,0,,0,0,25,135,80,2,0,0,0,0,36,36,100.0,0
12,Kevin Vázquez,20.0,es  ESP,RB,28-054,90,66,8,37,28,4,0,56,0,0,,0,0,33,131,75,2,1,0,1,0,41,40,97.6,1
13,Iván Villar,1.0,es  ESP,GK,23-311,90,42,41,42,0,0,0,26,0,0,,0,0,8,34,20,0,0,0,0,0,16,15,93.8,0
14,14 Players,,,,,990,561,95,291,234,56,6,518,1,6,16.7,1,0,277,1288,589,21,7,0,9,13,413,356,86.2,18
