,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
303,Mario Suárez,"€ 10,962","€ 570,000","Jun 30, 2023",1-yr,"€ 570,000",,D,CB,35,Spain,Rayo Vallecano
304,Reinier,"€ 10,962","€ 570,000","Jun 30, 2026",4-yrs,"€ 2,280,000",,F,AM,20,Brazil,Real Madrid
305,Jorge Pombo,"€ 10,962","€ 570,000","Jun 30, 2023",1-yr,"€ 570,000",,F,AM,28,Spain,Cadiz
306,Fede San Emeterio,"€ 10,577","€ 550,000","Jun 30, 2023",1-yr,"€ 550,000",,M,CM,25,Spain,Valladolid
307,Santi Comesaña,"€ 10,000","€ 520,000","Jun 30, 2023",1-yr,"€ 520,000",,M,CM,25,Spain,Rayo Vallecano
308,Óscar Gil,"€ 10,000","€ 520,000","Jun 30, 2024",2-yrs,"€ 1,040,000",,D,RB,24,Spain,Espanyol
309,Paul Akouokou,"€ 9,808","€ 510,000","Jun 30, 2024",2-yrs,"€ 1,020,000",,M,DM,24,Cote d'Ivoire,Real Betis
310,Martín Merquelanz,"€ 9,615","€ 500,000","Jun 30, 2025",3-yrs,"€ 1,500,000",,F,LW,27,Spain,Real Sociedad
311,Álex Baena,"€ 9,615","€ 500,000","Jun 30, 2025",3-yrs,"€ 1,500,000",,F,LW,20,Spain,Villarreal
312,Juanjo Nieto,"€ 9,615","€ 500,000","Jun 30, 2023",1-yr,"€ 500,000",,D,RB,27,Spain,Almeria
313,Alfonso Espino,"€ 9,615","€ 500,000","Jun 30, 2023",1-yr,"€ 500,000",,D,LB,30,Uruguay,Cadiz
314,Fali,"€ 9,615","€ 500,000","Jun 30, 2024",2-yrs,"€ 1,000,000",,D,CB,28,Spain,Cadiz
315,Mathew Ryan,"€ 9,615","€ 500,000","Jun 30, 2023",1-yr,"€ 500,000",,K,GK,30,Australia,Real Sociedad
316,Jon Moncayola,"€ 9,615","€ 500,000","Jun 30, 2031",9-yrs,"€ 4,500,000",,M,CM,24,Spain,Osasuna
317,Braian Cufré,"€ 9,615","€ 500,000","Jun 30, 2024",2-yrs,"€ 1,000,000",,D,LB,25,Argentina,Mallorca
318,Raúl Carnero,"€ 9,615","€ 500,000","Jun 30, 2023",1-yr,"€ 500,000",,D,LB,33,Spain,Valladolid
319,Javi Puado,"€ 9,615","€ 500,000","Jun 30, 2025",3-yrs,"€ 1,500,000",,F,LW,24,Spain,Espanyol
320,Óscar Plano,"€ 9,423","€ 490,000","Jun 30, 2023",1-yr,"€ 490,000",,F,RW,31,Spain,Valladolid
321,Jon Bautista,"€ 9,423","€ 490,000","Jun 30, 2023",1-yr,"€ 490,000",,F,CF,27,Spain,Real Sociedad
322,Álex Fernández,"€ 9,423","€ 490,000","Jun 30, 2025",3-yrs,"€ 1,470,000",,F,AM,29,Spain,Cadiz
323,Jordi Masip,"€ 9,231","€ 480,000","Jun 30, 2024",2-yrs,"€ 960,000",,K,GK,33,Spain,Valladolid
324,Aleksandar Sedlar,"€ 9,231","€ 480,000","Jun 30, 2023",1-yr,"€ 480,000",,D,CB,30,Serbia,Mallorca
325,Iza Carcelén,"€ 9,231","€ 480,000","Jun 30, 2023",1-yr,"€ 480,000",,D,RB,29,Spain,Cadiz
326,Erick Cabaco,"€ 9,038","€ 470,000","Jun 30, 2024",2-yrs,"€ 940,000",,D,CB,27,Uruguay,Getafe
327,Iván Alejo,"€ 9,038","€ 470,000","Jun 30, 2025",3-yrs,"€ 1,410,000",,F,RW,27,Spain,Cadiz
328,Raúl Guti,"€ 9,038","€ 470,000","Jun 30, 2025",3-yrs,"€ 1,410,000",,M,CM,25,Spain,Elche
329,Víctor Mollejo,"€ 8,846","€ 460,000","Jun 30, 2024",2-yrs,"€ 920,000",,F,RW,21,Spain,Atletico Madrid
330,Nico Melamed,"€ 8,846","€ 460,000","Jun 30, 2024",2-yrs,"€ 920,000",,F,LW,21,Spain,Espanyol
331,Kike Barja,"€ 8,846","€ 460,000","Jun 30, 2026",4-yrs,"€ 1,840,000",,F,RW,25,Spain,Osasuna
332,Lago Júnior,"€ 8,654","€ 450,000","Jun 30, 2023",1-yr,"€ 450,000",,F,LW,31,Cote d'Ivoire,Mallorca
333,Carlos Akapo,"€ 8,654","€ 450,000","Jun 30, 2023",1-yr,"€ 450,000",,D,RB,29,Equatorial Guinea,Cadiz
334,Lucas Torró,"€ 8,654","€ 450,000","Jun 30, 2027",5-yrs,"€ 2,250,000",,M,DM,27,Spain,Osasuna
335,Alejandro Catena,"€ 8,462","€ 440,000","Jun 30, 2023",1-yr,"€ 440,000",,D,CB,27,Spain,Rayo Vallecano
336,Peru Nolaskoain,"€ 8,462","€ 440,000","Jun 30, 2024",2-yrs,"€ 880,000",,M,DM,23,Spain,Athletic Club
337,Modibo Sagnan,"€ 8,462","€ 440,000","Jun 30, 2024",2-yrs,"€ 880,000",,D,CB,23,France,Real Sociedad
338,Dani Rodríguez,"€ 8,462","€ 440,000","Jun 30, 2024",2-yrs,"€ 880,000",,F,AM,34,Spain,Mallorca
339,Manu Sánchez,"€ 8,462","€ 440,000","Jun 30, 2025",3-yrs,"€ 1,320,000",,D,LB,21,Spain,Atletico Madrid
340,Aitor Ruibal,"€ 8,462","€ 440,000","Jun 30, 2025",3-yrs,"€ 1,320,000",,F,RW,26,Spain,Real Betis
341,Chema,"€ 8,462","€ 440,000","Jun 30, 2023",1-yr,"€ 440,000",,D,CB,30,Spain,Getafe
342,Jon Pacheco,"€ 8,269","€ 430,000","Jun 30, 2027",5-yrs,"€ 2,150,000",,D,CB,21,Spain,Real Sociedad
343,Juan Berrocal,"€ 8,269","€ 430,000","Jun 30, 2023",1-yr,"€ 430,000",,D,CB,23,Spain,Sevilla
344,Iñaki Peña,"€ 8,077","€ 420,000","Jun 30, 2023",1-yr,"€ 420,000",,K,GK,23,Spain,Barcelona
345,Kike Pérez,"€ 8,077","€ 420,000","Jun 30, 2025",3-yrs,"€ 1,260,000",,M,CM,25,Spain,Valladolid
346,Álvaro Giménez,"€ 8,077","€ 420,000","Jun 30, 2023",1-yr,"€ 420,000",,F,CF,31,Spain,Cadiz
347,Amath Ndiaye,"€ 8,077","€ 420,000","Jun 30, 2025",3-yrs,"€ 1,260,000",,F,LW,25,Senegal,Mallorca
348,José Mari,"€ 7,885","€ 410,000","Jun 30, 2024",2-yrs,"€ 820,000",,M,DM,34,Spain,Cadiz
349,Nano Mesa,"€ 7,692","€ 400,000","Jun 30, 2024",2-yrs,"€ 800,000",,F,CF,27,Spain,Cadiz
350,Luis Pérez,"€ 7,692","€ 400,000","Jun 30, 2023",1-yr,"€ 400,000",,D,RB,27,Spain,Valladolid
351,Diego Lainez,"€ 7,692","€ 400,000","Jun 30, 2024",2-yrs,"€ 800,000",,F,RW,22,Mexico,Real Betis
352,Rodri,"€ 7,692","€ 400,000","Jun 30, 2026",4-yrs,"€ 1,600,000",,F,AM,22,Spain,Real Betis
353,Jesús Areso,"€ 7,692","€ 400,000","Jun 30, 2026",4-yrs,"€ 1,600,000",,D,RB,23,Spain,Osasuna
354,Sergi Guardiola,"€ 7,500","€ 390,000","Jun 30, 2023",1-yr,"€ 390,000",,F,CF,31,Spain,Valladolid
355,Antonio Sánchez,"€ 7,500","€ 390,000","Jun 30, 2024",2-yrs,"€ 780,000",,M,CM,25,Spain,Mallorca
356,Iván Martos,"€ 7,500","€ 390,000","Jun 30, 2024",2-yrs,"€ 780,000",,D,CB,25,Spain,Almeria
357,Jon Ander Garrido,"€ 7,500","€ 390,000","Jun 30, 2023",1-yr,"€ 390,000",,M,DM,32,Spain,Cadiz
358,Jordi Mboula,"€ 7,308","€ 380,000","Jun 30, 2024",2-yrs,"€ 760,000",,F,RW,23,Spain,Mallorca
359,César de la Hoz,"€ 7,308","€ 380,000","Jun 30, 2023",1-yr,"€ 380,000",,M,CM,30,Spain,Almeria
360,Juan Carlos,"€ 7,115","€ 370,000","Jun 30, 2023",1-yr,"€ 370,000",,K,GK,34,Spain,Girona
361,Juan Villar,"€ 6,923","€ 360,000","Jun 30, 2023",1-yr,"€ 360,000",,F,RW,34,Spain,Almeria
362,Juan Miranda,"€ 6,923","€ 360,000","Jun 30, 2024",2-yrs,"€ 720,000",,D,LB,22,Spain,Real Betis
363,Rober Ibáñez,"€ 6,731","€ 350,000","Jun 30, 2023",1-yr,"€ 350,000",,F,RW,29,Spain,Osasuna
364,Dani Martín,"€ 6,731","€ 350,000","Jun 30, 2024",2-yrs,"€ 700,000",,K,GK,23,Spain,Real Betis
365,Óscar Trejo,"€ 6,731","€ 350,000","Jun 30, 2023",1-yr,"€ 350,000",,F,AM,34,Argentina,Rayo Vallecano
366,Miguelón,"€ 6,731","€ 350,000","Jun 30, 2024",2-yrs,"€ 700,000",,D,RB,26,Spain,Espanyol
367,Pere Milla,"€ 6,538","€ 340,000","Jun 30, 2025",3-yrs,"€ 1,020,000",,F,LW,29,Spain,Elche
368,Pathé Ciss,"€ 6,538","€ 340,000","Jun 30, 2025",3-yrs,"€ 1,020,000",,M,CM,28,Senegal,Rayo Vallecano
369,Ángel Rodríguez,"€ 6,538","€ 340,000","Jun 30, 2023",1-yr,"€ 340,000",,F,CF,35,Spain,Mallorca
370,David Gil,"€ 6,346","€ 330,000","Jun 30, 2023",1-yr,"€ 330,000",,K,GK,28,Spain,Cadiz
371,Iván Balliu,"€ 6,346","€ 330,000","Jun 30, 2023",1-yr,"€ 330,000",,D,RB,30,Albania,Rayo Vallecano
372,Jaume Costa,"€ 6,346","€ 330,000","Jun 30, 2023",1-yr,"€ 330,000",,D,LB,34,Spain,Mallorca
373,Varazdat Haroyan,"€ 6,154","€ 320,000","Jun 30, 2023",1-yr,"€ 320,000",,D,CB,29,Armenia,Cadiz
374,Lucas Boyé,"€ 6,154","€ 320,000","Jun 30, 2024",2-yrs,"€ 640,000",,F,CF,26,Argentina,Elche
375,Álex Petxa,"€ 6,154","€ 320,000","Jun 30, 2024",2-yrs,"€ 640,000",,D,RB,25,Spain,Athletic Club
376,Álvaro Jiménez,"€ 6,154","€ 320,000","Jun 30, 2025",3-yrs,"€ 960,000",,F,RW,27,Spain,Cadiz
377,Waldo Rubio,"€ 5,962","€ 310,000","Jun 30, 2023",1-yr,"€ 310,000",,F,LW,26,Spain,Valladolid
378,Borja García,"€ 5,962","€ 310,000","Jun 30, 2023",1-yr,"€ 310,000",,F,AM,31,Spain,Girona
379,Joaquín Fernández,"€ 5,962","€ 310,000","Jun 30, 2023",1-yr,"€ 310,000",,D,CB,26,Spain,Valladolid
380,Beñat Turrientes,"€ 5,962","€ 310,000","Jun 30, 2027",5-yrs,"€ 1,550,000",,M,CM,20,Spain,Real Sociedad
381,Iván Romero,"€ 5,962","€ 310,000","Jun 30, 2024",2-yrs,"€ 620,000",,F,CF,21,Spain,Sevilla
382,Ander Barrenetxea,"€ 5,962","€ 310,000","Jun 30, 2027",5-yrs,"€ 1,550,000",,F,LW,20,Spain,Real Sociedad
383,Nico Serrano,"€ 5,962","€ 310,000","Jun 30, 2024",2-yrs,"€ 620,000",,F,LW,19,Spain,Athletic Club
384,Nikola Maras,"€ 5,769","€ 300,000","Jun 30, 2024",2-yrs,"€ 600,000",,D,CB,26,Serbia,Almeria
385,Monchu,"€ 5,769","€ 300,000","Jun 30, 2026",4-yrs,"€ 1,200,000",,M,CM,22,Spain,Valladolid
386,Dominik Greif,"€ 5,769","€ 300,000","Jun 30, 2026",4-yrs,"€ 1,200,000",,K,GK,25,Slovakia,Mallorca
387,Carlos Domínguez,"€ 5,769","€ 300,000","Jun 30, 2026",4-yrs,"€ 1,200,000",,D,CB,21,Spain,Celta Vigo
388,Tete Morente,"€ 5,577","€ 290,000","Jun 30, 2024",2-yrs,"€ 580,000",,F,LW,25,Spain,Elche
389,Juanpe,"€ 5,577","€ 290,000","Jun 30, 2023",1-yr,"€ 290,000",,D,CB,31,Spain,Girona
390,Cristhian Stuani,"€ 5,577","€ 290,000","Jun 30, 2026",4-yrs,"€ 1,160,000",,F,CF,35,Uruguay,Girona
391,Shon Weissman,"€ 5,577","€ 290,000","Jun 30, 2024",2-yrs,"€ 580,000",,F,CF,26,Israel,Valladolid
392,Alberto Perea,"€ 5,577","€ 290,000","Jun 30, 2023",1-yr,"€ 290,000",,F,LW,31,Spain,Cadiz
393,Borja Garcés,"€ 5,577","€ 290,000","Jun 30, 2024",2-yrs,"€ 580,000",,F,CF,22,Spain,Atletico Madrid
394,Bebé,"€ 5,385","€ 280,000","Jun 30, 2025",3-yrs,"€ 840,000",,F,LW,31,Cape Verde,Rayo Vallecano
395,Renato Tapia,"€ 5,000","€ 260,000","Jun 30, 2024",2-yrs,"€ 520,000",,M,DM,26,Peru,Celta Vigo
396,Stefan Mitrovic,"€ 4,808","€ 250,000","Jun 30, 2024",2-yrs,"€ 500,000",,D,CB,32,Serbia,Getafe
397,Kang-in Lee,"€ 4,808","€ 250,000","Jun 30, 2025",3-yrs,"€ 750,000",,F,AM,21,South Korea,Mallorca
398,Marc Cardona,"€ 4,808","€ 250,000","Jun 30, 2023",1-yr,"€ 250,000",,F,CF,26,Spain,Osasuna
399,Bernardo Espinosa,"€ 4,808","€ 250,000","Jun 30, 2023",1-yr,"€ 250,000",,D,CB,32,Colombia,Girona
400,Álex Gallar,"€ 4,808","€ 250,000","Jun 30, 2023",1-yr,"€ 250,000",,F,LW,30,Spain,Girona
401,Edgar González,"€ 4,808","€ 250,000","Jun 30, 2025",3-yrs,"€ 750,000",,D,CB,25,Spain,Real Betis
402,Fernando Martínez,"€ 4,615","€ 240,000","Jun 30, 2023",1-yr,"€ 240,000",,K,GK,32,Spain,Almeria
403,Unai Vencedor,"€ 4,615","€ 240,000","Jun 30, 2027",5-yrs,"€ 1,200,000",,M,CM,21,Spain,Athletic Club
404,Óscar Valentín,"€ 4,423","€ 230,000","Jun 30, 2025",3-yrs,"€ 690,000",,M,CM,27,Spain,Rayo Vallecano
405,Abdón Prats,"€ 4,423","€ 230,000","Jun 30, 2024",2-yrs,"€ 460,000",,F,CF,29,Spain,Mallorca
406,Randy Nteka,"€ 4,423","€ 230,000","Jun 30, 2026",4-yrs,"€ 920,000",,F,AM,24,France,Rayo Vallecano
407,Sergio Camello,"€ 4,231","€ 220,000","Jun 30, 2024",2-yrs,"€ 440,000",,F,CF,21,Spain,Atletico Madrid
408,Fer Niño,"€ 4,231","€ 220,000","Jun 30, 2024",2-yrs,"€ 440,000",,F,CF,21,Spain,Villarreal
409,Aleix Vidal,"€ 4,231","€ 220,000","Jun 30, 2023",1-yr,"€ 220,000",,D,RB,32,Spain,Espanyol
410,Gerard Gumbau,"€ 4,038","€ 210,000","Jun 30, 2023",1-yr,"€ 210,000",,M,DM,27,Spain,Elche
411,Gavi,"€ 4,038","€ 210,000","Jun 30, 2023",1-yr,"€ 210,000",,M,CM,17,Spain,Barcelona
412,Álex Alegría,"€ 4,038","€ 210,000","Jun 30, 2024",2-yrs,"€ 420,000",,F,CF,29,Spain,Mallorca
413,Pedro Bigas,"€ 4,038","€ 210,000","Jun 30, 2023",1-yr,"€ 210,000",,D,CB,32,Spain,Elche
414,Hugo Vallejo,"€ 3,846","€ 200,000","Jun 30, 2024",2-yrs,"€ 400,000",,F,LW,22,Spain,Valladolid
415,Julen Lobete,"€ 3,846","€ 200,000","Jun 30, 2023",1-yr,"€ 200,000",,F,CF,21,Spain,Real Sociedad
416,Santiago Arzamendia,"€ 3,846","€ 200,000","Jun 30, 2025",3-yrs,"€ 600,000",,D,LB,24,Paraguay,Cadiz
417,Jonathan Silva,"€ 3,846","€ 200,000","Jun 30, 2025",3-yrs,"€ 600,000",,D,LB,28,Argentina,Getafe
418,Joan García,"€ 3,846","€ 200,000","Jun 30, 2025",3-yrs,"€ 600,000",,K,GK,21,Spain,Espanyol
419,Marcos Paulo,"€ 3,654","€ 190,000","Jun 30, 2026",4-yrs,"€ 760,000",,F,LW,21,Portugal,Atletico Madrid
420,Ez Abde,"€ 3,462","€ 180,000","Jun 30, 2024",2-yrs,"€ 360,000",,F,LW,20,Morocco,Barcelona
421,Ibrahima Kébé,"€ 3,462","€ 180,000","Jun 30, 2024",2-yrs,"€ 360,000",,M,DM,21,Mali,Girona
422,Umar Sadiq,"€ 3,462","€ 180,000","Jun 30, 2025",3-yrs,"€ 540,000",,F,CF,25,Nigeria,Almeria
423,Josema,"€ 3,462","€ 180,000","Jun 30, 2023",1-yr,"€ 180,000",,D,CB,26,Spain,Elche
424,Samú Costa,"€ 3,462","€ 180,000","Jun 30, 2026",4-yrs,"€ 720,000",,M,DM,21,Portugal,Almeria
425,Rubén Yáñez,"€ 3,462","€ 180,000","Jun 30, 2023",1-yr,"€ 180,000",,K,GK,28,Spain,Getafe
426,Fran García,"€ 3,269","€ 170,000","Jun 30, 2025",3-yrs,"€ 510,000",,D,LB,22,Spain,Rayo Vallecano
427,Sekou Gassama,"€ 3,269","€ 170,000","Jun 30, 2024",2-yrs,"€ 340,000",,F,CF,27,Senegal,Valladolid
428,Isi Palazón,"€ 3,269","€ 170,000","Jun 30, 2025",3-yrs,"€ 510,000",,F,RW,27,Spain,Rayo Vallecano
429,Sergio Akieme,"€ 3,269","€ 170,000","Jun 30, 2026",4-yrs,"€ 680,000",,D,LB,24,Equatorial Guinea,Almeria
430,Javi Sánchez,"€ 3,077","€ 160,000","Jun 30, 2024",2-yrs,"€ 320,000",,D,CB,25,Spain,Valladolid
431,Arnau Martínez,"€ 3,077","€ 160,000","Jun 30, 2025",3-yrs,"€ 480,000",,D,RB,19,Spain,Girona
432,Javi Martínez,"€ 3,077","€ 160,000","Jun 30, 2026",4-yrs,"€ 640,000",,F,AM,22,Spain,Osasuna
433,Andrés Martín,"€ 3,077","€ 160,000","Jun 30, 2024",2-yrs,"€ 320,000",,F,CF,22,Spain,Rayo Vallecano
434,Martín Calderón,"€ 3,077","€ 160,000","Jun 30, 2024",2-yrs,"€ 320,000",,M,CM,23,Spain,Cadiz
435,Mario Hernández,"€ 3,077","€ 160,000","Jun 30, 2023",1-yr,"€ 160,000",,D,RB,23,Spain,Rayo Vallecano
436,José Carlos Lazo,"€ 3,077","€ 160,000","Jun 30, 2027",5-yrs,"€ 800,000",,F,LW,26,Spain,Almeria
437,Álex Balde,"€ 3,077","€ 160,000","Jun 30, 2024",2-yrs,"€ 320,000",,D,LB,18,Spain,Barcelona
438,Luis Hernández,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,D,CB,33,Spain,Cadiz
439,Josan,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,RW,32,Spain,Elche
440,Adrián Ortolá,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,K,GK,28,Spain,Girona
441,Juan Iglesias,"€ 2,981","€ 155,000","Jun 30, 2026",4-yrs,"€ 620,000",,D,RB,24,Spain,Getafe
442,Jordi Calavera,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,D,RB,26,Spain,Girona
443,Aleix García,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,M,CM,25,Spain,Girona
444,Ivan Chapela,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,F,LW,23,Spain,Cadiz
445,Matthew Hoppe,"€ 2,981","€ 155,000","Jun 30, 2025",3-yrs,"€ 465,000",,F,CF,21,United States,Mallorca
446,Rui Silva,"€ 2,981","€ 155,000","Jun 30, 2026",4-yrs,"€ 620,000",,K,GK,28,Portugal,Real Betis
447,Miguel Ángel Morro,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,K,GK,21,Spain,Rayo Vallecano
448,Rober González,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,F,RW,21,Spain,Real Betis
449,Joni Montiel,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,F,AM,23,Spain,Rayo Vallecano
450,Miguel Rubio,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,D,CB,24,Spain,Getafe
451,Álvaro Aguado,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,M,CM,26,Spain,Valladolid
452,Samu Saiz,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,LW,31,Spain,Girona
453,Valery Fernández,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,RW,22,Spain,Girona
454,Kike Saverio,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,LW,23,Ecuador,Osasuna
455,Santiago Bueno,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,D,CB,23,Uruguay,Girona
456,Gonzalo Verdú,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,D,CB,33,Spain,Elche
457,Näis Djouahra,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,LW,22,France,Real Sociedad
458,Barbero,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,CF,23,Spain,Osasuna
459,Juan Camilo Becerra,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,CF,24,Spain,Espanyol
460,Helibelton Palacios,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,D,RB,29,Colombia,Elche
461,Largie Ramazani,"€ 2,981","€ 155,000","Jun 30, 2025",3-yrs,"€ 465,000",,F,LW,21,Belgium,Almeria
462,Ramón Terrats,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,M,DM,21,Spain,Girona
463,Diego Conde,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,K,GK,23,Spain,Getafe
464,Lass Bangoura,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,RW,30,Guinea,Rayo Vallecano
465,Javi Robles,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,M,CM,21,Spain,Almeria
466,Imanol García de Albéniz,"€ 2,981","€ 155,000","Jun 30, 2025",3-yrs,"€ 465,000",,D,LB,22,Spain,Athletic Club
467,Diego González,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,D,CB,27,Spain,Elche
468,Leo Román,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,K,GK,21,Spain,Mallorca
469,Sergio Carreira,"€ 2,981","€ 155,000","Jun 30, 2025",3-yrs,"€ 465,000",,D,RB,21,Spain,Celta Vigo
470,Srdjan Babic,"€ 2,981","€ 155,000","Jun 30, 2026",4-yrs,"€ 620,000",,D,CB,26,Serbia,Almeria
471,Arnau Puigmal,"€ 2,981","€ 155,000","Jun 30, 2026",4-yrs,"€ 620,000",,M,CM,21,Spain,Almeria
472,Sergio Moreno,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,F,CF,23,Spain,Rayo Vallecano
473,Enzo Roco,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,D,CB,29,Chile,Elche
474,Arvin Appiah,"€ 2,981","€ 155,000","Jun 30, 2024",2-yrs,"€ 310,000",,F,RW,21,England,Almeria
475,José Antonio Caro,"€ 2,981","€ 155,000","Jun 30, 2023",1-yr,"€ 155,000",,K,GK,28,Spain,Valladolid
476,Jaime Seoane,€ 0,€ 0,"Jun 30, 2025",3-yrs,€ 0,,M,CM,25,Spain,Getafe
477,José Pozo,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,F,AM,26,Spain,Rayo Vallecano
478,José Luis Morales,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,F,CF,34,Spain,Villarreal
479,Joselu,€ 0,€ 0,"Jun 30, 2025",3-yrs,€ 0,,F,CF,32,Spain,Espanyol
480,José Copete,€ 0,€ 0,"Jun 30, 2026",4-yrs,€ 0,,D,CB,22,Spain,Mallorca
481,Luiz Henrique,€ 0,€ 0,"Jun 30, 2028",6-yrs,€ 0,,F,RW,21,Brazil,Real Betis
482,Cristian Olivera,€ 0,€ 0,"Jun 30, 2025",3-yrs,€ 0,,F,RW,20,Uruguay,Almeria
483,Cristhian Mosquera,€ 0,€ 0,"Jun 30, 2025",3-yrs,€ 0,,D,CB,18,Spain,Valencia
484,Clément Grenier,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,M,CM,31,France,Mallorca
485,Martín Pascual,€ 0,€ 0,"Jun 30, 2023",1-yr,€ 0,,D,CB,22,Spain,Rayo Vallecano
486,Jordi Escobar,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,F,CF,20,Spain,Almeria
487,Brian Oliván,€ 0,€ 0,"Jun 30, 2025",3-yrs,€ 0,,D,LB,28,Spain,Espanyol
488,Borja Mayoral,€ 0,€ 0,"Jun 30, 2027",5-yrs,€ 0,,F,CF,25,Spain,Getafe
489,Milutin Osmajic,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,F,CF,22,Montenegro,Cadiz
490,Jonathan Dubasin,€ 0,€ 0,"Jun 30, 2023",1-yr,€ 0,,F,LW,22,Spain,Girona
491,Mohamed-Ali Cho,€ 0,€ 0,"Jun 30, 2027",5-yrs,€ 0,,F,CF,18,France,Real Sociedad
492,Moha Moukhliss,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,M,CM,22,Spain,Valladolid
493,Jonathan,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,D,LB,24,Brazil,Almeria
494,Nahuel Molina,€ 0,€ 0,"Jun 30, 2027",5-yrs,€ 0,,D,RB,24,Argentina,Atletico Madrid
495,Axel Werner,€ 0,€ 0,"Jun 30, 2023",1-yr,€ 0,,K,GK,26,Argentina,Elche
496,Diego Alende,€ 0,€ 0,"Jun 30, 2023",1-yr,€ 0,,D,CB,24,Spain,Valladolid
497,Awer Mabil,€ 0,€ 0,"Jun 30, 2026",4-yrs,€ 0,,F,LW,26,Australia,Cadiz
498,Jesús Vázquez,€ 0,€ 0,"Jun 30, 2025",3-yrs,€ 0,,D,LB,19,Spain,Valencia
499,Óscar Mingueza,€ 0,€ 0,"Jun 30, 2026",4-yrs,€ 0,,D,CB,23,Spain,Celta Vigo
500,Pablo Ibáñez,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,M,CM,23,Spain,Osasuna
501,Arnau Tenas,€ 0,€ 0,"Jun 30, 2023",1-yr,€ 0,,K,GK,21,Spain,Barcelona
502,Paulo Vitor,€ 0,€ 0,"Jun 30, 2025",3-yrs,€ 0,,F,LW,23,Brazil,Valladolid
503,Pol Lozano,€ 0,€ 0,"Jun 30, 2023",1-yr,€ 0,,M,CM,22,Spain,Espanyol
504,Raúl Parra,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,D,RB,22,Spain,Cadiz
505,Diego López,€ 0,€ 0,"Jun 30, 2023",1-yr,€ 0,,K,GK,40,Spain,Rayo Vallecano
506,Dragan Rosic,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,K,GK,25,Serbia,Almeria
507,Jack Harper,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,F,CF,26,Scotland,Getafe
508,Rodrigo Ely,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,D,CB,28,Brazil,Almeria
509,Rodrigo Riquelme,€ 0,€ 0,"Jun 30, 2028",6-yrs,€ 0,,F,RW,22,Spain,Atletico Madrid
510,Rony Lopes,€ 0,€ 0,"Jun 30, 2024",2-yrs,€ 0,,F,RW,26,Portugal,Sevilla
511,Rubén Peña,€ 0,€ 0,"Jun 30, 2025",3-yrs,€ 0,,D,RB,30,Spain,Osasuna
