,Player,Weekly Gross,Annual Gross,Expiration,Length,Total Gross,Status,Pos. group,Pos.,Age,Country,Club
155,Dimitri Foulquier,"€ 35,962","€ 1,870,000","Jun 30, 2025",3-yrs,"€ 5,610,000",,D,RB,29,Guadeloupe,Valencia
156,Óscar de Marcos,"€ 35,577","€ 1,850,000","Jun 30, 2023",1-yr,"€ 1,850,000",,D,RB,33,Spain,Athletic Club
157,Thierry Correia,"€ 35,385","€ 1,840,000","Jun 30, 2026",4-yrs,"€ 7,360,000",,D,RB,23,Portugal,Valencia
158,Joseba Zaldua,"€ 34,808","€ 1,810,000","Jun 30, 2023",1-yr,"€ 1,810,000",,D,RB,30,Spain,Real Sociedad
159,Asier Villalibre,"€ 34,038","€ 1,770,000","Jun 30, 2023",1-yr,"€ 1,770,000",,F,CF,24,Spain,Athletic Club
160,Toni Lato,"€ 33,846","€ 1,760,000","Jun 30, 2023",1-yr,"€ 1,760,000",,D,LB,24,Spain,Valencia
161,Martín Zubimendi,"€ 33,077","€ 1,720,000","Jun 30, 2025",3-yrs,"€ 5,160,000",,M,DM,23,Spain,Real Sociedad
162,Santi Mina,"€ 32,885","€ 1,710,000","Jun 30, 2024",2-yrs,"€ 3,420,000",,F,CF,26,Spain,Celta Vigo
163,Bono,"€ 31,923","€ 1,660,000","Jun 30, 2025",3-yrs,"€ 4,980,000",,K,GK,31,Morocco,Sevilla
164,Mikel Balenziaga,"€ 31,731","€ 1,650,000","Jun 30, 2023",1-yr,"€ 1,650,000",,D,LB,34,Spain,Athletic Club
165,Jesús Vallejo,"€ 31,538","€ 1,640,000","Jun 30, 2025",3-yrs,"€ 4,920,000",,D,CB,25,Spain,Real Madrid
166,Hugo Guillamón,"€ 31,154","€ 1,620,000","Jun 30, 2023",1-yr,"€ 1,620,000",,M,DM,22,Spain,Valencia
167,Claudio Bravo,"€ 30,769","€ 1,600,000","Jun 30, 2023",1-yr,"€ 1,600,000",,K,GK,39,Chile,Real Betis
168,Lucas Ocampos,"€ 30,769","€ 1,600,000","Jun 30, 2024",2-yrs,"€ 3,200,000",,F,LW,27,Argentina,Sevilla
169,Jokin Ezkieta,"€ 30,000","€ 1,560,000","Jun 30, 2023",1-yr,"€ 1,560,000",,K,GK,25,Spain,Athletic Club
170,Iñigo Lekue,"€ 29,808","€ 1,550,000","Jun 30, 2023",1-yr,"€ 1,550,000",,D,RB,29,Spain,Athletic Club
171,Jorge Cuenca,"€ 29,423","€ 1,530,000","Jun 30, 2025",3-yrs,"€ 4,590,000",,D,CB,22,Spain,Villarreal
172,Mauro Arambarri,"€ 29,423","€ 1,530,000","Jun 30, 2023",1-yr,"€ 1,530,000",,M,CM,26,Uruguay,Getafe
173,David Soria,"€ 29,038","€ 1,510,000","Jun 30, 2023",1-yr,"€ 1,510,000",,K,GK,29,Spain,Getafe
174,Anuar,"€ 28,846","€ 1,500,000","Jun 30, 2023",1-yr,"€ 1,500,000",,M,CM,27,Morocco,Valladolid
175,Chimy Ávila,"€ 28,846","€ 1,500,000","Jun 30, 2026",4-yrs,"€ 6,000,000",,F,CF,28,Argentina,Osasuna
176,Maxi Gómez,"€ 28,846","€ 1,500,000","Jun 30, 2024",2-yrs,"€ 3,000,000",,F,CF,25,Uruguay,Valencia
177,Ezequiel Ponce,"€ 28,846","€ 1,500,000","Jun 30, 2026",4-yrs,"€ 6,000,000",,F,CF,25,Argentina,Elche
178,Oier Zarraga,"€ 28,846","€ 1,500,000","Jun 30, 2023",1-yr,"€ 1,500,000",,M,CM,23,Spain,Athletic Club
179,Javi Galán,"€ 28,846","€ 1,500,000","Jun 30, 2026",4-yrs,"€ 6,000,000",,D,LB,27,Spain,Celta Vigo
180,Yunus Musah,"€ 28,846","€ 1,500,000","Jun 30, 2026",4-yrs,"€ 6,000,000",,M,CM,19,United States,Valencia
181,Javier Pastore,"€ 28,846","€ 1,500,000","Jun 30, 2023",1-yr,"€ 1,500,000",,F,AM,33,Argentina,Elche
182,Leandro Cabrera,"€ 28,462","€ 1,480,000","Jun 30, 2024",2-yrs,"€ 2,960,000",,D,CB,31,Uruguay,Espanyol
183,Oussama Idrissi,"€ 28,462","€ 1,480,000","Jun 30, 2025",3-yrs,"€ 4,440,000",,F,LW,26,Morocco,Sevilla
184,Álex Collado,"€ 27,885","€ 1,450,000","Jun 30, 2023",1-yr,"€ 1,450,000",,F,AM,23,Spain,Barcelona
