,#,team,M,W,D,L,G,GA,PTS,xG,xG_diff,NPxG,xGA,xGA_diff,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,xPTS_diff
0,1,Barcelona,17,14,2,1,36,6,44,41.640727,5.640726999999998,40.897447,13.8595011,7.859501099999999,12.3729421,28.524504899999997,7.672268109867551,22.68339902579742,179,74,37.1163,-6.8836999999999975
1,2,Real Madrid,17,13,2,2,38,16,41,36.827281,-1.1727190000000007,31.502789,18.986735,2.9867349999999995,16.013623000000003,15.489165999999999,13.018995178634114,21.85614896117343,155,99,34.919599999999996,-6.0804000000000045
2,3,Real Sociedad,18,12,2,4,28,18,38,31.37463,3.37463,29.88807,16.053766999999997,-1.946233000000003,15.310493,14.577577000000002,7.367854323537772,12.02297595007777,116,82,36.1878,-1.8121999999999971
3,4,Atletico Madrid,18,9,4,5,27,16,31,30.709885,3.709885,30.709885,20.528897000000004,4.528897000000004,19.785619,10.924266,13.912878889191909,12.883410960588657,154,92,30.54,-0.46000000000000085
4,5,Villarreal,18,9,4,5,21,13,31,26.892155000000002,5.8921550000000025,23.919045,23.643165,10.643165,22.899895,1.0191500000000002,11.664343650176985,12.374201159608866,134,92,27.7396,-3.2604000000000006
5,6,Real Betis,17,8,4,5,19,14,28,22.454465,3.454464999999999,20.224761,22.604414,8.604413999999998,21.861134,-1.6363729999999985,13.702078595225883,10.480473257992491,81,103,22.6449,-5.3551
6,7,Osasuna,18,8,4,6,18,17,28,22.149199000000003,4.149199000000003,18.432812000000006,21.607999999999997,4.607999999999997,19.378159999999998,-0.9453479999999996,12.265808581599256,10.536885970477115,102,80,24.5442,-3.4558
7,8,Rayo Vallecano,18,7,5,6,24,22,26,21.713513999999996,-2.2864860000000036,17.997260999999998,23.417091,1.4170909999999992,21.187255,-3.189994000000001,8.288437963522114,12.22480383769031,94,73,23.537000000000003,-2.4629999999999974
8,9,Athletic Club,18,7,5,6,25,19,26,27.842421,2.8424210000000016,25.612591000000002,14.582175,-4.417825000000001,13.838895,11.773696000000001,10.4881358737048,12.752073782274602,127,84,33.161,7.161000000000001
9,10,Mallorca,18,7,4,7,15,16,25,19.169085000000003,4.169085000000003,16.939249,18.243053,2.2430529999999997,15.270202000000001,1.669047,15.336284593523153,9.35252651697956,68,104,25.545300000000005,0.5453000000000046
10,11,Almeria,19,6,4,9,23,29,22,21.499639000000002,-1.500360999999998,20.756365000000002,35.052251999999996,6.052251999999996,32.079142000000004,-11.322776999999999,14.766295454693624,12.388006712688155,88,145,18.8517,-3.148299999999999
11,12,Girona,18,5,6,7,26,28,21,27.273083,1.2730829999999997,22.070268,25.208066000000002,-2.7919339999999977,22.234956,-0.16468800000000072,13.82630512843232,12.24621177534221,90,108,26.2677,5.267700000000001
12,13,Espanyol,19,4,8,7,23,29,20,23.321483,0.32148300000000063,21.091662000000003,26.488283,-2.511717000000001,26.488283,-5.3966210000000014,13.332674202634607,9.302151061274765,81,131,24.0653,4.065300000000001
13,14,Valencia,17,5,5,7,25,20,20,27.741982,2.741982,23.282304,21.089166,1.0891659999999987,18.116058,5.166245999999999,7.549541929442713,12.990916641180707,89,88,27.907000000000004,7.907000000000004
14,15,Sevilla,18,4,6,8,18,26,18,18.919734000000002,0.9197340000000018,18.176452,32.4128813,6.412881300000002,30.1830543,-12.006602299999999,10.28605315449962,15.311728795895464,112,96,17.078,-0.9220000000000006
15,16,Real Valladolid,18,5,2,11,13,28,17,17.343225,4.343225,15.856667999999999,31.8954,3.8953999999999986,28.179135,-12.322467,12.090765365348343,10.24096886331811,70,147,16.0522,-0.9478000000000009
16,17,Celta Vigo,18,4,5,9,17,29,17,19.49368,2.4936800000000012,18.007123999999997,19.751489000000003,-9.248510999999997,16.656835,1.3502889999999999,11.520150861034262,12.04651113773663,98,55,24.7861,7.786100000000001
17,18,Getafe,18,4,5,9,16,25,17,14.910858,-1.0891420000000007,13.424304,20.93215,-4.06785,18.702317999999998,-5.278013999999999,19.813412477428493,10.885242305674602,59,92,19.3138,2.3138000000000005
18,19,Cadiz,18,3,7,8,12,29,16,15.134327299999999,3.134327299999999,15.134327299999999,34.375997999999996,5.375997999999996,29.916336,-14.7820087,16.386396134013523,7.911298580639573,48,123,13.491499999999998,-2.5085000000000015
19,20,Elche,18,0,6,12,12,36,6,14.4100341,2.4100341000000007,12.923475100000001,40.088924,4.088923999999999,36.372524,-23.449048899999998,15.248308515688974,9.851324016697301,63,140,12.7673,6.7673000000000005
