,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Ousmane Dembélé,11.0,fr  FRA,FW,23-310,78,18,21,85.7,250,29,10,10,100.0,8,9,88.9,0,1,0.0,0,0.0,0,1,0,0,0
1,Martin Braithwaite,9.0,dk  DEN,FW,29-289,12,1,2,50.0,24,0,0,0,,1,2,50.0,0,0,,0,0.0,0,0,0,0,0
2,Antoine Griezmann,7.0,fr  FRA,AM,30-000,84,53,59,89.8,743,163,32,36,88.9,14,14,100.0,3,4,75.0,0,0.0,1,4,1,0,2
3,Riqui Puig,12.0,es  ESP,CM,21-220,6,5,5,100.0,72,6,3,3,100.0,2,2,100.0,0,0,,0,0.0,0,0,0,0,0
4,Lionel Messi,10.0,ar  ARG,"AM,FW",33-270,90,63,74,85.1,883,311,39,43,90.7,19,22,86.4,3,6,50.0,1,0.5,2,12,7,0,16
5,Pedri,16.0,es  ESP,DM,18-116,67,42,44,95.5,643,110,21,22,95.5,15,15,100.0,3,4,75.0,0,0.0,0,5,0,0,2
6,Ilaix Moriba,27.0,es  ESP,"DM,CM",18-061,23,22,22,100.0,293,45,17,17,100.0,4,4,100.0,1,1,100.0,1,0.1,1,1,0,0,0
7,Sergio Busquets,5.0,es  ESP,DM,32-248,66,70,75,93.3,1385,295,26,28,92.9,33,36,91.7,11,11,100.0,1,0.4,2,11,1,0,5
8,Ronald Araújo,4.0,uy  URU,CB,22-014,24,28,28,100.0,549,62,7,7,100.0,18,18,100.0,3,3,100.0,0,0.0,0,0,0,0,0
9,Jordi Alba,18.0,es  ESP,WB,32-000,90,65,75,86.7,925,352,40,42,95.2,20,24,83.3,3,5,60.0,1,0.8,4,1,1,0,3
10,Sergiño Dest,2.0,us  USA,WB,20-138,83,47,51,92.2,624,108,35,36,97.2,7,8,87.5,3,4,75.0,0,0.3,1,1,2,0,2
11,Francisco Trincão,17.0,pt  POR,WB,21-082,7,3,3,100.0,41,4,2,2,100.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
12,Clément Lenglet,15.0,fr  FRA,CB,25-277,90,80,84,95.2,1521,383,31,32,96.9,38,38,100.0,10,12,83.3,0,0.0,0,6,1,0,2
13,Frenkie de Jong,21.0,nl  NED,"CB,DM",23-313,90,95,97,97.9,1696,439,39,39,100.0,52,53,98.1,4,4,100.0,0,0.0,0,3,0,0,3
14,Óscar Mingueza,28.0,es  ESP,CB,21-312,90,79,87,90.8,1290,331,35,38,92.1,38,40,95.0,4,5,80.0,0,0.0,0,4,0,0,2
15,Marc-André ter Stegen,1.0,de  GER,GK,28-325,90,39,51,76.5,952,537,11,11,100.0,18,19,94.7,10,21,47.6,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,710,778,91.3,11891,3175,348,366,95.1,288,305,94.4,58,81,71.6,4,2.2,11,49,13,0,37
