,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Ousmane Dembélé,11.0,fr  FRA,FW,23-310,78,31,0,1,16,16,8,29,2,2,100.0,2,1,21,146,66,3,2,1,4,0,46,25,54.3,7
1,Martin Braithwaite,9.0,dk  DEN,FW,29-289,12,4,0,0,3,1,0,4,0,2,0.0,0,0,3,6,0,0,0,0,0,0,6,3,50.0,0
2,Antoine Griezmann,7.0,fr  FRA,AM,30-000,84,71,0,10,35,30,5,70,2,3,66.7,2,0,43,186,80,7,1,0,2,1,60,55,91.7,5
3,Riqui Puig,12.0,es  ESP,CM,21-220,6,6,0,1,4,1,1,6,0,0,,0,0,2,1,0,0,0,0,0,0,8,6,75.0,0
4,Lionel Messi,10.0,ar  ARG,"AM,FW",33-270,90,93,0,6,53,48,7,90,7,15,46.7,7,0,85,394,241,10,6,1,0,3,93,85,91.4,8
5,Pedri,16.0,es  ESP,DM,18-116,67,54,3,8,29,18,1,54,1,1,100.0,1,0,39,121,47,2,0,0,0,1,48,42,87.5,0
6,Ilaix Moriba,27.0,es  ESP,"DM,CM",18-061,23,25,0,4,19,5,0,24,3,3,100.0,3,0,24,159,95,3,1,0,0,0,21,20,95.2,0
7,Sergio Busquets,5.0,es  ESP,DM,32-248,66,82,2,19,53,13,0,81,0,0,,0,0,57,216,104,5,1,0,0,2,71,70,98.6,1
8,Ronald Araújo,4.0,uy  URU,CB,22-014,24,28,2,16,15,0,0,28,0,0,,0,0,25,132,57,1,0,0,0,0,25,25,100.0,0
9,Jordi Alba,18.0,es  ESP,WB,32-000,90,84,3,22,33,31,5,76,2,4,50.0,3,0,52,199,118,5,0,1,0,0,71,66,93.0,5
10,Sergiño Dest,2.0,us  USA,WB,20-138,83,65,3,6,25,35,7,58,3,6,50.0,4,0,44,214,133,9,1,2,1,1,49,45,91.8,11
11,Francisco Trincão,17.0,pt  POR,WB,21-082,7,3,0,0,3,1,0,3,0,0,,0,0,3,17,15,2,1,0,0,0,3,3,100.0,0
12,Clément Lenglet,15.0,fr  FRA,CB,25-277,90,91,12,43,49,5,0,90,0,0,,0,0,73,372,182,3,1,0,0,0,75,75,100.0,0
13,Frenkie de Jong,21.0,nl  NED,"CB,DM",23-313,90,104,8,39,67,4,0,102,0,0,,0,0,79,523,254,9,2,0,0,0,80,80,100.0,0
14,Óscar Mingueza,28.0,es  ESP,CB,21-312,90,91,4,21,57,18,0,84,0,0,,0,0,69,292,155,3,2,0,0,0,72,69,95.8,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-325,90,53,50,53,0,0,0,50,0,0,,0,0,39,172,83,0,0,0,0,0,42,41,97.6,0
16,16 Players,,,,,990,885,87,249,461,226,34,849,20,36,55.6,22,1,658,3150,1630,62,18,5,7,8,770,710,92.2,37
