,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Alexander Isak,19.0,se  SWE,"FW,RW",21-181,82,21,29,72.4,353,20,11,13,84.6,8,11,72.7,2,2,100.0,0,0.0,2,0,0,0,0
1,Jon Bautista,25.0,es  ESP,RW,25-261,8,2,2,100.0,7,0,0,0,,0,0,,0,0,,0,0.1,1,0,0,0,0
2,Mikel Oyarzabal,10.0,es  ESP,LW,23-334,90,21,28,75.0,361,104,9,11,81.8,10,10,100.0,1,4,25.0,0,0.0,1,0,1,0,1
3,Portu,7.0,es  ESP,RW,28-304,60,5,9,55.6,53,24,5,7,71.4,0,1,0.0,0,0,,0,0.0,0,1,0,0,1
4,Adnan Januzaj,11.0,be  BEL,"WB,RW",26-044,30,7,7,100.0,140,16,2,2,100.0,4,4,100.0,1,1,100.0,0,0.0,0,0,1,0,1
5,Mikel Merino,8.0,es  ESP,DM,24-272,90,37,47,78.7,535,178,24,25,96.0,10,12,83.3,2,7,28.6,0,0.1,1,2,2,0,5
6,Ander Guevara,16.0,es  ESP,DM,23-257,90,40,48,83.3,762,149,16,17,94.1,17,19,89.5,6,9,66.7,0,0.0,0,0,0,0,0
7,Martín Merquelanz,17.0,es  ESP,WB,25-282,90,26,32,81.3,466,148,17,17,100.0,5,8,62.5,4,5,80.0,0,0.1,1,3,1,0,2
8,Andoni Gorosabel,18.0,es  ESP,WB,24-229,60,16,19,84.2,207,166,11,11,100.0,4,5,80.0,1,2,50.0,0,0.0,0,1,2,0,2
9,Ander Barrenetxea,22.0,es  ESP,"CB,WB",19-084,30,11,12,91.7,168,108,6,7,85.7,5,5,100.0,0,0,,0,0.0,1,1,1,0,2
10,Robin Le Normand,24.0,fr  FRA,CB,24-130,90,32,40,80.0,654,288,13,14,92.9,12,15,80.0,7,11,63.6,0,0.0,0,1,0,0,0
11,Martín Zubimendi,36.0,es  ESP,CB,22-047,71,20,22,90.9,306,146,13,14,92.9,5,5,100.0,2,3,66.7,0,0.0,0,1,0,0,1
12,Carlos Fernández,9.0,es  ESP,"FW,CB",24-303,19,3,3,100.0,43,30,1,1,100.0,2,2,100.0,0,0,,1,0.1,2,0,0,0,2
13,Igor Zubeldia,5.0,es  ESP,CB,23-356,82,21,24,87.5,382,161,10,11,90.9,10,11,90.9,1,2,50.0,0,0.0,0,0,0,0,1
14,Modibo Sagnan,15.0,ml  MLI,CB,21-341,8,4,4,100.0,78,30,1,1,100.0,3,3,100.0,0,0,,0,0.0,0,0,0,0,0
15,Álex Remiro,1.0,es  ESP,GK,25-362,90,16,24,66.7,558,364,2,2,100.0,7,7,100.0,7,15,46.7,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,282,350,80.6,5073,1932,141,153,92.2,102,118,86.4,34,61,55.7,1,0.5,9,10,8,0,18
