,Real Sociedad (3-4-3),Real Sociedad (3-4-3).1
0,1,Álex Remiro
1,5,Igor Zubeldia
2,7,Portu
3,8,Mikel Merino
4,10,Mikel Oyarzabal
5,16,Ander Guevara
6,17,Martín Merquelanz
7,18,Andoni Gorosabel
8,19,Alexander Isak
9,24,Robin Le Normand
10,36,Martín Zubimendi
11,Bench,Bench
12,31,Unai Marrero
13,4,Asier Illarramendi
14,9,Carlos Fernández
15,11,Adnan Januzaj
16,15,Modibo Sagnan
17,22,Ander Barrenetxea
18,25,Jon Bautista
19,28,Roberto López
