,Possession_Real Sociedad,Possession_Barcelona
0,31%,69%
1,Passing Accuracy,Passing Accuracy
2,282 of 350 —  81%,91%  — 710 of 778
3,Shots on Target,Shots on Target
4,5 of 10 —  50%,71%  — 10 of 14
5,Saves,Saves
6,4 of 10 —  40%,80%  — 4 of 5
7,Cards,Cards
8,,
