,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,FW,33-095,90,0,0,0,0,3,0,1,0,1,0,0,0,2,0,0,
1,Ansu Fati,22.0,es  ESP,LW,17-332,69,0,0,0,1,2,0,4,0,1,1,0,0,3,0,0,
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-135,21,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
3,Antoine Griezmann,7.0,fr  FRA,RW,29-190,77,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
4,Francisco Trincão,17.0,pt  POR,RW,20-273,13,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,
5,Philippe Coutinho,14.0,br  BRA,AM,28-107,69,0,0,0,2,0,0,1,0,2,0,0,0,2,1,0,100.0
6,Pedri,16.0,es  ESP,AM,17-307,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
7,Frenkie de Jong,21.0,nl  NED,DM,23-138,90,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,100.0
8,Sergio Busquets,5.0,es  ESP,DM,32-073,77,0,0,0,1,0,0,0,2,1,0,0,0,4,0,3,0.0
9,Miralem Pjanić,8.0,ba  BIH,DM,30-178,13,0,0,0,0,1,0,0,2,0,0,0,0,5,0,0,
10,Jordi Alba,18.0,es  ESP,LB,31-190,90,0,0,0,2,0,0,4,0,0,0,0,0,11,0,1,0.0
11,Clément Lenglet,15.0,fr  FRA,CB,25-102,90,0,0,0,1,0,0,0,1,0,0,0,0,6,1,2,33.3
12,Gerard Piqué,3.0,es  ESP,CB,33-238,90,0,0,0,1,1,0,0,3,1,0,0,0,10,1,0,100.0
13,Sergi Roberto,20.0,es  ESP,RB,28-233,90,0,0,0,0,1,0,1,0,1,0,0,0,10,1,0,100.0
14,Neto,13.0,br  BRA,GK,31-070,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
15,15 Players,,,,,990,0,0,0,8,11,1,11,8,7,1,0,0,73,7,6,53.8
