,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,FW,33-095,90,56,67,83.6,842,283,31,32,96.9,18,21,85.7,4,8,50.0,0,0.0,1,6,4,0,9
1,Ansu Fati,22.0,es  ESP,LW,17-332,69,42,52,80.8,440,97,33,38,86.8,6,9,66.7,0,1,0.0,0,0.3,2,1,2,0,2
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-135,21,11,12,91.7,188,55,5,6,83.3,6,6,100.0,0,0,,0,0.0,0,0,2,0,3
3,Antoine Griezmann,7.0,fr  FRA,RW,29-190,77,22,28,78.6,315,71,15,15,100.0,5,9,55.6,2,2,100.0,0,0.0,0,1,0,0,2
4,Francisco Trincão,17.0,pt  POR,RW,20-273,13,5,7,71.4,58,5,3,4,75.0,2,2,100.0,0,0,,0,0.0,1,0,0,0,0
5,Philippe Coutinho,14.0,br  BRA,AM,28-107,69,46,49,93.9,710,158,25,25,100.0,13,14,92.9,7,9,77.8,1,0.5,1,1,1,0,4
6,Pedri,16.0,es  ESP,AM,17-307,21,12,14,85.7,181,38,5,6,83.3,6,7,85.7,0,0,,0,0.0,1,1,0,0,1
7,Frenkie de Jong,21.0,nl  NED,DM,23-138,90,78,87,89.7,1325,339,36,42,85.7,31,33,93.9,9,9,100.0,0,0.2,2,10,3,0,5
8,Sergio Busquets,5.0,es  ESP,DM,32-073,77,62,71,87.3,960,275,36,38,94.7,22,26,84.6,3,4,75.0,0,0.0,0,3,0,0,4
9,Miralem Pjanić,8.0,ba  BIH,DM,30-178,13,18,19,94.7,281,88,11,11,100.0,5,6,83.3,2,2,100.0,0,0.0,0,2,0,0,2
10,Jordi Alba,18.0,es  ESP,LB,31-190,90,86,101,85.1,1289,569,52,62,83.9,30,34,88.2,4,5,80.0,1,0.4,3,10,2,0,8
11,Clément Lenglet,15.0,fr  FRA,CB,25-102,90,54,58,93.1,1154,488,12,14,85.7,34,35,97.1,8,9,88.9,0,0.0,0,3,1,0,1
12,Gerard Piqué,3.0,es  ESP,CB,33-238,90,71,75,94.7,1495,313,20,20,100.0,38,40,95.0,11,13,84.6,0,0.0,0,2,0,0,2
13,Sergi Roberto,20.0,es  ESP,RB,28-233,90,57,63,90.5,967,311,31,33,93.9,23,24,95.8,3,4,75.0,0,0.3,2,2,1,0,4
14,Neto,13.0,br  BRA,GK,31-070,90,31,32,96.9,671,323,9,9,100.0,18,18,100.0,4,5,80.0,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,651,735,88.6,10876,3413,324,355,91.3,257,284,90.5,57,71,80.3,2,1.7,13,42,16,0,47
