,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Lionel Messi,10.0,ar  ARG,FW,33-095,90,79,0,1,40,43,12,72,3,5,60.0,4,0,65,296,158,9,2,2,0,1,83,68,81.9,8
1,Ansu Fati,22.0,es  ESP,LW,17-332,69,61,0,2,27,38,11,59,3,3,100.0,3,0,53,360,249,17,5,6,1,1,62,52,83.9,5
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-135,21,17,0,5,7,7,1,16,0,2,0.0,0,1,14,82,69,6,2,1,1,0,17,14,82.4,5
3,Antoine Griezmann,7.0,fr  FRA,RW,29-190,77,30,2,3,16,12,3,30,0,0,,0,0,24,111,49,3,1,0,0,0,39,27,69.2,3
4,Francisco Trincão,17.0,pt  POR,RW,20-273,13,9,0,1,1,7,3,9,0,0,,0,0,8,57,48,2,0,2,0,0,10,7,70.0,1
5,Philippe Coutinho,14.0,br  BRA,AM,28-107,69,56,1,3,33,28,4,54,3,3,100.0,3,0,48,291,192,8,5,1,1,1,58,48,82.8,5
6,Pedri,16.0,es  ESP,AM,17-307,21,16,0,3,8,6,1,16,0,0,,0,0,15,47,31,0,0,0,0,0,18,14,77.8,2
7,Frenkie de Jong,21.0,nl  NED,DM,23-138,90,89,0,18,64,18,1,87,1,2,50.0,1,0,75,521,329,11,5,0,0,1,80,77,96.3,1
8,Sergio Busquets,5.0,es  ESP,DM,32-073,77,76,3,10,48,20,0,76,0,0,,0,0,62,161,66,3,0,0,1,0,72,65,90.3,3
9,Miralem Pjanić,8.0,ba  BIH,DM,30-178,13,22,2,6,9,7,0,20,0,0,,0,0,14,26,19,0,0,0,0,0,14,13,92.9,0
10,Jordi Alba,18.0,es  ESP,LB,31-190,90,113,7,33,52,32,10,105,3,3,100.0,3,0,80,278,129,8,1,1,2,0,85,84,98.8,11
11,Clément Lenglet,15.0,fr  FRA,CB,25-102,90,64,16,41,26,1,0,64,1,1,100.0,1,0,54,265,157,1,0,0,0,0,54,52,96.3,0
12,Gerard Piqué,3.0,es  ESP,CB,33-238,90,82,21,57,32,0,0,78,0,0,,0,0,63,290,168,1,0,0,0,0,61,58,95.1,0
13,Sergi Roberto,20.0,es  ESP,RB,28-233,90,73,7,25,31,22,5,70,0,1,0.0,0,0,57,319,155,3,1,0,0,1,58,53,91.4,4
14,Neto,13.0,br  BRA,GK,31-070,90,35,32,35,0,0,0,28,0,0,,0,0,25,79,47,0,0,0,0,0,19,19,100.0,0
15,15 Players,,,,,990,822,91,243,394,241,51,784,14,20,70.0,15,1,657,3183,1866,72,22,13,6,5,730,651,89.2,48
