,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Lionel Messi,10.0,ar  ARG,FW,33-095,90,67,59,8,2,1,4,3,1,5,1,1,0,53,4,10,63,4,0,0,0,56,1,0,1,4
1,Ansu Fati,22.0,es  ESP,LW,17-332,69,52,49,3,1,0,4,0,4,2,1,0,0,48,2,2,3,48,0,0,1,42,0,0,2,1
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-135,21,12,11,1,0,0,1,0,0,0,0,0,0,11,1,0,4,7,0,1,0,11,0,0,1,0
3,Antoine Griezmann,7.0,fr  FRA,RW,29-190,77,28,28,0,0,0,4,0,0,0,0,0,0,23,4,1,22,3,1,0,1,22,0,0,0,0
4,Francisco Trincão,17.0,pt  POR,RW,20-273,13,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,4,1,1,0,1,5,0,0,0,1
5,Philippe Coutinho,14.0,br  BRA,AM,28-107,69,49,47,2,0,1,3,1,1,1,1,0,0,42,3,4,6,40,1,1,0,46,0,1,0,0
6,Pedri,16.0,es  ESP,AM,17-307,21,14,14,0,0,0,0,0,0,0,0,0,0,14,0,0,6,8,0,0,0,12,1,0,0,0
7,Frenkie de Jong,21.0,nl  NED,DM,23-138,90,87,85,2,0,1,8,2,0,0,0,0,0,75,6,6,2,79,1,2,1,78,0,0,0,1
8,Sergio Busquets,5.0,es  ESP,DM,32-073,77,71,71,0,0,0,2,1,0,0,0,0,0,64,4,3,15,55,1,0,0,62,0,1,1,1
9,Miralem Pjanić,8.0,ba  BIH,DM,30-178,13,19,18,1,1,0,2,0,0,0,0,0,0,15,3,1,0,18,1,0,0,18,0,0,0,0
10,Jordi Alba,18.0,es  ESP,LB,31-190,90,101,93,8,2,0,3,2,4,0,0,0,0,78,19,4,84,8,2,6,1,86,0,0,2,4
11,Clément Lenglet,15.0,fr  FRA,CB,25-102,90,58,58,0,0,1,2,0,0,0,0,0,0,48,5,5,46,9,2,0,0,54,0,0,1,0
12,Gerard Piqué,3.0,es  ESP,CB,33-238,90,75,70,5,4,0,2,3,0,0,0,0,0,64,5,6,5,66,2,1,1,71,0,0,0,0
13,Sergi Roberto,20.0,es  ESP,RB,28-233,90,63,60,3,0,0,2,0,1,0,0,0,0,47,10,6,9,47,3,3,0,57,0,0,0,2
14,Neto,13.0,br  BRA,GK,31-070,90,32,25,7,2,0,0,0,0,0,0,0,0,26,0,6,5,20,0,0,7,31,0,0,0,0
15,15 Players,,,,,990,735,695,40,12,4,37,12,11,8,3,1,0,614,66,55,274,413,15,14,13,651,2,2,8,14
