,Atlético Madrid (3-4-3),Atlético Madrid (3-4-3).1
0,13,Jan Oblak
1,6,Koke
2,9,Luis Suárez
3,10,Ángel Correa
4,11,Thomas Lemar
5,14,Marcos Llorente
6,15,Stefan Savić
7,18,Felipe
8,21,Yannick Carrasco
9,22,Mario Hermoso
10,23,Kieran Trippier
11,Bench,Bench
12,1,Ivo Grbić
13,2,José María Giménez
14,4,Geoffrey Kondogbia
15,5,Lucas Torreira
16,7,João Félix
17,8,Saúl Ñíguez
18,12,Renan Lodi
19,16,Héctor Herrera
20,19,Moussa Dembélé
21,20,Vitolo
22,24,Šime Vrsaljko
