,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Luis Suárez,9.0,uy  URU,FW,34-104,90,0,0,0,1,3,2,0,0,1,0,0,0,3,1,1,50.0
1,Thomas Lemar,11.0,fr  FRA,LW,25-177,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
2,Saúl Ñíguez,8.0,es  ESP,LW,26-168,54,1,0,0,4,1,0,0,0,0,0,0,0,3,2,0,100.0
3,João Félix,7.0,pt  POR,LW,21-179,24,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,
4,Ángel Correa,10.0,ar  ARG,RW,26-060,72,0,0,0,1,2,0,1,0,1,0,0,0,3,0,0,
5,Geoffrey Kondogbia,4.0,cf  CTA,RW,28-082,18,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0.0
6,Koke,6.0,es  ESP,DM,29-120,90,1,0,0,7,1,0,0,3,2,0,0,0,7,0,1,0.0
7,Marcos Llorente,14.0,es  ESP,DM,26-098,90,0,0,0,4,3,0,2,1,2,0,0,0,9,0,2,0.0
8,Yannick Carrasco,21.0,be  BEL,WB,27-246,90,0,0,0,7,1,1,0,3,1,0,0,0,8,0,0,
9,Kieran Trippier,23.0,eng  ENG,WB,30-231,90,0,0,0,2,0,0,1,0,0,0,0,0,3,1,0,100.0
10,Mario Hermoso,22.0,es  ESP,CB,25-324,90,0,0,0,2,1,0,1,2,2,0,0,0,3,0,1,0.0
11,Felipe,18.0,br  BRA,CB,31-357,90,1,0,0,1,0,0,0,2,1,0,0,0,4,3,0,100.0
12,Stefan Savić,15.0,me  MNE,CB,30-120,90,0,0,0,1,0,0,0,6,1,0,0,0,5,2,2,50.0
13,Jan Oblak,13.0,si  SVN,GK,28-121,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
14,14 Players,,,,,990,3,0,0,33,15,3,5,18,12,0,0,0,56,9,8,52.9
