,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Luis Suárez,9.0,uy  URU,FW,34-104,90,27,0,0,11,18,3,27,0,2,0.0,0,2,16,74,31,2,1,1,0,1,46,23,50.0,5
1,Thomas Lemar,11.0,fr  FRA,LW,25-177,12,7,1,2,3,4,1,7,1,1,100.0,1,0,7,44,24,1,0,1,1,1,4,4,100.0,0
2,Saúl Ñíguez,8.0,es  ESP,LW,26-168,54,31,3,6,15,11,0,28,0,0,,0,0,13,103,48,3,0,0,1,0,25,22,88.0,2
3,João Félix,7.0,pt  POR,LW,21-179,24,17,1,1,9,9,1,17,0,1,0.0,0,0,14,95,49,1,1,0,1,1,14,13,92.9,1
4,Ángel Correa,10.0,ar  ARG,RW,26-060,72,32,0,4,13,17,5,32,1,2,50.0,1,0,20,83,50,3,1,0,1,2,34,24,70.6,4
5,Geoffrey Kondogbia,4.0,cf  CTA,RW,28-082,18,7,0,0,6,2,0,7,0,0,,0,0,6,80,66,1,1,0,0,0,7,6,85.7,0
6,Koke,6.0,es  ESP,DM,29-120,90,70,1,14,49,9,0,67,1,1,100.0,1,0,49,203,91,5,0,0,0,1,57,54,94.7,0
7,Marcos Llorente,14.0,es  ESP,DM,26-098,90,46,1,8,29,13,3,44,3,3,100.0,3,0,33,213,103,5,1,1,0,0,42,30,71.4,3
8,Yannick Carrasco,21.0,be  BEL,WB,27-246,90,50,1,11,16,27,6,41,6,13,46.2,7,2,38,133,95,9,0,0,1,3,33,25,75.8,4
9,Kieran Trippier,23.0,eng  ENG,WB,30-231,90,69,2,14,39,20,0,60,0,0,,0,0,43,193,83,4,1,0,0,2,53,52,98.1,4
10,Mario Hermoso,22.0,es  ESP,CB,25-324,90,65,5,18,44,9,3,60,0,1,0.0,0,0,39,186,99,5,0,0,1,0,54,50,92.6,1
11,Felipe,18.0,br  BRA,CB,31-357,90,36,4,21,18,2,1,34,0,0,,0,0,22,161,79,0,0,0,0,1,21,21,100.0,0
12,Stefan Savić,15.0,me  MNE,CB,30-120,90,58,3,32,32,1,0,54,0,0,,0,0,39,310,237,6,1,0,0,0,38,38,100.0,0
13,Jan Oblak,13.0,si  SVN,GK,28-121,90,25,24,25,0,0,0,19,0,0,,0,0,5,30,26,0,0,0,0,0,7,7,100.0,0
14,14 Players,,,,,990,540,46,156,284,142,23,497,12,24,50.0,13,4,344,1908,1081,45,7,3,6,12,435,369,84.8,24
