,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Luis Suárez,9.0,uy  URU,FW,34-104,90,21,21,0,0,0,9,1,0,0,0,0,0,13,2,6,5,13,2,0,0,17,0,2,0,1
1,Thomas Lemar,11.0,fr  FRA,LW,25-177,12,4,4,0,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,0,1,0
2,Saúl Ñíguez,8.0,es  ESP,LW,26-168,54,27,24,3,0,0,6,0,0,0,0,0,0,17,6,4,17,2,3,3,0,22,0,1,0,0
3,João Félix,7.0,pt  POR,LW,21-179,24,12,12,0,0,0,6,0,0,0,0,0,0,11,1,0,1,11,0,0,0,12,0,0,0,0
4,Ángel Correa,10.0,ar  ARG,RW,26-060,72,23,23,0,0,0,7,0,1,0,0,0,0,17,3,3,2,19,2,0,0,16,1,0,2,0
5,Geoffrey Kondogbia,4.0,cf  CTA,RW,28-082,18,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0,5,2,0,0,0,7,0,0,0,0
6,Koke,6.0,es  ESP,DM,29-120,90,63,60,3,2,0,19,4,0,1,1,0,0,46,4,13,2,60,1,0,0,57,0,0,1,0
7,Marcos Llorente,14.0,es  ESP,DM,26-098,90,41,39,2,1,0,17,0,2,0,0,0,0,35,1,5,3,36,2,0,0,34,0,0,1,3
8,Yannick Carrasco,21.0,be  BEL,WB,27-246,90,29,20,9,2,0,10,4,0,5,4,0,0,17,5,7,1,26,0,2,0,16,0,1,1,3
9,Kieran Trippier,23.0,eng  ENG,WB,30-231,90,62,53,9,0,0,13,1,1,1,0,0,0,41,7,14,2,49,2,8,0,48,1,1,4,0
10,Mario Hermoso,22.0,es  ESP,CB,25-324,90,56,50,6,1,0,11,4,1,0,0,0,0,42,6,8,39,12,0,5,0,53,0,1,0,0
11,Felipe,18.0,br  BRA,CB,31-357,90,28,26,2,2,0,4,2,0,0,0,0,0,26,0,2,7,20,0,0,0,27,0,0,0,0
12,Stefan Savić,15.0,me  MNE,CB,30-120,90,50,45,5,5,0,10,2,0,0,0,0,0,38,3,9,6,42,1,0,0,41,0,1,2,0
13,Jan Oblak,13.0,si  SVN,GK,28-121,90,22,16,6,2,0,2,2,0,0,0,0,0,8,2,12,0,13,0,0,8,16,0,1,0,0
14,14 Players,,,,,990,445,400,45,15,0,117,20,5,7,5,0,0,322,40,83,94,305,13,18,8,369,2,8,12,7
