,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Antoine Griezmann,7.0,fr  FRA,"FW,LW",30-048,90,36,32,4,2,0,14,1,0,1,0,1,0,31,2,3,31,5,0,0,0,31,0,0,4,0
1,Lionel Messi,10.0,ar  ARG,FW,33-318,90,59,49,10,6,0,8,4,3,4,2,1,0,45,4,10,50,8,0,0,1,49,1,0,4,2
2,Pedri,16.0,es  ESP,CM,18-164,74,39,36,3,3,0,7,1,1,0,0,0,0,35,1,3,6,31,1,0,0,33,0,1,5,0
3,Sergi Roberto,20.0,es  ESP,CM,29-090,16,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,2,7,0,0,0,9,0,0,0,0
4,Frenkie de Jong,21.0,nl  NED,CM,23-361,90,74,72,2,2,0,10,4,0,0,0,0,0,71,1,2,3,69,2,0,0,72,1,0,0,0
5,Sergio Busquets,5.0,es  ESP,DM,32-296,31,26,25,1,1,0,6,0,0,0,0,0,0,25,1,0,6,19,1,0,0,25,0,0,0,1
6,Ilaix,27.0,es  ESP,DM,18-109,59,22,22,0,0,0,5,0,0,0,0,0,0,19,1,2,1,18,2,0,0,19,0,1,0,0
7,Jordi Alba,18.0,es  ESP,"WB,LB",32-048,90,83,77,6,0,1,9,2,4,0,0,0,0,60,11,12,64,9,4,6,0,69,1,0,3,2
8,Sergiño Dest,2.0,us  USA,WB,20-186,74,44,39,5,0,0,6,1,2,0,0,0,0,36,5,3,3,36,0,5,0,39,0,0,1,1
9,Ousmane Dembélé,11.0,fr  FRA,RW,23-358,16,8,7,1,0,0,0,1,1,0,0,0,0,5,1,2,3,4,0,1,0,6,0,1,0,1
10,Clément Lenglet,15.0,fr  FRA,CB,25-325,90,76,74,2,2,0,9,0,0,0,0,0,0,68,1,7,66,5,4,0,0,74,0,0,1,0
11,Gerard Piqué,3.0,es  ESP,CB,34-095,90,52,48,4,4,0,5,1,0,0,0,0,0,48,2,2,3,48,0,0,0,48,0,3,0,0
12,Óscar Mingueza,28.0,es  ESP,CB,21-360,45,52,47,5,2,0,5,2,0,0,0,0,0,42,4,6,13,34,2,3,0,49,0,0,0,0
13,Ronald Araújo,4.0,uy  URU,"CB,RB",22-062,45,24,21,3,2,0,0,0,0,0,0,0,0,21,0,3,2,21,0,1,0,22,0,1,0,0
14,Marc-André ter Stegen,1.0,de  GER,GK,29-008,90,30,22,8,3,0,3,1,0,0,0,0,0,22,0,8,5,19,0,0,6,26,0,1,0,0
15,15 Players,,,,,990,634,580,54,27,1,87,18,11,5,2,2,0,537,34,63,258,333,16,16,7,571,3,8,18,7
