,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Antoine Griezmann,7.0,fr  FRA,"FW,LW",30-048,90,45,0,6,17,26,3,41,1,1,100.0,1,0,36,132,49,3,1,0,0,2,56,36,64.3,7
1,Lionel Messi,10.0,ar  ARG,FW,33-318,90,73,0,2,40,40,2,67,3,8,37.5,4,1,59,371,227,18,4,1,0,1,64,59,92.2,5
2,Pedri,16.0,es  ESP,CM,18-164,74,49,1,7,31,17,2,48,1,1,100.0,1,0,38,216,65,4,2,0,2,2,43,38,88.4,6
3,Sergi Roberto,20.0,es  ESP,CM,29-090,16,10,2,4,3,3,0,10,0,0,,0,0,7,31,17,1,0,0,0,0,7,6,85.7,0
4,Frenkie de Jong,21.0,nl  NED,CM,23-361,90,81,2,14,48,24,1,79,0,1,0.0,0,0,64,440,232,8,2,0,2,1,80,75,93.8,1
5,Sergio Busquets,5.0,es  ESP,DM,32-296,31,27,0,2,20,7,0,26,0,0,,0,0,18,63,42,3,2,0,0,0,22,22,100.0,0
6,Ilaix,27.0,es  ESP,DM,18-109,59,32,1,7,14,14,5,32,0,1,0.0,0,0,19,86,57,2,1,0,1,1,24,23,95.8,5
7,Jordi Alba,18.0,es  ESP,"WB,LB",32-048,90,94,2,23,39,38,1,88,0,1,0.0,1,1,67,203,96,2,1,0,0,1,76,72,94.7,2
8,Sergiño Dest,2.0,us  USA,WB,20-186,74,53,2,13,25,18,0,48,2,4,50.0,2,0,42,190,107,4,1,0,0,2,40,35,87.5,1
9,Ousmane Dembélé,11.0,fr  FRA,RW,23-358,16,14,0,0,6,9,2,13,0,3,0.0,0,0,10,70,52,3,1,0,0,1,14,13,92.9,2
10,Clément Lenglet,15.0,fr  FRA,CB,25-325,90,83,7,30,46,10,1,81,1,1,100.0,1,0,62,288,113,3,2,0,0,1,69,69,100.0,0
11,Gerard Piqué,3.0,es  ESP,CB,34-095,90,61,8,22,40,2,2,58,0,0,,0,0,43,220,138,6,0,0,0,0,47,46,97.9,0
12,Óscar Mingueza,28.0,es  ESP,CB,21-360,45,55,5,23,36,2,0,51,0,0,,0,0,43,208,122,5,1,0,0,0,46,44,95.7,0
13,Ronald Araújo,4.0,uy  URU,"CB,RB",22-062,45,26,1,12,17,0,0,25,0,0,,0,0,21,163,122,5,0,0,0,0,20,19,95.0,0
14,Marc-André ter Stegen,1.0,de  GER,GK,29-008,90,33,29,33,0,0,0,26,0,0,,0,0,16,67,22,0,0,0,0,0,14,14,100.0,0
15,15 Players,,,,,990,736,60,198,382,210,19,693,8,21,38.1,10,2,545,2748,1461,67,18,1,5,12,622,571,91.8,29
