,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,3.0,Thomas Lemar,Atlético Madrid,Saved,20.0,Right Foot,,Yannick Carrasco,Pass (Live),Mario Hermoso,Pass (Live)
1,19.0,Ángel Correa,Atlético Madrid,Blocked,9.0,Left Foot,,Mario Hermoso,Pass (Live),Saúl Ñíguez,Pass (Live)
2,34.0,Marcos Llorente,Atlético Madrid,Saved,16.0,Left Foot,,Yannick Carrasco,Pass (Live),Mario Hermoso,Pass (Live)
3,45.0,Felipe,Atlético Madrid,Off Target,12.0,Left Foot,Half volley,Ángel Correa,Pass (Live),Kieran Trippier,Pass (Dead)
4,,,,,,,,,,,
5,47.0,Clément Lenglet,Barcelona,Off Target,9.0,Head,,Lionel Messi,Pass (Dead),Lionel Messi,Fouled
6,85.0,Ousmane Dembélé,Barcelona,Off Target,7.0,Head,,Jordi Alba,Pass (Live),Antoine Griezmann,Pass (Live)
