,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType.value,cardType.displayName,venue,opponent
1243,2334002343.0,498,71,17.0,1354,9.3,76.4,75,[],[92],False,2,SecondHalf,49,BallRecovery,1,Successful,93543.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1244,2334002355.0,499,71,17.0,1354,8.3,83.6,75,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.3'}]","[90, 116, 29, 35, 36, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,93543.0,35.3,96.6,,,,,,,,,,Nuevo Mirandilla,Cadiz
1245,2334002357.0,500,71,22.0,1354,40.8,95.9,75,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '63.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.5'}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,143655.0,63.4,78.7,,,,,,,,,,Nuevo Mirandilla,Cadiz
1246,2334002365.0,501,71,25.0,1354,62.6,73.4,75,"[{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '844'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[90, 62]",True,2,SecondHalf,4,Foul,1,Successful,90003.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1247,2334002363.0,844,71,25.0,65,37.4,26.6,75,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '501'}, {'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]",[63],False,2,SecondHalf,4,Foul,0,Unsuccessful,12712.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1248,2334002369.0,502,71,43.0,1354,62.7,76.0,75,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '48.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '24.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}]","[90, 116, 29, 131, 34, 37, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,417743.0,48.2,48.8,,,,,,,,,,Nuevo Mirandilla,Cadiz
1249,2334002371.0,503,71,46.0,1354,47.8,48.5,75,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.8'}]","[90, 118, 116, 29, 35, 37, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,108150.0,52.6,29.8,,,,,,,,,,Nuevo Mirandilla,Cadiz
1250,2334002377.0,504,71,50.0,1354,56.7,24.1,75,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '21.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 118, 116, 29, 204, 35, 37, 216, 217]",True,2,SecondHalf,1,Pass,1,Successful,400046.0,72.1,3.2,,,,,,,,,,Nuevo Mirandilla,Cadiz
1251,2334002379.0,505,71,51.0,1354,72.1,3.2,75,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.7'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '12.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.6'}]","[90, 118, 116, 29, 34, 36, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,400048.0,62.7,14.6,,,,,,,,,,Nuevo Mirandilla,Cadiz
1252,2334002387.0,506,71,53.0,1354,63.4,13.7,75,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '25.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '87.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 118, 116, 29, 204, 35, 37, 216, 217]",True,2,SecondHalf,1,Pass,1,Successful,400046.0,87.3,10.0,,,,,,,,,,Nuevo Mirandilla,Cadiz
1253,2334002389.0,507,72,1.0,1354,88.1,4.8,76,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '845'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 286, 'displayName': 'Offensive'}}]","[90, 69]",True,2,SecondHalf,50,Dispossessed,1,Successful,323250.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1254,2334002391.0,845,72,1.0,65,11.9,95.2,76,"[{'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '507'}]","[90, 142]",True,2,SecondHalf,7,Tackle,1,Successful,379205.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1255,2334002399.0,847,72,17.0,65,0.0,0.0,76,"[{'type': {'value': 44, 'displayName': 'PlayerPosition'}, 'value': 'Midfielder'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '848'}, {'type': {'value': 59, 'displayName': 'JerseyNumber'}, 'value': '30'}]",[213],False,2,SecondHalf,18,SubstitutionOff,1,Successful,422937.0,,,848.0,422939.0,,,,,,,,Nuevo Mirandilla,Cadiz
1256,2334002401.0,848,72,17.0,65,0.0,0.0,76,"[{'type': {'value': 145, 'displayName': 'FormationSlot'}, 'value': '8'}, {'type': {'value': 59, 'displayName': 'JerseyNumber'}, 'value': '28'}, {'type': {'value': 44, 'displayName': 'PlayerPosition'}, 'value': 'Midfielder'}, {'type': {'value': 55, 'displayName': 'RelatedEventId'}, 'value': '847'}]",[212],False,2,SecondHalf,19,SubstitutionOn,1,Successful,422939.0,,,847.0,422937.0,,,,,,,,Nuevo Mirandilla,Cadiz
1257,2334002407.0,509,72,23.0,1354,88.5,0.0,76,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '11.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.9'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '96.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.8'}]","[90, 211, 35, 36, 216]",True,2,SecondHalf,1,Pass,1,Successful,400046.0,96.1,10.9,,,,,,,,,,Nuevo Mirandilla,Cadiz
1258,2334002411.0,510,72,26.0,1354,96.1,10.9,76,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '94.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '1.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 119, 28, 34, 37, 216, 217]",True,2,SecondHalf,1,Pass,0,Unsuccessful,323250.0,94.9,9.2,,,,,,,,,,Nuevo Mirandilla,Cadiz
1259,2334002409.0,849,72,26.0,65,6.8,92.7,76,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]",[90],True,2,SecondHalf,61,BallTouch,1,Successful,80767.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1260,2334002421.0,512,72,33.0,1354,91.8,0.0,76,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '6.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.0'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '95.8'}]","[90, 211, 35, 36, 216]",True,2,SecondHalf,1,Pass,1,Successful,400046.0,95.8,6.2,,,,,,,,,,Nuevo Mirandilla,Cadiz
1261,2334002423.0,513,72,35.0,1354,93.2,8.4,76,"[{'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '851'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}]","[90, 69]",True,2,SecondHalf,50,Dispossessed,1,Successful,323250.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1262,2334002425.0,851,72,35.0,65,6.8,91.6,76,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '513'}, {'type': {'value': 285, 'displayName': 'Defensive'}}]","[90, 142]",True,2,SecondHalf,7,Tackle,1,Successful,80767.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1263,2334002427.0,852,72,37.0,65,7.9,95.4,76,[],[92],False,2,SecondHalf,49,BallRecovery,1,Successful,80767.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1264,2334002431.0,853,72,38.0,65,7.5,96.8,76,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '59.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '54.1'}]","[90, 119, 127, 35, 37, 215, 217]",True,2,SecondHalf,1,Pass,0,Unsuccessful,80767.0,59.0,95.6,,,,,,,,,,Nuevo Mirandilla,Cadiz
1265,2334002433.0,514,72,44.0,1354,43.2,14.1,76,[],[92],False,2,SecondHalf,49,BallRecovery,1,Successful,402862.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
1266,2334002437.0,515,72,50.0,1354,43.9,66.4,76,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '23.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.7'}]","[90, 118, 116, 29, 35, 36, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,402862.0,54.7,96.6,,,,,,,,,,Nuevo Mirandilla,Cadiz
1267,2334002445.0,516,72,53.0,1354,54.5,96.5,76,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.1'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 34, 37, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,93543.0,41.1,71.2,,,,,,,,,,Nuevo Mirandilla,Cadiz
1268,2334002447.0,517,72,55.0,1354,39.9,69.4,76,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.0'}]","[90, 116, 29, 34, 37, 215, 217]",True,2,SecondHalf,1,Pass,1,Successful,402862.0,38.8,44.5,,,,,,,,,,Nuevo Mirandilla,Cadiz
1269,2334002459.0,518,72,58.0,1354,38.3,40.1,76,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '5.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.8'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '49.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '80.0'}, {'type': {'value': 155, 'displayName': 'Chipped'}}]","[90, 118, 116, 123, 126, 204, 35, 37, 216, 217]",True,2,SecondHalf,1,Pass,1,Successful,417743.0,80.0,5.2,,,,,,,,,,Nuevo Mirandilla,Cadiz
1270,2334002461.0,519,73,6.0,1354,96.9,9.4,77,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.1'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '13.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.7'}, {'type': {'value': 2, 'displayName': 'Cross'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '26.7'}]","[90, 123, 125, 34, 36, 216, 217]",True,2,SecondHalf,1,Pass,0,Unsuccessful,400048.0,90.7,26.7,,,,,,,,,,Nuevo Mirandilla,Cadiz
1271,2334002463.0,854,73,7.0,65,10.5,71.5,77,[],[92],False,2,SecondHalf,49,BallRecovery,1,Successful,422939.0,,,,,,,,,,,,Nuevo Mirandilla,Cadiz
