,id,eventId,minute,second,teamId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,matchId,startDate,startTime,score,ftScore,htScore,etScore,venueName,maxMinute,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType.value,cardType.displayName,venue,opponent
0,2346529479.0,2,0,0.0,65,0.0,0.0,0,[],[],False,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,Camp Nou,Real Madrid
1,2346529487.0,2,0,0.0,52,0.0,0.0,0,[],[],False,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,32,Start,1,Successful,,,,,,,,,,,,,,Camp Nou,Real Madrid
2,2346529567.0,3,0,1.0,65,50.0,50.0,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '40.1'}]","[90, 116, 29, 34, 37, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,382234.0,40.1,48.2,,,,,,,,,,,Camp Nou,Real Madrid
3,2346529615.0,4,0,4.0,65,40.0,48.2,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '39.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.6'}]","[90, 116, 29, 34, 36, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,44721.0,39.5,71.1,,,,,,,,,,,Camp Nou,Real Madrid
4,2346529639.0,5,0,5.0,65,39.6,70.7,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[90, 116, 29, 35, 37, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,279423.0,41.9,60.2,,,,,,,,,,,Camp Nou,Real Madrid
5,2346529685.0,6,0,7.0,65,42.2,63.5,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '15.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '73.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.0'}]","[90, 119, 28, 35, 36, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,0,Unsuccessful,44721.0,55.0,73.2,,,,,,,,,,,Camp Nou,Real Madrid
6,2346529717.0,3,0,10.0,52,44.8,28.4,0,[],[92],False,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,49,BallRecovery,1,Successful,347862.0,,,,,,,,,,,,,Camp Nou,Real Madrid
7,2346529759.0,4,0,11.0,52,43.5,37.1,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '6.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.5'}]","[90, 116, 29, 35, 36, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,347862.0,47.5,44.2,,,,,,,,,,,Camp Nou,Real Madrid
8,2346529823.0,5,0,12.0,52,47.4,44.0,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '18.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.9'}]","[90, 116, 29, 34, 37, 214, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,31772.0,30.9,35.1,,,,,,,,,,,Camp Nou,Real Madrid
9,2346529863.0,6,0,14.0,52,30.9,38.6,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.0'}]","[90, 116, 29, 34, 36, 214, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,337879.0,28.8,71.0,,,,,,,,,,,Camp Nou,Real Madrid
10,2346529887.0,7,0,17.0,52,33.4,79.8,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '78.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.0'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '4.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '6.1'}]","[90, 116, 29, 35, 37, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,39722.0,38.0,78.3,,,,,,,,,,,Camp Nou,Real Madrid
11,2346529929.0,8,0,18.0,52,38.0,78.3,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '88.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.2'}]","[90, 116, 29, 34, 36, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,31772.0,34.2,88.7,,,,,,,,,,,Camp Nou,Real Madrid
12,2346529949.0,9,0,19.0,52,34.2,88.7,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.3'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.9'}]","[90, 116, 29, 35, 36, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,39722.0,35.6,95.9,,,,,,,,,,,Camp Nou,Real Madrid
13,2346530021.0,10,0,23.0,52,35.6,95.3,0,"[{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 286, 'displayName': 'Offensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '7'}]","[90, 62]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,4,Foul,1,Successful,296337.0,,,,,,,,,,,,,Camp Nou,Real Madrid
14,2346530003.0,7,0,23.0,65,64.4,4.7,0,"[{'type': {'value': 233, 'displayName': 'OppositeRelatedEvent'}, 'value': '10'}, {'type': {'value': 285, 'displayName': 'Defensive'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 13, 'displayName': 'Foul'}}]",[63],False,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,4,Foul,0,Unsuccessful,382234.0,,,,,,,,,,,,,Camp Nou,Real Madrid
15,2346530225.0,11,0,35.0,52,33.1,90.5,0,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.9'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.0'}]","[90, 116, 29, 131, 35, 37, 215, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,31772.0,34.3,80.3,,,,,,,,,,,Camp Nou,Real Madrid
16,2346530305.0,12,0,36.0,52,34.3,80.3,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.8'}]","[90, 116, 29, 34, 36, 214, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,88526.0,26.3,84.8,,,,,,,,,,,Camp Nou,Real Madrid
17,2346530371.0,13,0,40.0,52,28.9,74.7,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.1'}]","[90, 116, 29, 34, 37, 214, 217]",True,1559861,2021-10-24T00:00:00,2021-10-24T15:15:00,1 : 2,1 : 2,0 : 1,,Camp Nou,97,1,FirstHalf,1,Pass,1,Successful,39722.0,28.1,44.9,,,,,,,,,,,Camp Nou,Real Madrid
