,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Lionel Messi,10.0,ar  ARG,"FW,RW",33-099,90,77,65,12,5,0,12,2,2,6,4,1,0,58,4,15,66,8,0,0,1,61,1,3,1,2
1,Ansu Fati,22.0,es  ESP,LW,17-336,71,38,37,1,0,0,7,0,0,1,1,0,0,33,1,4,3,33,1,0,0,33,0,0,1,3
2,Francisco Trincão,17.0,pt  POR,"RW,LW",20-277,19,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0
3,Antoine Griezmann,7.0,fr  FRA,RW,29-194,44,21,20,1,1,0,5,0,0,0,0,0,0,20,0,1,19,2,0,0,0,19,0,0,0,1
4,Ronald Araújo,30.0,uy  URU,CB,21-208,46,11,10,1,1,0,3,0,0,0,0,0,0,8,0,3,1,10,0,0,0,8,0,0,0,0
5,Philippe Coutinho,14.0,br  BRA,AM,28-111,71,53,52,1,1,1,5,0,1,0,0,0,0,43,7,3,5,47,0,0,0,47,0,1,0,0
6,Pedri,16.0,es  ESP,"LW,AM",17-311,19,9,9,0,0,0,1,0,0,0,0,0,0,9,0,0,2,7,0,0,0,7,0,0,0,1
7,Frenkie de Jong,21.0,nl  NED,CM,23-142,90,57,57,0,0,0,5,0,0,0,0,0,0,45,9,3,4,51,2,0,0,49,0,1,1,0
8,Sergio Busquets,5.0,es  ESP,CM,32-077,90,80,72,8,8,0,9,1,0,0,0,0,0,59,5,16,17,59,2,0,2,68,0,1,1,1
9,Jordi Alba,18.0,es  ESP,LB,31-194,90,75,64,11,2,0,4,3,0,0,0,0,0,53,17,5,55,10,0,9,1,65,0,0,2,2
10,Clément Lenglet,15.0,fr  FRA,"CB,FW,AM",25-106,41,41,39,2,2,0,4,2,0,0,0,0,0,29,3,9,30,6,4,0,0,33,0,1,2,0
11,Gerard Piqué,3.0,es  ESP,CB,33-242,90,40,39,1,1,0,6,1,0,0,0,0,0,30,4,6,1,34,3,0,1,34,0,2,0,1
12,Sergi Roberto,20.0,es  ESP,RB,28-237,90,60,51,9,1,0,6,0,0,0,0,0,0,47,8,5,12,40,0,8,0,55,0,0,0,1
13,Neto,13.0,br  BRA,GK,31-074,90,36,28,8,0,0,2,1,0,0,0,0,0,17,1,18,1,31,0,0,4,24,0,0,0,1
14,14 Players,,,,,941,600,545,55,22,1,69,10,3,7,5,1,0,453,59,88,218,338,12,17,9,504,1,9,9,13
