,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,8,Antoine Griezmann,Barcelona,Off Target,20.0,Left Foot,Volley,,,,
1,11,Ansu Fati,Barcelona,Goal,14.0,Right Foot,,Ansu Fati,Dribble,Philippe Coutinho,Pass (Live)
2,17,José Fontán,Celta Vigo,Saved,24.0,Left Foot,,Hugo Mallo,Pass (Live),,
3,25,Iago Aspas,Celta Vigo,Blocked,24.0,Left Foot,Free kick,Gabriel Veiga,Fouled,Joseph Aidoo,Pass (Live)
4,,,,,,,,,,,
5,53,Lucas Olaza,Celta Vigo,Blocked,18.0,Right Foot,,Hugo Mallo,Pass (Live),Iago Aspas,Pass (Live)
6,88,Néstor Araujo,Celta Vigo,Off Target,7.0,Head,,Nolito,Pass (Dead),Santi Mina,Tackle
7,90+5,Sergi Roberto,Barcelona,Goal,11.0,Right Foot,Half volley,Lionel Messi,Shot,,
