,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,"FW,RW",33-099,90,61,77,79.2,919,219,36,39,92.3,16,22,72.7,5,11,45.5,0,0.2,2,8,1,0,4
1,Ansu Fati,22.0,es  ESP,LW,17-336,71,33,38,86.8,404,93,26,28,92.9,7,8,87.5,0,0,,0,0.0,0,0,0,0,0
2,Francisco Trincão,17.0,pt  POR,"RW,LW",20-277,19,1,2,50.0,25,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
3,Antoine Griezmann,7.0,fr  FRA,RW,29-194,44,19,21,90.5,265,50,10,10,100.0,5,5,100.0,2,3,66.7,0,0.0,0,0,1,0,2
4,Ronald Araújo,30.0,uy  URU,CB,21-208,46,8,11,72.7,194,8,0,0,,7,7,100.0,1,4,25.0,0,0.0,0,0,0,0,0
5,Philippe Coutinho,14.0,br  BRA,AM,28-111,71,47,53,88.7,719,214,26,29,89.7,19,21,90.5,2,3,66.7,1,0.1,1,6,0,0,6
6,Pedri,16.0,es  ESP,"LW,AM",17-311,19,7,9,77.8,138,64,3,3,100.0,2,3,66.7,2,2,100.0,0,0.0,0,2,0,0,3
7,Frenkie de Jong,21.0,nl  NED,CM,23-142,90,49,57,86.0,731,182,28,33,84.8,16,19,84.2,3,3,100.0,0,0.2,1,1,1,0,2
8,Sergio Busquets,5.0,es  ESP,CM,32-077,90,68,80,85.0,1165,308,27,29,93.1,31,35,88.6,6,11,54.5,0,0.0,0,7,1,0,5
9,Jordi Alba,18.0,es  ESP,LB,31-194,90,65,75,86.7,1006,280,37,37,100.0,20,24,83.3,5,8,62.5,0,0.0,0,2,1,0,5
10,Clément Lenglet,15.0,fr  FRA,"CB,FW,AM",25-106,41,33,41,80.5,645,235,15,15,100.0,11,15,73.3,6,10,60.0,0,0.0,0,0,0,0,2
11,Gerard Piqué,3.0,es  ESP,CB,33-242,90,34,40,85.0,747,100,7,8,87.5,20,23,87.0,7,8,87.5,0,0.0,0,0,0,0,0
12,Sergi Roberto,20.0,es  ESP,RB,28-237,90,55,60,91.7,679,292,36,37,97.3,16,19,84.2,1,2,50.0,0,0.0,0,1,0,0,0
13,Neto,13.0,br  BRA,GK,31-074,90,24,36,66.7,700,435,6,6,100.0,8,8,100.0,10,21,47.6,0,0.0,0,1,0,0,0
14,14 Players,,,,,941,504,600,84.0,8337,2480,257,275,93.5,179,210,85.2,50,86,58.1,1,0.5,4,28,5,0,29
