,Possession_Celta Vigo,Possession_Barcelona
0,43%,57%
1,Passing Accuracy,Passing Accuracy
2,372 of 460 —  81%,84%  — 504 of 600
3,Shots on Target,Shots on Target
4,3 of 10 —  30%,57%  — 4 of 7
5,Saves,Saves
6,2 of 4 —  50%,100%  — 3 of 3
7,Cards,Cards
8,,
