,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Iago Aspas,10.0,es  ESP,"FW,AM",33-061,90,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0.0
1,Emre Mor,11.0,tr  TUR,FW,23-069,59,0,0,0,2,1,0,1,0,1,0,0,0,2,0,1,0.0
2,Santi Mina,22.0,es  ESP,FW,24-299,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
3,Denis Suárez,6.0,es  ESP,CM,26-269,90,0,0,0,1,1,1,2,0,0,0,0,0,11,0,0,
4,Gabriel Veiga,31.0,es  ESP,"CM,WB",18-127,59,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,
5,Nolito,9.0,es  ESP,LW,33-352,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
6,Renato Tapia,14.0,pe  PER,DM,25-065,73,1,0,0,3,1,0,0,1,2,0,0,0,7,1,0,100.0
7,Fran Beltrán,8.0,es  ESP,DM,21-241,17,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
8,José Fontán,29.0,es  ESP,WB,20-233,31,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,50.0
9,Néstor Araujo,4.0,mx  MEX,CB,29-033,59,1,0,0,2,0,0,0,1,0,0,0,0,3,0,0,
10,Hugo Mallo,2.0,es  ESP,"WB,RB,CB",29-101,90,0,0,0,0,0,0,4,1,0,0,0,0,11,0,1,0.0
11,Lucas Olaza,15.0,uy  URU,"CB,LB,WB",26-072,90,0,0,0,1,1,0,3,0,1,0,0,1,9,2,0,100.0
12,Jeison Murillo,24.0,co  COL,CB,28-127,90,1,0,0,4,3,0,0,2,1,0,0,0,17,1,2,33.3
13,Joseph Aidoo,18.0,gh  GHA,CB,25-002,45,1,0,0,2,0,0,0,3,0,0,0,0,12,2,0,100.0
14,Miguel Baeza,27.0,es  ESP,"RW,CM,CB",20-188,45,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,
15,Iván Villar,1.0,es  ESP,GK,23-084,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
16,16 Players,,,,,990,5,0,0,22,12,1,13,9,8,0,0,1,86,7,6,53.8
