,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lucas Boyé,9.0,ar  ARG,FW,24-362,71,0,0,0,1,2,0,0,0,1,0,0,0,8,1,5,16.7
1,Guido Carrillo,21.0,ar  ARG,FW,29-275,19,0,0,0,0,2,0,0,1,0,0,0,0,1,2,1,66.7
2,Emiliano Rigoni,22.0,ar  ARG,LW,28-020,59,0,0,0,1,0,0,2,0,1,0,0,0,6,1,1,50.0
3,Tete Morente,11.0,es  ESP,"WB,LW",24-082,31,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,
4,Pere Milla,10.0,es  ESP,RW,28-154,71,0,0,0,1,0,1,0,2,2,0,0,0,2,0,1,0.0
5,Nino,7.0,es  ESP,RW,40-259,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Omenuke Mfulu,6.0,cd  COD,CM,26-341,80,0,0,0,1,1,0,0,3,2,0,0,0,1,1,0,100.0
7,Luismi,15.0,es  ESP,CM,28-295,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Raúl Guti,14.0,es  ESP,CM,24-056,90,0,0,0,2,0,0,0,1,1,0,0,0,10,0,0,
9,Johan Mojica,25.0,co  COL,WB,28-187,90,0,0,0,0,2,0,3,3,2,0,0,0,4,0,0,
10,Cifu,23.0,es  ESP,WB,30-142,59,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,
11,Fidel,16.0,es  ESP,"LW,WB",31-120,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
12,Josema,24.0,es  ESP,CB,24-263,90,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0.0
13,Gonzalo Verdú,5.0,es  ESP,CB,32-126,90,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,
14,Antonio Barragán,19.0,es  ESP,CB,33-257,90,0,0,0,1,0,0,0,5,1,0,0,0,5,0,1,0.0
15,Édgar Badía,13.0,es  ESP,GK,29-012,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16,16 Players,,,,,990,0,0,0,9,7,1,9,20,12,0,0,0,53,5,10,33.3
