,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,"FW,AM",33-245,90,60,72,83.3,800,242,39,41,95.1,18,23,78.3,1,5,20.0,0,0.5,1,8,4,0,9
1,Martin Braithwaite,9.0,dk  DEN,"LW,FW",29-264,75,13,19,68.4,138,25,7,9,77.8,3,6,50.0,0,0,,2,0.8,3,0,0,0,0
2,Antoine Griezmann,7.0,fr  FRA,FW,29-340,15,7,8,87.5,89,30,4,4,100.0,2,2,100.0,0,1,0.0,0,0.1,1,0,0,0,1
3,Francisco Trincão,17.0,pt  POR,RW,21-057,66,34,36,94.4,502,45,20,20,100.0,13,15,86.7,1,1,100.0,0,0.0,0,1,1,0,2
4,Sergio Busquets,5.0,es  ESP,RW,32-223,24,22,22,100.0,350,95,11,11,100.0,10,10,100.0,0,0,,0,0.0,0,0,0,0,0
5,Pedri,16.0,es  ESP,CM,18-091,90,73,80,91.3,1247,150,38,41,92.7,29,33,87.9,5,5,100.0,0,0.0,0,4,1,0,3
6,Frenkie de Jong,21.0,nl  NED,CM,23-288,90,97,102,95.1,1502,435,54,56,96.4,37,39,94.9,5,6,83.3,1,0.5,3,11,1,0,8
7,Miralem Pjanić,8.0,ba  BIH,DM,30-328,45,44,50,88.0,725,198,22,25,88.0,19,20,95.0,3,5,60.0,0,0.0,0,4,0,0,5
8,Ousmane Dembélé,11.0,fr  FRA,LW,23-285,45,23,26,88.5,305,45,18,20,90.0,4,4,100.0,1,1,100.0,0,0.6,1,2,1,0,1
9,Jordi Alba,18.0,es  ESP,LB,31-340,76,66,70,94.3,1084,208,34,35,97.1,23,25,92.0,9,10,90.0,0,0.0,0,1,1,0,4
10,Sergiño Dest,2.0,us  USA,LB,20-113,14,6,7,85.7,78,6,4,4,100.0,2,2,100.0,0,0,,0,0.0,0,0,0,0,0
11,Samuel Umtiti,23.0,fr  FRA,CB,27-102,90,90,95,94.7,1618,545,34,36,94.4,51,53,96.2,4,5,80.0,0,0.0,0,4,0,0,7
12,Gerard Piqué,3.0,es  ESP,CB,34-022,76,85,92,92.4,1809,456,24,25,96.0,46,47,97.9,13,17,76.5,0,0.0,0,6,0,0,5
13,Clément Lenglet,15.0,fr  FRA,CB,25-252,14,13,14,92.9,245,60,3,3,100.0,10,11,90.9,0,0,,0,0.0,0,0,0,0,1
14,Óscar Mingueza,28.0,es  ESP,RB,21-287,90,68,71,95.8,1080,272,32,34,94.1,30,30,100.0,3,4,75.0,0,0.0,0,5,2,0,7
15,Marc-André ter Stegen,1.0,de  GER,GK,28-300,90,22,23,95.7,529,278,4,4,100.0,12,12,100.0,6,7,85.7,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,723,787,91.9,12101,3090,348,368,94.6,309,332,93.1,51,67,76.1,3,2.5,9,46,11,0,53
