,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Lucas Boyé,9.0,ar  ARG,FW,24-362,71,0,0,0,0,2,0,0,0,38,21,3,0,1,0.4,0.4,0.0,0,0,13,21,61.9,0,22,1,0,0
1,Guido Carrillo,21.0,ar  ARG,FW,29-275,19,0,0,0,0,2,0,0,0,10,1,0,1,0,0.1,0.1,0.0,0,0,2,3,66.7,0,5,0,0,2
2,Emiliano Rigoni,22.0,ar  ARG,LW,28-020,59,0,0,0,0,0,0,0,0,28,9,1,0,1,0.0,0.0,0.3,2,0,16,23,69.6,0,19,6,0,2
3,Tete Morente,11.0,es  ESP,"WB,LW",24-082,31,0,0,0,0,0,0,0,0,17,5,1,1,1,0.0,0.0,0.1,1,0,8,10,80.0,1,12,0,0,0
4,Pere Milla,10.0,es  ESP,RW,28-154,71,0,0,0,0,1,1,0,0,32,24,2,2,1,0.1,0.1,0.0,1,0,18,21,85.7,2,21,3,0,0
5,Nino,7.0,es  ESP,RW,40-259,19,0,0,0,0,0,0,0,0,10,2,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,0,5,0,0,0
6,Omenuke Mfulu,6.0,cd  COD,CM,26-341,80,0,0,0,0,0,0,0,0,44,25,5,3,0,0.0,0.0,0.0,0,0,30,35,85.7,1,30,1,0,0
7,Luismi,15.0,es  ESP,CM,28-295,10,0,0,0,0,0,0,0,0,6,1,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,3,0,0,0
8,Raúl Guti,14.0,es  ESP,CM,24-056,90,0,0,0,0,1,0,0,0,47,17,1,1,0,0.0,0.0,0.0,1,0,39,43,90.7,6,39,4,0,0
9,Johan Mojica,25.0,co  COL,WB,28-187,90,0,0,0,0,0,0,0,0,51,16,2,3,0,0.0,0.0,0.1,2,0,41,46,89.1,1,43,3,1,4
10,Cifu,23.0,es  ESP,WB,30-142,59,0,0,0,0,0,0,0,0,21,19,0,2,2,0.0,0.0,0.0,0,0,11,16,68.8,0,14,1,1,1
11,Fidel,16.0,es  ESP,"LW,WB",31-120,31,0,0,0,0,0,0,0,0,21,9,0,0,0,0.0,0.0,0.0,1,0,12,16,75.0,1,16,0,0,2
12,Josema,24.0,es  ESP,CB,24-263,90,0,0,0,0,0,0,0,0,49,11,1,1,0,0.0,0.0,0.0,0,0,34,43,79.1,0,30,2,0,0
13,Gonzalo Verdú,5.0,es  ESP,CB,32-126,90,0,0,0,0,0,0,0,0,61,8,2,1,3,0.0,0.0,0.0,0,0,51,51,100.0,5,43,3,0,0
14,Antonio Barragán,19.0,es  ESP,CB,33-257,90,0,0,0,0,0,0,0,0,54,9,2,5,1,0.0,0.0,0.0,1,0,40,46,87.0,1,25,4,0,0
15,Édgar Badía,13.0,es  ESP,GK,29-012,90,0,0,0,0,0,0,0,0,41,0,0,0,0,0.0,0.0,0.0,0,0,30,38,78.9,0,19,0,0,0
16,16 Players,,,,,990,0,0,0,0,6,1,0,0,530,177,20,20,10,0.6,0.6,0.4,9,0,360,428,84.1,19,346,28,2,11
