,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Lionel Messi,10.0,ar  ARG,"FW,AM",33-245,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
1,Martin Braithwaite,9.0,dk  DEN,"LW,FW",29-264,75,0,0,0,1,1,1,0,2,1,0,0,0,2,1,0,100.0
2,Antoine Griezmann,7.0,fr  FRA,FW,29-340,15,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,
3,Francisco Trincão,17.0,pt  POR,RW,21-057,66,0,0,0,2,0,0,1,1,1,0,0,0,4,0,1,0.0
4,Sergio Busquets,5.0,es  ESP,RW,32-223,24,0,0,0,0,1,0,0,1,1,0,0,0,5,0,0,
5,Pedri,16.0,es  ESP,CM,18-091,90,0,0,0,0,2,0,0,3,3,0,0,0,7,1,0,100.0
6,Frenkie de Jong,21.0,nl  NED,CM,23-288,90,0,0,0,1,1,1,1,1,0,0,0,0,5,0,0,
7,Miralem Pjanić,8.0,ba  BIH,DM,30-328,45,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,100.0
8,Ousmane Dembélé,11.0,fr  FRA,LW,23-285,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
9,Jordi Alba,18.0,es  ESP,LB,31-340,76,0,0,0,0,0,0,1,3,0,0,0,0,6,0,1,0.0
10,Sergiño Dest,2.0,us  USA,LB,20-113,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
11,Samuel Umtiti,23.0,fr  FRA,CB,27-102,90,0,0,0,3,1,0,0,1,1,0,0,0,15,2,0,100.0
12,Gerard Piqué,3.0,es  ESP,CB,34-022,76,0,0,0,1,0,0,0,0,2,0,0,0,7,5,1,83.3
13,Clément Lenglet,15.0,fr  FRA,CB,25-252,14,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0.0
14,Óscar Mingueza,28.0,es  ESP,RB,21-287,90,0,0,0,0,1,0,2,0,3,0,0,0,6,0,1,0.0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-300,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16,16 Players,,,,,990,0,0,0,8,9,3,6,14,13,0,0,0,69,10,5,66.7
