,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Lionel Messi,10.0,ar  ARG,"FW,AM",33-245,90,72,67,5,2,0,11,0,0,3,0,1,0,61,3,8,64,8,0,0,0,60,1,0,6,1
1,Martin Braithwaite,9.0,dk  DEN,"LW,FW",29-264,75,19,18,1,0,0,2,0,0,0,0,0,0,17,2,0,1,16,1,0,0,13,0,0,2,1
2,Antoine Griezmann,7.0,fr  FRA,FW,29-340,15,8,8,0,0,0,1,0,1,0,0,0,0,6,1,1,5,3,0,0,0,7,0,0,0,0
3,Francisco Trincão,17.0,pt  POR,RW,21-057,66,36,36,0,0,0,5,0,1,0,0,0,0,34,1,1,30,6,0,0,0,34,0,1,0,0
4,Sergio Busquets,5.0,es  ESP,RW,32-223,24,22,21,1,1,0,1,0,0,0,0,0,0,21,1,0,3,19,0,0,0,22,0,0,0,0
5,Pedri,16.0,es  ESP,CM,18-091,90,80,77,3,1,0,10,1,0,2,0,0,0,76,2,2,10,70,0,0,0,73,1,0,2,0
6,Frenkie de Jong,21.0,nl  NED,CM,23-288,90,102,101,1,1,0,5,0,1,0,0,0,0,93,7,2,9,92,1,0,0,97,0,0,2,0
7,Miralem Pjanić,8.0,ba  BIH,DM,30-328,45,50,50,0,0,0,3,0,0,0,0,0,0,44,4,2,5,45,0,0,0,44,1,0,3,1
8,Ousmane Dembélé,11.0,fr  FRA,LW,23-285,45,26,25,1,0,0,2,1,0,1,0,0,0,22,3,1,10,15,1,0,0,23,0,0,1,1
9,Jordi Alba,18.0,es  ESP,LB,31-340,76,70,61,9,2,0,7,0,1,0,0,0,0,54,11,5,49,14,0,7,0,66,0,0,1,1
10,Sergiño Dest,2.0,us  USA,LB,20-113,14,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,6,0,0,0,1
11,Samuel Umtiti,23.0,fr  FRA,CB,27-102,90,95,95,0,0,0,8,1,0,0,0,0,0,86,7,2,70,19,5,0,0,90,0,1,1,0
12,Gerard Piqué,3.0,es  ESP,CB,34-022,76,92,90,2,0,0,9,2,0,0,0,0,0,73,9,10,4,80,1,2,0,85,0,1,0,1
13,Clément Lenglet,15.0,fr  FRA,CB,25-252,14,14,14,0,0,0,0,0,0,0,0,0,0,14,0,0,13,1,0,0,0,13,0,1,0,0
14,Óscar Mingueza,28.0,es  ESP,RB,21-287,90,71,67,4,1,1,6,0,2,0,0,0,0,66,3,2,9,58,1,3,0,68,0,0,1,0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-300,90,23,18,5,1,0,2,0,0,0,0,0,0,19,1,3,3,19,0,0,1,22,0,0,0,0
16,16 Players,,,,,990,787,755,32,9,1,72,5,6,6,0,1,0,693,55,39,285,472,10,12,1,723,3,4,19,7
